,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2724.61,1110.03,22.21,332.0,"(0, 1, 0)",11.653000000000002,49.9788383610986,-72.69608284556506
1,"(1, 0, 0)",2724.61,1171.34,23.46,296.2,"(0, 1, 0)",11.653000000000002,49.929241261722076,-66.20929241261723
2,"(1, -1, 0)",1460.36,796.51,15.99,315.3,"(0, 1, 1)",8.239915321166839,49.8130081300813,-41.51657285803627
3,"(1, 1, 0)",1460.36,913.3,18.27,511.3,"(0, 1, 1)",8.23991532116684,49.989053092501365,-29.943076081007113
4,"(-2, 0, 0)",145.09,774.85,15.54,299.0,"(0, 2, 0)",5.826500000000001,49.861647361647364,40.52509652509653
5,"(0, -2, 0)",145.09,797.36,16.0,333.3,"(0, 2, 0)",5.826500000000001,49.835,40.766875
6,"(2, 0, 0)",145.09,930.09,18.65,294.6,"(0, 2, 0)",5.826500000000001,49.870777479892766,42.09115281501341
7,"(0, 2, 0)",145.09,907.22,18.2,336.4,"(0, 2, 0)",5.826500000000001,49.84725274725275,41.87527472527473
8,"(-2, 1, 0)",376.9,249.4,5.11,312.6,"(0, 2, 1)",5.2113800283610106,48.806262230919764,-24.95107632093933
9,"(2, -1, 0)",376.9,310.48,6.35,308.8,"(0, 2, 1)",5.2113800283610106,48.89448818897638,-10.459842519685033
10,"(2, 1, 0)",376.9,308.53,6.21,243.7,"(0, 2, 1)",5.211380028361011,49.68276972624798,-11.009661835748792
11,"(-1, -2, 0)",376.9,285.29,5.75,355.9,"(0, 2, 1)",5.211380028361011,49.61565217391305,-15.93217391304347
12,"(-1, 2, 0)",376.9,286.27,5.85,324.1,"(0, 2, 1)",5.2113800283610106,48.935042735042735,-15.492307692307692
13,"(1, -2, 0)",376.9,266.43,5.45,321.0,"(0, 2, 1)",5.2113800283610106,48.88623853211009,-20.269724770642195
14,"(1, 2, 0)",376.9,277.14,5.6,364.3,"(0, 2, 1)",5.211380028361011,49.489285714285714,-17.814285714285713
15,"(2, -1, -1)",104.08,134.43,2.88,52.8,"(1, 2, 1)",4.757317328775397,46.677083333333336,10.538194444444448
16,"(1, -2, -1)",104.08,113.93,2.44,73.2,"(1, 2, 1)",4.757317328775397,46.692622950819676,4.036885245901643
17,"(-2, 1, -1)",104.08,120.63,2.59,574.9,"(1, 2, 1)",4.757317328775397,46.575289575289574,6.389961389961389
18,"(-1, 2, -1)",104.08,98.56,2.21,571.8,"(1, 2, 1)",4.757317328775397,44.59728506787331,-2.497737556561084
19,"(-2, 1, 1)",104.08,107.1,2.31,56.6,"(1, 2, 1)",4.757317328775397,46.36363636363636,1.3073593073593055
20,"(-1, 2, 1)",104.08,113.23,2.45,76.5,"(1, 2, 1)",4.757317328775397,46.21632653061224,3.7346938775510226
21,"(2, -1, 1)",104.08,98.45,2.29,571.6,"(1, 2, 1)",4.757317328775397,42.991266375545855,-2.4585152838427926
22,"(1, -2, 1)",104.08,104.35,2.32,568.5,"(1, 2, 1)",4.757317328775397,44.97844827586207,0.11637931034482588
23,"(-2, 2, 0)",1273.85,726.67,14.65,317.9,"(0, 2, 2)",4.119957660583419,49.602047781569965,-37.35017064846416
24,"(2, -2, 0)",1273.85,769.01,15.5,314.3,"(0, 2, 2)",4.119957660583419,49.61354838709677,-32.570322580645154
25,"(2, 2, 0)",1273.85,751.62,15.05,529.9,"(0, 2, 2)",4.11995766058342,49.941528239202654,-34.69966777408637
26,"(2, -2, -1)",475.48,478.61,9.69,120.3,"(1, 2, 2)",3.884333333333334,49.392156862745104,0.3230134158926724
27,"(-2, 2, -1)",475.48,335.42,6.85,514.6,"(1, 2, 2)",3.884333333333334,48.96642335766424,-20.446715328467153
28,"(-2, 2, 1)",475.48,429.46,8.7,124.1,"(1, 2, 2)",3.884333333333334,49.3632183908046,-5.289655172413798
29,"(2, -2, 1)",475.48,312.67,6.46,510.8,"(1, 2, 2)",3.884333333333334,48.400928792569665,-25.20278637770898
30,"(-3, 0, 0)",1433.22,385.05,7.8,302.5,"(0, 3, 0)",3.8843333333333345,49.36538461538462,-134.38076923076923
31,"(0, -3, 0)",1433.22,479.46,9.69,329.8,"(0, 3, 0)",3.8843333333333345,49.47987616099071,-98.42724458204334
32,"(3, 0, 0)",1433.22,354.03,7.23,296.2,"(0, 3, 0)",3.8843333333333345,48.966804979253105,-149.2655601659751
33,"(0, 3, 0)",1433.22,469.73,9.51,334.9,"(0, 3, 0)",3.8843333333333345,49.393270241850686,-101.31335436382756
34,"(-3, -1, 0)",120.48,193.93,3.98,283.4,"(0, 3, 1)",3.6850021573942136,48.72613065326633,18.454773869346734
35,"(0, -3, -1)",120.48,135.04,2.86,91.3,"(0, 3, 1)",3.6850021573942136,47.21678321678321,5.090909090909087
36,"(-3, 1, 0)",120.48,192.95,4.08,309.6,"(0, 3, 1)",3.6850021573942127,47.291666666666664,17.76225490196078
37,"(0, 3, 1)",120.48,137.48,2.94,96.5,"(0, 3, 1)",3.6850021573942136,46.76190476190476,5.782312925170063
38,"(3, -1, 0)",120.48,193.07,4.17,305.4,"(0, 3, 1)",3.6850021573942127,46.299760191846524,17.40767386091127
39,"(0, -3, 1)",120.48,162.29,3.43,565.3,"(0, 3, 1)",3.6850021573942127,47.31486880466472,12.189504373177838
40,"(3, 1, 0)",120.48,162.29,3.43,272.4,"(0, 3, 1)",3.6850021573942136,47.31486880466472,12.189504373177838
41,"(0, 3, -1)",120.48,150.74,3.22,570.7,"(0, 3, 1)",3.6850021573942127,46.81366459627329,9.397515527950311
42,"(-3, 0, -1)",120.48,200.62,4.15,578.1,"(0, 3, 1)",3.6850021573942136,48.34216867469879,19.310843373493974
43,"(-1, -3, 0)",120.48,196.72,4.05,342.9,"(0, 3, 1)",3.6850021573942136,48.57283950617284,18.82469135802469
44,"(-3, 0, 1)",120.48,135.89,2.87,36.2,"(0, 3, 1)",3.6850021573942127,47.34843205574912,5.3693379790940705
45,"(-1, 3, 0)",120.48,205.85,4.35,327.5,"(0, 3, 1)",3.6850021573942127,47.321839080459775,19.625287356321838
46,"(3, 0, 1)",120.48,147.45,3.23,571.3,"(0, 3, 1)",3.6850021573942136,45.650154798761605,8.349845201238386
47,"(1, -3, 0)",120.48,199.77,4.2,323.5,"(0, 3, 1)",3.6850021573942127,47.56428571428572,18.87857142857143
48,"(3, 0, -1)",120.48,145.75,3.11,30.7,"(0, 3, 1)",3.6850021573942127,46.86495176848875,8.12540192926045
49,"(1, 3, 0)",120.48,160.83,3.39,350.2,"(0, 3, 1)",3.6850021573942136,47.442477876106196,11.90265486725664
50,"(1, 3, 1)",941.52,837.02,16.79,27.0,"(1, 3, 1)",3.513511698364681,49.85229303156641,-6.2239428231089935
51,"(3, -1, -1)",941.52,829.72,16.7,105.2,"(1, 3, 1)",3.5135116983646797,49.68383233532934,-6.694610778443112
52,"(1, -3, -1)",941.52,710.74,14.3,134.0,"(1, 3, 1)",3.51351169836468,49.7020979020979,-16.138461538461534
53,"(-3, 1, -1)",941.52,677.77,13.64,514.8,"(1, 3, 1)",3.51351169836468,49.68988269794721,-19.33651026392962
54,"(-1, 3, -1)",941.52,704.41,14.2,515.8,"(1, 3, 1)",3.5135116983646797,49.60633802816901,-16.697887323943664
55,"(-1, -3, -1)",941.52,921.7,18.48,20.3,"(1, 3, 1)",3.513511698364681,49.875541125541126,-1.072510822510819
56,"(-3, 1, 1)",941.52,710.74,14.3,109.9,"(1, 3, 1)",3.5135116983646797,49.7020979020979,-16.138461538461534
57,"(-1, 3, 1)",941.52,720.84,14.51,138.4,"(1, 3, 1)",3.51351169836468,49.67884217780841,-15.208821502412126
58,"(3, -1, 1)",941.52,712.32,14.4,509.6,"(1, 3, 1)",3.51351169836468,49.46666666666667,-15.91666666666666
