,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2709.11,398.36,7.98,312.7,"(0, 1, 0)",11.658000000000005,49.91979949874687,-289.5676691729323
1,"(1, 0, 0)",2709.11,413.76,8.28,279.4,"(0, 1, 0)",11.658000000000005,49.971014492753625,-277.21618357487927
2,"(1, -1, 0)",1476.9,262.42,5.27,295.8,"(0, 1, 1)",8.243450855072773,49.79506641366225,-230.45161290322582
3,"(-2, 0, 0)",155.62,422.53,8.47,284.3,"(0, 2, 0)",5.829000000000002,49.88547815820542,31.51239669421487
4,"(0, -2, 0)",155.62,445.24,8.93,311.3,"(0, 2, 0)",5.829000000000002,49.85890257558791,32.432250839865624
5,"(2, 0, 0)",155.62,517.54,10.37,279.1,"(0, 2, 0)",5.829000000000002,49.907425265188046,34.900675024108004
6,"(0, 2, 0)",155.62,462.52,9.28,314.5,"(0, 2, 0)",5.829000000000002,49.84051724137931,33.071120689655174
7,"(-2, 1, 0)",371.04,162.14,3.3,294.1,"(0, 2, 1)",5.2136160963385105,49.13333333333333,-63.30303030303032
8,"(2, -1, 0)",371.04,198.27,4.02,291.3,"(0, 2, 1)",5.2136160963385105,49.32089552238807,-42.977611940298516
9,"(2, 1, 0)",371.04,171.59,3.44,242.9,"(0, 2, 1)",5.213616096338511,49.88081395348837,-57.9796511627907
10,"(-1, -2, 0)",371.04,179.16,3.6,330.0,"(0, 2, 1)",5.213616096338511,49.766666666666666,-53.300000000000004
11,"(-1, 2, 0)",371.04,175.56,3.57,304.5,"(0, 2, 1)",5.2136160963385105,49.1764705882353,-54.75630252100841
12,"(1, -2, 0)",371.04,153.22,3.11,301.4,"(0, 2, 1)",5.2136160963385105,49.26688102893891,-70.03858520900323
13,"(1, 2, 0)",371.04,189.65,3.81,336.2,"(0, 2, 1)",5.213616096338511,49.77690288713911,-47.60892388451444
14,"(2, -1, -1)",107.46,118.4,2.44,37.0,"(1, 2, 1)",4.7593585702277155,48.52459016393443,4.483606557377054
15,"(1, -2, -1)",107.46,112.08,2.31,55.4,"(1, 2, 1)",4.759358570227716,48.51948051948052,2.0000000000000018
16,"(-2, 1, -1)",107.46,109.21,2.24,561.5,"(1, 2, 1)",4.759358570227716,48.75446428571428,0.7812499999999999
17,"(-1, 2, -1)",107.46,111.56,2.29,554.9,"(1, 2, 1)",4.7593585702277155,48.71615720524017,1.7903930131004404
18,"(-2, 1, 1)",107.46,120.69,2.48,40.7,"(1, 2, 1)",4.7593585702277155,48.66532258064516,5.334677419354841
19,"(-1, 2, 1)",107.46,108.9,2.25,58.7,"(1, 2, 1)",4.759358570227716,48.400000000000006,0.6400000000000053
20,"(2, -1, 1)",107.46,118.5,2.43,557.5,"(1, 2, 1)",4.759358570227716,48.76543209876543,4.543209876543212
21,"(1, -2, 1)",107.46,110.67,2.27,551.4,"(1, 2, 1)",4.7593585702277155,48.75330396475771,1.414096916299563
22,"(-2, 2, 0)",1278.87,264.82,5.36,298.5,"(0, 2, 2)",4.121725427536386,49.406716417910445,-189.18843283582086
23,"(2, -2, 0)",1278.87,278.55,5.63,294.8,"(0, 2, 2)",4.121725427536386,49.47602131438722,-177.67673179396093
24,"(2, 2, 0)",1278.87,388.49,7.77,475.5,"(0, 2, 2)",4.121725427536387,49.998712998713,-114.59202059202059
25,"(2, -2, -1)",477.89,413.76,8.32,103.2,"(1, 2, 2)",3.8860000000000006,49.730769230769226,-7.707932692307692
26,"(-2, 2, -1)",477.89,263.31,5.32,499.3,"(1, 2, 2)",3.8860000000000006,49.494360902255636,-40.33458646616541
27,"(-2, 2, 1)",477.89,403.89,8.12,107.1,"(1, 2, 2)",3.8860000000000006,49.74014778325123,-9.113300492610838
28,"(2, -2, 1)",477.89,314.36,6.34,494.8,"(1, 2, 2)",3.8860000000000006,49.58359621451105,-25.793375394321764
29,"(-3, 0, 0)",1456.22,96.37,2.01,288.1,"(0, 3, 0)",3.8860000000000015,47.945273631840806,-676.542288557214
30,"(0, -3, 0)",1456.22,112.44,2.33,310.4,"(0, 3, 0)",3.8860000000000015,48.257510729613735,-576.7296137339056
31,"(3, 0, 0)",1456.22,103.73,2.15,282.9,"(0, 3, 0)",3.8860000000000015,48.24651162790698,-629.0651162790698
32,"(0, 3, 0)",1456.22,114.79,2.38,315.4,"(0, 3, 0)",3.8860000000000015,48.2310924369748,-563.6260504201681
33,"(-3, -1, 0)",118.74,142.41,2.88,274.8,"(0, 3, 1)",3.6865832962242977,49.447916666666664,8.218750000000002
34,"(0, -3, -1)",118.74,120.8,2.48,71.9,"(0, 3, 1)",3.6865832962242977,48.70967741935484,0.8306451612903235
35,"(-3, 1, 0)",118.74,122.0,2.53,294.1,"(0, 3, 1)",3.6865832962242973,48.22134387351779,1.2885375494071167
36,"(0, 3, 1)",118.74,107.95,2.23,77.1,"(0, 3, 1)",3.6865832962242977,48.408071748878925,-4.8385650224215215
37,"(3, -1, 0)",118.74,143.24,2.96,288.8,"(0, 3, 1)",3.6865832962242973,48.391891891891895,8.277027027027032
38,"(0, -3, 1)",118.74,125.39,2.57,545.4,"(0, 3, 1)",3.6865832962242973,48.78988326848249,2.587548638132298
39,"(3, 1, 0)",118.74,147.37,2.98,266.3,"(0, 3, 1)",3.6865832962242977,49.45302013422819,9.607382550335574
40,"(0, 3, -1)",118.74,110.04,2.27,550.4,"(0, 3, 1)",3.6865832962242973,48.47577092511013,-3.8325991189427264
41,"(-3, 0, -1)",118.74,128.11,2.61,568.9,"(0, 3, 1)",3.6865832962242977,49.084291187739474,3.5900383141762524
42,"(-1, -3, 0)",118.74,140.95,2.86,319.3,"(0, 3, 1)",3.6865832962242977,49.28321678321678,7.765734265734264
43,"(-3, 0, 1)",118.74,132.91,2.72,22.9,"(0, 3, 1)",3.6865832962242973,48.86397058823529,5.209558823529412
