,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2705.3,186.68,3.74,284.8,"(0, 1, 0)",11.656000000000004,49.9144385026738,-673.4278074866311
1,"(1, 0, 0)",2705.3,166.67,3.34,295.3,"(0, 1, 0)",11.656000000000004,49.90119760479042,-760.0688622754492
2,"(1, -1, 0)",1488.33,107.91,2.19,291.2,"(0, 1, 1)",8.242036641510401,49.273972602739725,-630.3287671232877
3,"(1, 1, 0)",1488.33,138.71,2.78,275.2,"(0, 1, 1)",8.242036641510401,49.89568345323742,-485.47482014388487
4,"(-2, 0, 0)",164.15,208.98,4.2,302.2,"(0, 2, 0)",5.828000000000002,49.75714285714285,10.673809523809519
5,"(0, -2, 0)",164.15,191.92,3.86,283.9,"(0, 2, 0)",5.828000000000002,49.72020725388601,7.19430051813471
6,"(2, 0, 0)",164.15,176.74,3.55,298.0,"(0, 2, 0)",5.828000000000002,49.78591549295775,3.5464788732394377
7,"(0, 2, 0)",164.15,141.88,2.86,287.3,"(0, 2, 0)",5.828000000000002,49.60839160839161,-7.78671328671329
8,"(-2, 1, 0)",369.4,102.18,2.08,297.1,"(0, 2, 1)",5.212721669147511,49.125,-128.47115384615384
9,"(2, -1, 0)",369.4,93.43,1.92,294.1,"(0, 2, 1)",5.212721669147511,48.661458333333336,-143.734375
10,"(2, 1, 0)",369.4,158.06,3.17,313.1,"(0, 2, 1)",5.212721669147512,49.86119873817035,-66.66876971608832
11,"(-1, -2, 0)",369.4,174.38,3.5,270.8,"(0, 2, 1)",5.212721669147512,49.82285714285714,-55.71999999999999
12,"(-1, 2, 0)",369.4,83.91,1.72,291.1,"(0, 2, 1)",5.212721669147511,48.78488372093023,-165.9825581395349
13,"(1, -2, 0)",369.4,100.13,2.05,288.3,"(0, 2, 1)",5.212721669147511,48.84390243902439,-131.35121951219512
14,"(1, 2, 0)",369.4,127.36,2.56,280.3,"(0, 2, 1)",5.212721669147512,49.75,-94.54687499999999
15,"(2, -1, -1)",108.2,113.67,2.31,34.2,"(1, 2, 1)",4.758542073646788,49.20779220779221,2.3679653679653674
16,"(1, -2, -1)",108.2,114.85,2.34,42.8,"(1, 2, 1)",4.7585420736467885,49.08119658119658,2.8418803418803384
17,"(-2, 1, -1)",108.2,136.01,2.76,556.3,"(1, 2, 1)",4.7585420736467885,49.278985507246375,10.076086956521735
18,"(-1, 2, -1)",108.2,119.61,2.44,540.3,"(1, 2, 1)",4.758542073646788,49.02049180327869,4.6762295081967205
19,"(-2, 1, 1)",108.2,129.55,2.63,37.4,"(1, 2, 1)",4.758542073646788,49.25855513307985,8.117870722433464
20,"(-1, 2, 1)",108.2,117.18,2.39,46.1,"(1, 2, 1)",4.7585420736467885,49.02928870292887,3.757322175732219
21,"(2, -1, 1)",108.2,135.45,2.75,553.0,"(1, 2, 1)",4.7585420736467885,49.25454545454545,9.909090909090905
22,"(1, -2, 1)",108.2,130.17,2.64,537.2,"(1, 2, 1)",4.758542073646788,49.30681818181817,8.32196969696969
23,"(-2, 2, 0)",1290.64,133.23,2.72,294.2,"(0, 2, 2)",4.1210183207552005,48.98161764705882,-425.51838235294116
24,"(2, -2, 0)",1290.64,129.58,2.66,290.5,"(0, 2, 2)",4.1210183207552005,48.714285714285715,-436.48872180451133
25,"(2, 2, 0)",1290.64,228.04,4.56,255.4,"(0, 2, 2)",4.1210183207552005,50.00877192982456,-233.02631578947373
26,"(2, -2, -1)",479.07,348.7,7.01,95.3,"(1, 2, 2)",3.8853333333333344,49.74322396576319,-18.59771754636234
27,"(-2, 2, -1)",479.07,428.23,8.6,490.0,"(1, 2, 2)",3.8853333333333344,49.79418604651163,-5.911627906976742
28,"(-2, 2, 1)",479.07,384.12,7.72,99.1,"(1, 2, 2)",3.8853333333333344,49.75647668393783,-12.29922279792746
29,"(-3, 0, 0)",1489.5,85.16,1.74,302.1,"(0, 3, 0)",3.8853333333333344,48.94252873563218,-807.0919540229885
30,"(0, -3, 0)",1489.5,90.37,1.86,283.7,"(0, 3, 0)",3.8853333333333344,48.586021505376344,-752.2204301075269
31,"(3, 0, 0)",1489.5,93.22,1.91,296.8,"(0, 3, 0)",3.8853333333333344,48.80628272251309,-731.0366492146597
32,"(0, 3, 0)",1489.5,88.15,1.81,288.7,"(0, 3, 0)",3.8853333333333344,48.70165745856354,-774.2265193370165
33,"(-3, -1, 0)",121.05,127.05,2.56,314.4,"(0, 3, 1)",3.6859508406922648,49.62890625,2.34375
34,"(0, -3, -1)",121.05,112.35,2.29,50.0,"(0, 3, 1)",3.6859508406922648,49.061135371179034,-3.7991266375545862
