,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2694.88,209.3,4.2,278.3,"(0, 1, 0)",11.656999999999998,49.833333333333336,-591.8047619047619
1,"(1, 0, 0)",2694.87,147.98,2.97,304.5,"(0, 1, 0)",11.656999999999998,49.82491582491582,-857.5387205387204
2,"(1, -1, 0)",1512.97,118.21,2.41,291.0,"(0, 1, 1)",8.242743748291582,49.049792531120325,-578.7385892116182
3,"(-2, 0, 0)",174.0,86.85,1.77,308.0,"(0, 2, 0)",5.828499999999999,49.06779661016949,-49.237288135593225
4,"(0, -2, 0)",174.0,109.05,2.23,278.1,"(0, 2, 0)",5.828499999999999,48.90134529147982,-29.125560538116595
5,"(2, 0, 0)",174.0,83.94,1.73,304.1,"(0, 2, 0)",5.828499999999999,48.52023121387283,-52.05780346820809
6,"(0, 2, 0)",174.0,96.37,1.99,281.4,"(0, 2, 0)",5.828499999999999,48.42713567839196,-39.01005025125628
7,"(-2, 1, 0)",361.58,149.26,3.04,297.7,"(0, 2, 1)",5.213168882743008,49.098684210526315,-69.84210526315789
8,"(2, -1, 0)",361.58,135.55,2.78,294.9,"(0, 2, 1)",5.213168882743008,48.758992805755405,-81.30575539568345
9,"(2, 1, 0)",361.58,152.78,3.07,338.7,"(0, 2, 1)",5.213168882743009,49.76547231270359,-68.0130293159609
10,"(-1, -2, 0)",361.58,227.37,4.57,256.8,"(0, 2, 1)",5.213168882743009,49.752735229759296,-29.367614879649885
11,"(-1, 2, 0)",361.58,116.2,2.4,289.1,"(0, 2, 1)",5.213168882743008,48.41666666666667,-102.24166666666667
12,"(1, -2, 0)",361.58,143.25,2.93,286.2,"(0, 2, 1)",5.213168882743008,48.89078498293515,-74.51535836177473
13,"(2, -1, -1)",114.43,117.78,2.42,34.3,"(1, 2, 1)",4.758950321937249,48.66942148760331,1.3842975206611547
14,"(1, -2, -1)",114.43,102.38,2.12,39.5,"(1, 2, 1)",4.75895032193725,48.29245283018867,-5.683962264150948
15,"(-2, 1, -1)",114.43,113.47,2.36,556.3,"(1, 2, 1)",4.75895032193725,48.08050847457627,-0.40677966101695257
16,"(-2, 1, 1)",114.43,103.95,2.15,37.5,"(1, 2, 1)",4.758950321937249,48.34883720930233,-4.874418604651165
17,"(-1, 2, 1)",114.43,85.33,1.79,42.5,"(1, 2, 1)",4.75895032193725,47.67039106145251,-16.25698324022347
18,"(2, -1, 1)",114.43,121.84,2.52,553.0,"(1, 2, 1)",4.75895032193725,48.34920634920635,2.940476190476189
19,"(1, -2, 1)",114.43,114.02,2.37,533.6,"(1, 2, 1)",4.758950321937249,48.109704641350206,-0.17299578059072185
20,"(-2, 2, 0)",1292.58,189.29,3.87,293.6,"(0, 2, 2)",4.121371874145791,48.912144702842376,-285.0878552971576
21,"(2, -2, 0)",1292.58,161.21,3.31,290.2,"(0, 2, 2)",4.121371874145791,48.70392749244713,-341.80362537764347
22,"(2, -2, -1)",490.02,336.91,6.82,94.5,"(1, 2, 2)",3.8856666666666655,49.40029325513196,-22.450146627565974
23,"(-2, 2, -1)",490.02,196.75,4.01,488.9,"(1, 2, 2)",3.8856666666666655,49.064837905236914,-73.13466334164589
24,"(-2, 2, 1)",490.02,287.05,5.83,98.3,"(1, 2, 2)",3.8856666666666655,49.23670668953688,-34.81475128644939
25,"(2, -2, 1)",490.02,209.48,4.26,485.2,"(1, 2, 2)",3.8856666666666655,49.17370892018779,-65.8544600938967
26,"(-3, 0, 0)",1458.12,102.62,2.11,309.1,"(0, 3, 0)",3.885666666666666,48.6350710900474,-642.4170616113745
27,"(0, -3, 0)",1458.12,113.47,2.35,277.2,"(0, 3, 0)",3.885666666666666,48.28510638297872,-572.191489361702
28,"(3, 0, 0)",1458.12,101.59,2.11,303.7,"(0, 3, 0)",3.885666666666666,48.14691943127963,-642.9052132701422
29,"(0, 3, 0)",1458.12,101.34,2.12,282.2,"(0, 3, 0)",3.885666666666666,47.80188679245283,-639.9905660377358
30,"(0, -3, -1)",116.31,109.84,2.27,43.3,"(0, 3, 1)",3.686267068458279,48.38766519823788,-2.85022026431718
31,"(-3, 1, 0)",116.31,100.5,2.12,301.0,"(0, 3, 1)",3.686267068458279,47.40566037735849,-7.457547169811321
32,"(0, 3, 1)",116.31,113.66,2.34,48.3,"(0, 3, 1)",3.686267068458279,48.572649572649574,-1.132478632478635
33,"(3, -1, 0)",116.31,100.74,2.13,296.6,"(0, 3, 1)",3.686267068458279,47.29577464788732,-7.3098591549295815
34,"(0, -3, 1)",116.31,126.27,2.6,514.6,"(0, 3, 1)",3.686267068458279,48.56538461538461,3.8307692307692283
35,"(3, 1, 0)",116.31,128.88,2.62,317.9,"(0, 3, 1)",3.686267068458279,49.19083969465648,4.79770992366412
36,"(0, 3, -1)",116.31,86.43,1.82,519.7,"(0, 3, 1)",3.686267068458279,47.48901098901099,-16.417582417582416
37,"(-3, 0, -1)",116.31,122.45,2.53,578.5,"(0, 3, 1)",3.686267068458279,48.399209486166015,2.4268774703557314
38,"(-1, -3, 0)",116.31,170.0,3.44,265.6,"(0, 3, 1)",3.686267068458279,49.418604651162795,15.607558139534884
39,"(-3, 0, 1)",116.31,121.78,2.5,32.8,"(0, 3, 1)",3.686267068458279,48.712,2.1879999999999997
40,"(-1, 3, 0)",116.31,84.36,1.83,287.7,"(0, 3, 1)",3.686267068458279,46.0983606557377,-17.459016393442624
41,"(3, 0, 1)",116.31,102.19,2.15,572.9,"(0, 3, 1)",3.686267068458279,47.53023255813954,-6.567441860465118
42,"(1, -3, 0)",116.31,110.14,2.32,283.3,"(0, 3, 1)",3.686267068458279,47.474137931034484,-2.6594827586206904
43,"(3, 0, -1)",116.31,80.91,1.68,27.1,"(0, 3, 1)",3.686267068458279,48.160714285714285,-21.071428571428577
44,"(1, 3, 0)",116.31,111.11,2.29,273.2,"(0, 3, 1)",3.686267068458279,48.519650655021834,-2.270742358078604
45,"(1, -3, -1)",967.77,166.24,3.44,95.4,"(1, 3, 1)",3.5147177437429895,48.32558139534884,-233.00290697674419
46,"(-3, 1, -1)",967.77,250.48,5.07,503.3,"(1, 3, 1)",3.5147177437429895,49.404339250493095,-141.4773175542406
47,"(-1, 3, -1)",967.77,287.17,5.8,476.4,"(1, 3, 1)",3.5147177437429895,49.512068965517244,-117.34482758620689
48,"(-3, 1, 1)",967.77,171.94,3.55,96.9,"(1, 3, 1)",3.5147177437429895,48.43380281690141,-224.17746478873238
49,"(-1, 3, 1)",967.77,190.44,3.92,100.1,"(1, 3, 1)",3.5147177437429895,48.58163265306123,-198.2984693877551
50,"(1, -3, 1)",967.77,241.93,4.9,472.1,"(1, 3, 1)",3.5147177437429895,49.3734693877551,-148.13061224489792
51,"(-3, 2, 0)",511.82,117.72,2.51,296.7,"(0, 3, 2)",3.233070093698747,46.90039840637451,-157.01195219123508
