,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2728.38,1046.84,20.97,331.2,"(0, 1, 0)",11.664999999999996,49.92083929422985,-80.18788745827374
1,"(1, 0, 0)",2728.38,1074.12,21.52,294.3,"(0, 1, 0)",11.664999999999996,49.91263940520446,-76.87081784386618
2,"(1, -1, 0)",1458.3,768.65,15.45,314.5,"(0, 1, 1)",8.248400602541073,49.750809061488674,-44.637540453074436
3,"(-2, 0, 0)",144.57,823.7,16.52,298.2,"(0, 2, 0)",5.832499999999998,49.86077481840194,41.109564164648916
4,"(0, -2, 0)",144.57,833.77,16.73,332.0,"(0, 2, 0)",5.832499999999998,49.83682008368201,41.19545726240287
5,"(2, 0, 0)",144.57,874.37,17.54,293.7,"(0, 2, 0)",5.832499999999998,49.85005701254276,41.60775370581528
6,"(0, 2, 0)",144.57,921.14,18.48,335.3,"(0, 2, 0)",5.832499999999998,49.845238095238095,42.02218614718614
7,"(-2, 1, 0)",380.57,272.83,5.61,311.7,"(0, 2, 1)",5.216746591507007,48.63279857397504,-19.20499108734403
8,"(2, -1, 0)",380.57,312.14,6.43,308.0,"(0, 2, 1)",5.216746591507007,48.5443234836703,-10.64230171073095
9,"(2, 1, 0)",380.57,333.25,6.71,241.7,"(0, 2, 1)",5.2167465915070075,49.66467958271237,-7.052160953800297
10,"(-1, -2, 0)",380.57,292.97,5.91,355.8,"(0, 2, 1)",5.2167465915070075,49.571912013536384,-14.822335025380704
11,"(-1, 2, 0)",380.57,275.6,5.68,323.3,"(0, 2, 1)",5.216746591507007,48.521126760563384,-18.480633802816897
12,"(1, -2, 0)",380.57,279.82,5.75,320.3,"(0, 2, 1)",5.216746591507007,48.66434782608695,-17.52173913043478
13,"(1, 2, 0)",380.57,306.45,6.19,364.1,"(0, 2, 1)",5.2167465915070075,49.50726978998384,-11.974151857835219
14,"(2, -1, -1)",103.76,122.48,2.74,52.0,"(1, 2, 1)",4.762216308260959,44.700729927007295,6.832116788321167
15,"(1, -2, -1)",103.76,98.17,2.22,72.8,"(1, 2, 1)",4.76221630826096,44.22072072072072,-2.518018018018019
16,"(-2, 1, -1)",103.76,118.0,2.6,573.9,"(1, 2, 1)",4.76221630826096,45.38461538461538,5.476923076923074
17,"(-1, 2, -1)",103.76,95.65,2.24,570.7,"(1, 2, 1)",4.762216308260959,42.700892857142854,-3.6205357142857135
18,"(-2, 1, 1)",103.76,105.04,2.35,55.4,"(1, 2, 1)",4.762216308260959,44.69787234042553,0.5446808510638302
19,"(-1, 2, 1)",103.76,105.92,2.39,75.9,"(1, 2, 1)",4.76221630826096,44.31799163179916,0.9037656903765675
20,"(2, -1, 1)",103.76,104.52,2.53,570.5,"(1, 2, 1)",4.76221630826096,41.31225296442688,0.3003952569169925
21,"(1, -2, 1)",103.76,100.09,2.35,567.4,"(1, 2, 1)",4.762216308260959,42.59148936170213,-1.561702127659575
22,"(-2, 2, 0)",1286.92,675.1,13.64,317.4,"(0, 2, 2)",4.124200301270537,49.4941348973607,-44.85483870967742
23,"(2, -2, 0)",1286.92,768.65,15.53,313.6,"(0, 2, 2)",4.124200301270537,49.494526722472635,-33.37218287186092
24,"(2, -2, -1)",476.69,501.66,10.19,119.6,"(1, 2, 2)",3.8883333333333314,49.230618253189405,2.450441609421004
25,"(-2, 2, -1)",476.69,304.5,6.29,513.9,"(1, 2, 2)",3.8883333333333314,48.410174880763115,-27.375198728139903
26,"(-2, 2, 1)",476.69,459.6,9.34,123.4,"(1, 2, 2)",3.8883333333333314,49.20770877944326,-1.8297644539614535
27,"(2, -2, 1)",476.69,296.71,6.22,510.1,"(1, 2, 2)",3.8883333333333314,47.70257234726688,-28.93569131832798
28,"(-3, 0, 0)",1457.89,345.75,7.06,301.3,"(0, 3, 0)",3.8883333333333323,48.97308781869689,-157.52691218130315
29,"(0, -3, 0)",1457.89,427.11,8.68,328.5,"(0, 3, 0)",3.8883333333333323,49.20622119815668,-118.75345622119818
30,"(3, 0, 0)",1457.89,273.97,5.65,294.7,"(0, 3, 0)",3.8883333333333323,48.49026548672567,-209.54336283185842
31,"(0, 3, 0)",1457.89,384.08,7.84,333.4,"(0, 3, 0)",3.8883333333333323,48.98979591836735,-136.96556122448982
32,"(-3, -1, 0)",121.95,169.38,3.52,281.6,"(0, 3, 1)",3.6887968905864135,48.11931818181818,13.474431818181817
33,"(0, -3, -1)",121.95,132.8,2.88,90.8,"(0, 3, 1)",3.6887968905864135,46.111111111111114,3.7673611111111143
34,"(-3, 1, 0)",121.95,193.09,4.16,309.2,"(0, 3, 1)",3.6887968905864126,46.41586538461539,17.100961538461537
35,"(0, 3, 1)",121.95,133.43,2.95,95.9,"(0, 3, 1)",3.6887968905864135,45.23050847457627,3.891525423728815
36,"(3, -1, 0)",121.95,179.29,4.01,304.4,"(0, 3, 1)",3.6887968905864126,44.71072319201995,14.299251870324188
37,"(0, -3, 1)",121.95,150.35,3.28,564.2,"(0, 3, 1)",3.6887968905864126,45.83841463414634,8.658536585365852
38,"(3, 1, 0)",121.95,172.31,3.67,270.6,"(0, 3, 1)",3.6887968905864135,46.950953678474114,13.722070844686648
39,"(0, 3, -1)",121.95,147.51,3.24,569.3,"(0, 3, 1)",3.6887968905864126,45.52777777777777,7.888888888888885
40,"(-3, 0, -1)",121.95,174.91,3.68,577.6,"(0, 3, 1)",3.6887968905864135,47.52989130434782,14.391304347826084
41,"(-1, -3, 0)",121.95,207.87,4.31,342.4,"(0, 3, 1)",3.6887968905864135,48.22969837587007,19.935034802784227
42,"(-3, 0, 1)",121.95,136.76,2.97,34.9,"(0, 3, 1)",3.6887968905864126,46.04713804713804,4.986531986531983
43,"(-1, 3, 0)",121.95,191.15,4.15,327.0,"(0, 3, 1)",3.6887968905864126,46.06024096385542,16.67469879518072
44,"(3, 0, 1)",121.95,147.67,3.37,571.2,"(0, 3, 1)",3.6887968905864135,43.81899109792284,7.632047477744802
45,"(1, -3, 0)",121.95,209.82,4.47,322.8,"(0, 3, 1)",3.6887968905864126,46.939597315436245,19.657718120805367
46,"(3, 0, -1)",121.95,145.87,3.21,29.5,"(0, 3, 1)",3.6887968905864126,45.442367601246104,7.45171339563863
47,"(1, 3, 0)",121.95,178.64,3.79,349.7,"(0, 3, 1)",3.6887968905864135,47.13456464379947,14.957783641160946
48,"(1, 3, 1)",943.04,849.03,17.05,26.3,"(1, 3, 1)",3.5171298344996123,49.796480938416416,-5.513782991202345
49,"(3, -1, -1)",943.04,891.58,17.96,104.1,"(1, 3, 1)",3.517129834499611,49.64253897550111,-2.8652561247215993
50,"(1, -3, -1)",943.04,756.95,15.24,133.2,"(1, 3, 1)",3.5171298344996114,49.66863517060368,-12.210629921259837
51,"(-3, 1, -1)",943.04,680.79,13.74,514.3,"(1, 3, 1)",3.5171298344996114,49.548034934497814,-19.08660844250364
52,"(-1, 3, -1)",943.04,691.34,13.97,514.7,"(1, 3, 1)",3.517129834499611,49.487473156764494,-18.01717967072297
53,"(-1, -3, -1)",943.04,904.09,18.14,19.6,"(1, 3, 1)",3.5171298344996123,49.839581036383684,-2.147188533627339
54,"(-3, 1, 1)",943.04,741.52,14.95,109.0,"(1, 3, 1)",3.517129834499611,49.6,-13.479598662207357
55,"(-1, 3, 1)",943.04,747.86,15.08,137.5,"(1, 3, 1)",3.5171298344996114,49.59283819628647,-12.942970822281163
56,"(3, -1, 1)",943.04,679.16,13.8,509.2,"(1, 3, 1)",3.5171298344996114,49.21449275362318,-19.121739130434783
57,"(1, -3, 1)",943.04,658.54,13.31,510.3,"(1, 3, 1)",3.517129834499611,49.4770848985725,-21.374906085649886
58,"(-3, 2, 0)",487.15,358.91,7.42,314.7,"(0, 3, 2)",3.2352888944836473,48.37061994609165,-17.283018867924522
59,"(3, -2, 0)",487.15,431.82,8.98,309.9,"(0, 3, 2)",3.2352888944836473,48.086859688195986,-6.161469933184853
60,"(3, 2, 0)",487.15,549.4,11.03,163.4,"(0, 3, 2)",3.2352888944836478,49.80961015412512,5.643699002719855
61,"(-2, -3, 0)",487.15,460.57,9.26,373.8,"(0, 3, 2)",3.2352888944836478,49.73758099352052,-2.8704103671706247
62,"(-2, 3, 0)",487.15,369.95,7.66,321.1,"(0, 3, 2)",3.2352888944836473,48.29634464751958,-15.300261096605743
63,"(2, -3, 0)",487.15,370.11,7.67,316.7,"(0, 3, 2)",3.2352888944836473,48.2542372881356,-15.259452411994781
64,"(2, 3, 0)",487.15,505.72,10.2,390.7,"(0, 3, 2)",3.2352888944836478,49.58039215686275,1.8205882352941227
65,"(3, -2, -1)",316.97,317.49,6.66,149.9,"(1, 3, 2)",3.1176023869084286,47.671171171171174,0.07807807807807535
66,"(-3, 2, -1)",316.97,291.02,6.05,476.5,"(1, 3, 2)",3.1176023869084295,48.102479338842976,-4.289256198347115
67,"(2, -3, -1)",316.97,285.34,5.96,161.4,"(1, 3, 2)",3.1176023869084295,47.875838926174495,-5.30704697986578
68,"(-2, 3, -1)",316.97,292.48,6.12,478.0,"(1, 3, 2)",3.1176023869084286,47.790849673202615,-4.001633986928106
69,"(-3, 2, 1)",316.97,254.81,5.35,154.7,"(1, 3, 2)",3.1176023869084286,47.62803738317757,-11.618691588785053
70,"(3, -2, 1)",316.97,363.45,7.65,471.8,"(1, 3, 2)",3.1176023869084295,47.509803921568626,6.075816993464047
71,"(-2, 3, 1)",316.97,290.54,6.08,166.0,"(1, 3, 2)",3.1176023869084295,47.78618421052632,-4.3470394736842115
72,"(2, -3, 1)",316.97,292.97,6.18,473.4,"(1, 3, 2)",3.1176023869084286,47.406148867313924,-3.883495145631068
