,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2729.5,887.28,17.77,332.3,"(0, 1, 0)",11.653000000000002,49.931344963421495,-103.6702307259426
1,"(1, 0, 0)",2729.5,1256.92,25.16,298.9,"(0, 1, 0)",11.653000000000002,49.95707472178061,-58.528616852146264
2,"(0, 1, 0)",2729.5,1008.01,20.18,335.6,"(0, 1, 0)",11.653000000000002,49.95094152626363,-85.30673934588702
3,"(1, -1, 0)",1474.19,695.2,13.95,316.8,"(0, 1, 1)",8.239915321166839,49.83512544802868,-55.841577060931904
4,"(1, 1, 0)",1474.19,732.53,14.65,511.6,"(0, 1, 1)",8.23991532116684,50.00204778156996,-50.62525597269625
5,"(-2, 0, 0)",158.15,748.6,15.0,301.6,"(0, 2, 0)",5.826500000000001,49.906666666666666,39.36333333333334
6,"(0, -2, 0)",158.15,793.96,15.91,333.1,"(0, 2, 0)",5.826500000000001,49.90320553111251,39.96291640477688
7,"(2, 0, 0)",158.15,1194.31,23.93,297.0,"(0, 2, 0)",5.826500000000001,49.90848307563727,43.29962390305056
8,"(0, 2, 0)",158.15,899.22,18.03,336.4,"(0, 2, 0)",5.826500000000001,49.87354409317803,41.102052135330005
9,"(-2, 1, 0)",375.16,276.19,5.61,314.1,"(0, 2, 1)",5.2113800283610106,49.23172905525846,-17.641711229946527
10,"(2, -1, 0)",375.16,318.25,6.47,310.6,"(0, 2, 1)",5.2113800283610106,49.188562596599695,-8.795981452859355
11,"(2, 1, 0)",375.16,323.92,6.51,246.6,"(0, 2, 1)",5.211380028361011,49.75729646697389,-7.870967741935486
12,"(-1, -2, 0)",375.16,281.98,5.68,356.0,"(0, 2, 1)",5.211380028361011,49.6443661971831,-16.40492957746479
13,"(-1, 2, 0)",375.16,286.47,5.82,325.2,"(0, 2, 1)",5.2113800283610106,49.22164948453609,-15.238831615120274
