,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2711.11,150.19,3.03,313.6,"(0, 1, 0)",11.662999999999997,49.56765676567657,-845.1881188118813
1,"(1, 0, 0)",2711.11,125.47,2.53,304.7,"(0, 1, 0)",11.662999999999997,49.59288537549408,-1021.9920948616602
2,"(1, -1, 0)",1505.85,115.28,2.37,312.0,"(0, 1, 1)",8.246986388978701,48.641350210970465,-586.7383966244726
3,"(-2, 0, 0)",181.15,120.74,2.47,315.4,"(0, 2, 0)",5.831499999999998,48.882591093117405,-24.457489878542514
4,"(0, -2, 0)",181.15,94.89,1.98,311.9,"(0, 2, 0)",5.831499999999998,47.92424242424242,-43.56565656565657
5,"(2, 0, 0)",181.15,97.96,2.02,308.6,"(0, 2, 0)",5.831499999999998,48.495049504950494,-41.18316831683169
6,"(0, 2, 0)",181.15,77.0,1.62,315.8,"(0, 2, 0)",5.831499999999998,47.53086419753086,-64.29012345679013
7,"(-2, 1, 0)",355.12,89.7,1.92,314.9,"(0, 2, 1)",5.215852164316007,46.71875,-138.23958333333334
8,"(2, -1, 0)",355.12,90.1,1.94,311.5,"(0, 2, 1)",5.215852164316007,46.44329896907216,-136.60824742268042
9,"(2, 1, 0)",355.12,118.92,2.39,296.9,"(0, 2, 1)",5.215852164316008,49.75732217573221,-98.82845188284517
10,"(-1, -2, 0)",355.12,122.23,2.49,309.0,"(0, 2, 1)",5.215852164316008,49.088353413654616,-93.5301204819277
11,"(-1, 2, 0)",355.12,76.89,1.67,315.2,"(0, 2, 1)",5.215852164316007,46.041916167664674,-166.6047904191617
12,"(1, -2, 0)",355.12,80.71,1.75,311.9,"(0, 2, 1)",5.215852164316007,46.12,-156.8057142857143
13,"(1, 2, 0)",355.12,98.76,2.01,321.7,"(0, 2, 1)",5.215852164316008,49.13432835820896,-127.54228855721395
14,"(2, -1, -1)",107.22,99.33,2.06,54.5,"(1, 2, 1)",4.7613998116800325,48.21844660194174,-3.830097087378641
15,"(1, -2, -1)",107.22,110.32,2.27,66.1,"(1, 2, 1)",4.761399811680033,48.59911894273127,1.3656387665198213
16,"(-2, 1, -1)",107.22,110.32,2.27,574.6,"(1, 2, 1)",4.761399811680033,48.59911894273127,1.3656387665198213
17,"(-1, 2, -1)",107.22,116.07,2.38,562.8,"(1, 2, 1)",4.7613998116800325,48.76890756302521,3.718487394957981
18,"(-2, 1, 1)",107.22,137.49,2.82,58.0,"(1, 2, 1)",4.7613998116800325,48.755319148936174,10.734042553191493
19,"(-1, 2, 1)",107.22,119.83,2.46,69.4,"(1, 2, 1)",4.761399811680033,48.71138211382114,5.126016260162602
20,"(2, -1, 1)",107.22,112.32,2.3,571.2,"(1, 2, 1)",4.761399811680033,48.834782608695654,2.217391304347824
21,"(1, -2, 1)",107.22,138.91,2.83,559.6,"(1, 2, 1)",4.7613998116800325,49.08480565371025,11.197879858657243
22,"(-2, 2, 0)",1268.08,103.09,2.23,315.1,"(0, 2, 2)",4.123493194489351,46.228699551569505,-522.4170403587444
23,"(2, -2, 0)",1268.08,107.76,2.33,311.3,"(0, 2, 2)",4.123493194489351,46.24892703862661,-497.99141630901283
24,"(2, -2, -1)",479.37,423.35,8.5,117.4,"(1, 2, 2)",3.887666666666665,49.80588235294118,-6.590588235294115
25,"(-2, 2, -1)",479.37,403.64,8.1,510.7,"(1, 2, 2)",3.887666666666665,49.8320987654321,-9.349382716049385
26,"(-2, 2, 1)",479.37,473.07,9.51,121.2,"(1, 2, 2)",3.887666666666665,49.74447949526814,-0.6624605678233451
27,"(2, -2, 1)",479.37,413.15,8.3,506.9,"(1, 2, 2)",3.887666666666665,49.77710843373493,-7.97831325301205
28,"(-3, 0, 0)",1454.27,122.85,2.57,316.3,"(0, 3, 0)",3.8876666666666657,47.80155642023347,-518.0622568093386
29,"(0, -3, 0)",1454.27,109.92,2.35,311.1,"(0, 3, 0)",3.8876666666666657,46.774468085106385,-572.063829787234
30,"(3, 0, 0)",1454.27,116.59,2.42,310.0,"(0, 3, 0)",3.8876666666666657,48.17768595041323,-552.7603305785125
31,"(0, 3, 0)",1454.27,104.63,2.21,316.0,"(0, 3, 0)",3.8876666666666657,47.34389140271493,-610.6968325791855
32,"(-3, -1, 0)",119.55,92.44,1.93,320.0,"(0, 3, 1)",3.6881644350543796,47.89637305699482,-14.046632124352332
33,"(0, -3, -1)",119.55,122.11,2.51,75.6,"(0, 3, 1)",3.6881644350543796,48.649402390438254,1.0199203187251007
34,"(-3, 1, 0)",119.55,100.13,2.18,316.0,"(0, 3, 1)",3.688164435054379,45.93119266055045,-8.908256880733946
35,"(0, 3, 1)",119.55,101.95,2.1,80.9,"(0, 3, 1)",3.6881644350543796,48.547619047619044,-8.380952380952378
36,"(3, -1, 0)",119.55,110.44,2.37,310.7,"(0, 3, 1)",3.688164435054379,46.599156118143455,-3.843881856540084
37,"(0, -3, 1)",119.55,138.29,2.83,547.8,"(0, 3, 1)",3.688164435054379,48.86572438162544,6.621908127208479
