,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2708.67,202.07,4.06,284.2,"(0, 1, 0)",11.660000000000002,49.77093596059114,-617.3891625615764
1,"(1, 0, 0)",2708.67,156.76,3.15,299.0,"(0, 1, 0)",11.660000000000002,49.765079365079366,-810.1301587301587
2,"(0, 1, 0)",2708.67,149.76,3.01,287.1,"(0, 1, 0)",11.660000000000002,49.754152823920265,-850.1362126245847
3,"(1, -1, 0)",1494.35,120.91,2.46,292.1,"(0, 1, 1)",8.244865068635145,49.15040650406504,-558.3089430894308
4,"(1, 1, 0)",1494.35,153.56,3.07,244.4,"(0, 1, 1)",8.244865068635146,50.019543973941374,-436.73941368078175
5,"(-2, 0, 0)",171.41,204.82,4.12,304.8,"(0, 2, 0)",5.830000000000001,49.713592233009706,8.109223300970873
6,"(0, -2, 0)",171.41,205.57,4.14,283.5,"(0, 2, 0)",5.830000000000001,49.65458937198068,8.251207729468598
7,"(2, 0, 0)",171.41,159.11,3.21,301.0,"(0, 2, 0)",5.830000000000001,49.566978193146426,-3.8317757009345743
8,"(0, 2, 0)",171.41,159.36,3.22,286.5,"(0, 2, 0)",5.830000000000001,49.49068322981367,-3.742236024844715
9,"(-2, 1, 0)",361.37,124.31,2.54,298.1,"(0, 2, 1)",5.21451052352951,48.94094488188976,-93.33070866141732
10,"(2, -1, 0)",361.37,110.01,2.27,295.2,"(0, 2, 1)",5.21451052352951,48.4625550660793,-110.73127753303966
11,"(2, 1, 0)",361.37,176.02,3.53,320.7,"(0, 2, 1)",5.214510523529511,49.864022662889525,-52.507082152974505
12,"(-1, -2, 0)",361.37,196.87,3.95,268.7,"(0, 2, 1)",5.214510523529511,49.84050632911392,-41.64556962025316
13,"(-1, 2, 0)",361.37,104.96,2.17,291.6,"(0, 2, 1)",5.21451052352951,48.36866359447004,-118.16129032258065
14,"(1, -2, 0)",361.37,115.36,2.38,288.7,"(0, 2, 1)",5.21451052352951,48.47058823529412,-103.3655462184874
15,"(1, 2, 0)",361.37,152.41,3.07,276.0,"(0, 2, 1)",5.214510523529511,49.644951140065146,-68.06514657980456
16,"(2, -1, -1)",107.18,109.31,2.25,35.4,"(1, 2, 1)",4.760175066808642,48.58222222222222,0.9466666666666647
17,"(1, -2, -1)",107.18,120.46,2.47,43.1,"(1, 2, 1)",4.760175066808644,48.76923076923076,5.376518218623476
18,"(-2, 1, -1)",107.18,142.16,2.9,558.0,"(1, 2, 1)",4.760175066808644,49.02068965517241,12.062068965517238
19,"(-1, 2, -1)",107.18,116.11,2.39,541.0,"(1, 2, 1)",4.760175066808642,48.58158995815899,3.736401673640164
20,"(-2, 1, 1)",107.18,130.41,2.67,38.6,"(1, 2, 1)",4.760175066808642,48.842696629213485,8.700374531835202
21,"(-1, 2, 1)",107.18,120.46,2.47,46.5,"(1, 2, 1)",4.760175066808644,48.76923076923076,5.376518218623476
22,"(2, -1, 1)",107.18,142.21,2.91,554.7,"(1, 2, 1)",4.760175066808644,48.86941580756014,12.037800687285223
23,"(1, -2, 1)",107.18,136.01,2.78,537.8,"(1, 2, 1)",4.760175066808642,48.92446043165468,10.370503597122298
24,"(-2, 2, 0)",1275.04,176.12,3.6,294.9,"(0, 2, 2)",4.122432534317572,48.922222222222224,-305.2555555555556
25,"(2, -2, 0)",1275.04,160.06,3.29,291.3,"(0, 2, 2)",4.122432534317572,48.650455927051674,-338.8996960486322
26,"(2, 2, 0)",1275.04,277.27,5.55,226.7,"(0, 2, 2)",4.122432534317573,49.95855855855856,-179.7783783783784
27,"(2, -2, -1)",476.85,329.23,6.64,96.1,"(1, 2, 2)",3.8866666666666667,49.58283132530121,-22.231927710843376
28,"(-2, 2, -1)",476.85,406.84,8.18,491.1,"(1, 2, 2)",3.8866666666666667,49.7359413202934,-8.558679706601474
