,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2692.53,206.07,4.15,278.5,"(0, 1, 0)",11.658999999999999,49.65542168674698,-599.1469879518072
1,"(1, 0, 0)",2692.53,152.75,3.08,303.9,"(0, 1, 0)",11.658999999999999,49.59415584415584,-824.6038961038962
2,"(0, 1, 0)",2692.53,146.44,2.96,281.0,"(0, 1, 0)",11.658999999999999,49.472972972972975,-860.1655405405406
3,"(1, -1, 0)",1520.3,125.95,2.59,291.1,"(0, 1, 1)",8.244157961853956,48.62934362934363,-538.3590733590734
4,"(1, 1, 0)",1520.3,121.48,2.44,160.7,"(0, 1, 1)",8.244157961853958,49.786885245901644,-573.2868852459017
5,"(-2, 0, 0)",174.24,101.29,2.11,307.8,"(0, 2, 0)",5.8294999999999995,48.0047393364929,-34.573459715639814
6,"(0, -2, 0)",174.24,110.71,2.31,278.3,"(0, 2, 0)",5.8294999999999995,47.92640692640692,-27.502164502164508
7,"(2, 0, 0)",174.24,85.91,1.8,304.1,"(0, 2, 0)",5.8294999999999995,47.727777777777774,-49.07222222222223
8,"(0, 2, 0)",174.24,106.92,2.23,281.5,"(0, 2, 0)",5.8294999999999995,47.946188340807176,-30.188340807174892
9,"(-2, 1, 0)",357.77,163.63,3.38,297.7,"(0, 2, 1)",5.214063309934009,48.4112426035503,-57.437869822485204
10,"(2, -1, 0)",357.77,145.76,3.03,295.0,"(0, 2, 1)",5.214063309934009,48.1056105610561,-69.97029702970298
11,"(2, 1, 0)",357.77,215.29,4.32,338.1,"(0, 2, 1)",5.2140633099340095,49.835648148148145,-32.981481481481474
12,"(-1, 2, 0)",357.77,130.22,2.74,289.2,"(0, 2, 1)",5.214063309934009,47.52554744525547,-83.04744525547444
13,"(1, -2, 0)",357.77,153.34,3.19,286.5,"(0, 2, 1)",5.214063309934009,48.06896551724138,-64.0846394984326
14,"(1, 2, 0)",357.77,168.39,3.4,264.3,"(0, 2, 1)",5.2140633099340095,49.52647058823529,-55.7
15,"(2, -1, -1)",116.36,151.49,3.17,34.3,"(1, 2, 1)",4.759766818518178,47.78864353312303,11.082018927444798
16,"(1, -2, -1)",116.36,122.75,2.63,39.6,"(1, 2, 1)",4.7597668185181785,46.67300380228137,2.4296577946768063
17,"(-2, 1, -1)",116.36,166.25,3.53,556.3,"(1, 2, 1)",4.7597668185181785,47.09631728045326,14.13314447592068
18,"(-1, 2, -1)",116.36,192.08,3.98,536.8,"(1, 2, 1)",4.759766818518178,48.26130653266332,19.025125628140707
19,"(-2, 1, 1)",116.36,124.79,2.66,37.6,"(1, 2, 1)",4.759766818518178,46.91353383458647,3.1691729323308295
20,"(-1, 2, 1)",116.36,105.56,2.3,42.7,"(1, 2, 1)",4.7597668185181785,45.89565217391305,-4.695652173913043
21,"(2, -1, 1)",116.36,177.52,3.73,553.1,"(1, 2, 1)",4.7597668185181785,47.59249329758713,16.39678284182306
22,"(1, -2, 1)",116.36,167.32,3.5,533.7,"(1, 2, 1)",4.759766818518178,47.80571428571428,14.559999999999999
23,"(-2, 2, 0)",1286.85,177.71,3.73,293.6,"(0, 2, 2)",4.122078980926978,47.643431635388744,-297.35656836461123
24,"(2, -2, 0)",1286.85,156.54,3.31,290.3,"(0, 2, 2)",4.122078980926978,47.29305135951661,-341.48338368580056
25,"(2, 2, 0)",1286.85,121.68,2.44,163.6,"(0, 2, 2)",4.122078980926979,49.868852459016395,-477.5286885245901
26,"(2, -2, -1)",498.24,310.56,6.36,94.6,"(1, 2, 2)",3.8863333333333325,48.83018867924528,-29.50943396226415
27,"(-2, 2, -1)",498.24,204.32,4.2,489.0,"(1, 2, 2)",3.8863333333333325,48.647619047619045,-69.98095238095239
28,"(-2, 2, 1)",498.24,324.35,6.64,98.4,"(1, 2, 2)",3.8863333333333325,48.84789156626507,-26.188253012048193
29,"(2, -2, 1)",498.24,226.07,4.63,485.3,"(1, 2, 2)",3.8863333333333325,48.827213822894166,-58.78401727861772
30,"(-3, 0, 0)",1440.57,137.7,2.88,308.9,"(0, 3, 0)",3.8863333333333334,47.8125,-452.38541666666663
31,"(0, -3, 0)",1440.57,113.42,2.43,277.4,"(0, 3, 0)",3.8863333333333334,46.67489711934156,-546.1522633744855
32,"(3, 0, 0)",1440.57,98.66,2.11,303.5,"(0, 3, 0)",3.8863333333333334,46.75829383886256,-635.9763033175356
33,"(0, 3, 0)",1440.57,98.96,2.15,282.3,"(0, 3, 0)",3.8863333333333334,46.027906976744184,-624.0046511627907
34,"(-3, -1, 0)",116.17,169.75,3.45,328.0,"(0, 3, 1)",3.6868995239903133,49.20289855072463,15.530434782608694
35,"(0, -3, -1)",116.17,129.74,2.78,43.5,"(0, 3, 1)",3.6868995239903133,46.66906474820144,4.88129496402878
36,"(-3, 1, 0)",116.17,122.94,2.67,301.1,"(0, 3, 1)",3.686899523990313,46.04494382022472,2.5355805243445677
37,"(0, 3, 1)",116.17,123.43,2.63,48.6,"(0, 3, 1)",3.6868995239903133,46.931558935361224,2.7604562737642606
38,"(3, -1, 0)",116.17,105.66,2.32,296.5,"(0, 3, 1)",3.686899523990313,45.543103448275865,-4.530172413793106
39,"(0, -3, 1)",116.17,152.75,3.18,514.8,"(0, 3, 1)",3.686899523990313,48.03459119496855,11.503144654088048
40,"(3, 1, 0)",116.17,150.42,3.06,317.6,"(0, 3, 1)",3.6868995239903133,49.15686274509803,11.192810457516336
41,"(0, 3, -1)",116.17,97.6,2.1,520.1,"(0, 3, 1)",3.686899523990313,46.476190476190474,-8.842857142857145
42,"(-3, 0, -1)",116.17,223.84,4.7,578.6,"(0, 3, 1)",3.6868995239903133,47.625531914893614,22.908510638297873
43,"(-1, -3, 0)",116.17,190.14,3.88,266.0,"(0, 3, 1)",3.6868995239903133,49.00515463917525,19.06443298969072
44,"(-3, 0, 1)",116.17,149.55,3.15,32.8,"(0, 3, 1)",3.686899523990313,47.47619047619048,10.5968253968254
45,"(-1, 3, 0)",116.17,92.06,2.11,287.9,"(0, 3, 1)",3.686899523990313,43.63033175355451,-11.42654028436019
46,"(3, 0, 1)",116.17,147.8,3.15,572.8,"(0, 3, 1)",3.6868995239903133,46.920634920634924,10.041269841269845
47,"(1, -3, 0)",116.17,113.72,2.49,283.4,"(0, 3, 1)",3.686899523990313,45.67068273092369,-0.9839357429718886
48,"(3, 0, -1)",116.17,103.42,2.22,27.0,"(0, 3, 1)",3.686899523990313,46.585585585585584,-5.743243243243243
49,"(1, 3, 0)",116.17,123.82,2.56,273.5,"(0, 3, 1)",3.6868995239903133,48.36718749999999,2.9882812499999964
50,"(3, -1, -1)",974.55,281.72,5.77,92.2,"(1, 3, 1)",3.515320766432145,48.82495667244368,-120.07452339688041
51,"(1, -3, -1)",974.55,189.46,3.99,95.6,"(1, 3, 1)",3.5153207664321457,47.48370927318296,-196.76441102756888
52,"(-3, 1, -1)",974.55,246.08,5.02,503.4,"(1, 3, 1)",3.5153207664321457,49.019920318725106,-145.11354581673305
53,"(-1, 3, -1)",974.55,289.58,5.88,476.5,"(1, 3, 1)",3.515320766432145,49.24829931972789,-116.49149659863946
54,"(-3, 1, 1)",974.55,180.82,3.84,96.8,"(1, 3, 1)",3.515320766432145,47.088541666666664,-206.70052083333334
55,"(-1, 3, 1)",974.55,260.93,5.38,100.3,"(1, 3, 1)",3.5153207664321457,48.5,-132.6431226765799
56,"(3, -1, 1)",974.55,265.79,5.41,498.7,"(1, 3, 1)",3.5153207664321457,49.129390018484294,-131.00924214417745
57,"(1, -3, 1)",974.55,250.64,5.11,472.3,"(1, 3, 1)",3.515320766432145,49.04892367906066,-141.66536203522503
58,"(-3, 2, 0)",525.09,121.1,2.7,296.6,"(0, 3, 2)",3.2336247938949727,44.85185185185185,-149.6259259259259
59,"(3, -2, 0)",525.09,117.11,2.61,292.2,"(0, 3, 2)",3.2336247938949727,44.86973180076629,-156.31417624521075
60,"(3, 2, 0)",525.09,271.81,5.45,383.6,"(0, 3, 2)",3.233624793894973,49.873394495412846,-46.47339449541285
61,"(-2, -3, 0)",525.09,310.07,6.24,238.1,"(0, 3, 2)",3.233624793894973,49.690705128205124,-34.458333333333336
62,"(-2, 3, 0)",525.09,120.8,2.73,291.6,"(0, 3, 2)",3.2336247938949727,44.24908424908425,-148.0915750915751
63,"(2, -3, 0)",525.09,125.37,2.79,287.3,"(0, 3, 2)",3.2336247938949727,44.935483870967744,-143.2688172043011
64,"(2, 3, 0)",525.09,254.82,5.13,254.1,"(0, 3, 2)",3.233624793894973,49.67251461988304,-52.684210526315795
65,"(3, -2, -1)",329.0,173.73,3.74,130.9,"(1, 3, 2)",3.115998819456955,46.451871657754005,-41.51604278074866
66,"(-3, 2, -1)",329.0,218.01,4.51,457.6,"(1, 3, 2)",3.1159988194569554,48.33924611973392,-24.60975609756098
67,"(2, -3, -1)",329.0,152.07,3.35,131.1,"(1, 3, 2)",3.1159988194569554,45.394029850746264,-52.81492537313433
68,"(-2, 3, -1)",329.0,242.68,5.0,447.7,"(1, 3, 2)",3.115998819456955,48.536,-17.264
69,"(-3, 2, 1)",329.0,123.23,2.82,135.5,"(1, 3, 2)",3.115998819456955,43.69858156028369,-72.96808510638297
70,"(3, -2, 1)",329.0,256.56,5.27,452.8,"(1, 3, 2)",3.1159988194569554,48.68311195445921,-13.74573055028463
71,"(-2, 3, 1)",329.0,186.16,4.0,135.7,"(1, 3, 2)",3.1159988194569554,46.54,-35.71
72,"(2, -3, 1)",329.0,262.78,5.41,443.2,"(1, 3, 2)",3.115998819456955,48.57301293900184,-12.240295748613683
73,"(-2, 3, -2)",246.69,162.76,3.72,583.9,"(2, 3, 2)",2.827722852298605,43.75268817204301,-22.561827956989248
74,"(3, -2, 2)",246.69,215.2,4.61,590.8,"(2, 3, 2)",2.827722852298606,46.681127982646416,-6.830802603036878
75,"(2, -3, 2)",246.69,140.42,3.25,578.8,"(2, 3, 2)",2.827722852298605,43.20615384615384,-32.698461538461544
76,"(-3, -3, 0)",518.96,149.84,3.02,112.3,"(0, 3, 3)",2.7480526539513193,49.6158940397351,-122.22516556291392
77,"(-3, 3, 0)",518.96,138.09,3.09,294.5,"(0, 3, 3)",2.748052653951319,44.689320388349515,-123.2588996763754
78,"(3, -3, 0)",518.96,145.96,3.24,289.4,"(0, 3, 3)",2.748052653951319,45.04938271604938,-115.12345679012346
79,"(3, 3, 0)",518.96,150.33,3.02,172.4,"(0, 3, 3)",2.7480526539513193,49.778145695364245,-122.06291390728477
80,"(-3, 3, -1)",2.98,13.93,1.12,427.8,"(1, 3, 3)",2.6747580411968794,12.437499999999998,9.776785714285714
81,"(-3, 3, 1)",2.98,141.49,3.23,161.5,"(1, 3, 3)",2.6747580411968794,43.80495356037152,42.88235294117648
82,"(3, -3, 1)",2.98,7.12,1.19,422.4,"(1, 3, 3)",2.6747580411968794,5.983193277310924,3.478991596638656
83,"(3, -3, -2)",663.85,353.09,7.26,35.7,"(2, 3, 3)",2.485707151990062,48.63498622589532,-42.804407713498634
84,"(-3, 3, -2)",663.85,428.26,8.81,547.7,"(2, 3, 3)",2.485707151990062,48.61066969353008,-26.741203178206586
85,"(-3, 3, 2)",663.85,311.14,6.43,41.4,"(2, 3, 3)",2.485707151990062,48.38880248833593,-54.8538102643857
86,"(3, -3, 2)",663.85,387.86,8.01,541.9,"(2, 3, 3)",2.485707151990062,48.421972534332085,-34.45568039950063
87,"(-4, 0, 0)",30.25,184.02,3.84,309.9,"(0, 4, 0)",2.9147499999999997,47.92187500000001,40.044270833333336
88,"(0, -4, 0)",30.25,143.63,3.06,276.7,"(0, 4, 0)",2.9147499999999997,46.93790849673202,37.052287581699346
89,"(4, 0, 0)",30.25,179.46,3.73,302.4,"(0, 4, 0)",2.9147499999999997,48.112600536193035,40.002680965147455
90,"(0, 4, 0)",30.25,196.16,4.08,283.1,"(0, 4, 0)",2.9147499999999997,48.07843137254902,40.66421568627451
91,"(-4, -1, 0)",758.0,309.68,6.27,322.9,"(0, 4, 1)",2.827722852298606,49.39074960127592,-71.50239234449761
92,"(0, -4, -1)",758.0,138.19,3.03,96.5,"(0, 4, 1)",2.827722852298606,45.60726072607261,-204.55775577557756
93,"(-4, 1, 0)",758.0,127.7,2.82,303.4,"(0, 4, 1)",2.827722852298606,45.283687943262414,-223.51063829787233
94,"(0, 4, 1)",758.0,261.61,5.37,103.0,"(0, 4, 1)",2.827722852298606,48.716945996275605,-92.43761638733706
95,"(4, -1, 0)",758.0,131.97,2.86,297.4,"(0, 4, 1)",2.827722852298606,46.14335664335665,-218.8916083916084
96,"(0, -4, 1)",758.0,266.57,5.43,459.0,"(0, 4, 1)",2.827722852298606,49.09208103130755,-90.50276243093923
97,"(4, 1, 0)",758.0,185.38,3.8,311.7,"(0, 4, 1)",2.827722852298606,48.78421052631579,-150.68947368421053
98,"(0, 4, -1)",758.0,250.54,5.11,465.5,"(0, 4, 1)",2.827722852298606,49.02935420743639,-99.30724070450098
99,"(-4, 0, -1)",758.0,213.74,4.39,519.4,"(0, 4, 1)",2.827722852298606,48.68792710706151,-123.97722095671982
100,"(-1, -4, 0)",758.0,256.76,5.23,268.5,"(0, 4, 1)",2.827722852298606,49.09369024856596,-95.83938814531548
101,"(-4, 0, 1)",758.0,136.73,3.01,96.7,"(0, 4, 1)",2.827722852298606,45.42524916943522,-206.40199335548175
102,"(-1, 4, 0)",758.0,86.71,2.1,287.2,"(0, 4, 1)",2.827722852298606,41.290476190476184,-319.66190476190474
103,"(4, 0, 1)",758.0,202.77,4.16,512.0,"(0, 4, 1)",2.827722852298606,48.74278846153846,-133.46875
