,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2740.04,712.83,14.26,336.0,"(0, 1, 0)",11.644,49.98807854137448,-142.16058906030855
1,"(-2, 1, 0)",374.25,240.39,4.83,311.2,"(0, 2, 1)",5.20735510600151,49.77018633540372,-27.714285714285715
2,"(2, -1, 0)",374.25,257.52,5.18,307.6,"(0, 2, 1)",5.20735510600151,49.714285714285715,-22.53474903474904
3,"(2, 1, 0)",374.25,263.13,5.27,225.4,"(0, 2, 1)",5.207355106001511,49.92979127134725,-21.085388994307404
4,"(-1, -2, 0)",374.25,228.18,4.57,367.5,"(0, 2, 1)",5.207355106001511,49.92997811816193,-31.96280087527352
5,"(-1, 2, 0)",374.25,263.49,5.3,325.7,"(0, 2, 1)",5.20735510600151,49.715094339622645,-20.89811320754717
6,"(1, -2, 0)",374.25,255.36,5.13,322.6,"(0, 2, 1)",5.20735510600151,49.77777777777778,-23.175438596491226
7,"(1, 2, 0)",374.25,235.39,4.72,376.3,"(0, 2, 1)",5.207355106001511,49.87076271186441,-29.419491525423734
8,"(2, -1, -1)",99.57,119.96,2.44,51.8,"(1, 2, 1)",4.75364309416122,49.16393442622951,8.35655737704918
9,"(1, -2, -1)",99.57,105.22,2.14,74.5,"(1, 2, 1)",4.753643094161222,49.168224299065415,2.640186915887853
10,"(-2, 1, -1)",99.57,88.12,1.81,573.4,"(1, 2, 1)",4.753643094161222,48.68508287292818,-6.325966850828723
11,"(-1, 2, -1)",99.57,85.69,1.77,573.0,"(1, 2, 1)",4.75364309416122,48.41242937853107,-7.841807909604517
12,"(-2, 1, 1)",99.57,108.79,2.22,55.6,"(1, 2, 1)",4.75364309416122,49.0045045045045,4.153153153153158
13,"(-1, 2, 1)",99.57,112.46,2.29,78.2,"(1, 2, 1)",4.753643094161222,49.109170305676855,5.6288209606986905
14,"(2, -1, 1)",99.57,83.75,1.74,569.2,"(1, 2, 1)",4.753643094161222,48.132183908045974,-9.091954022988501
15,"(1, -2, 1)",99.57,81.42,1.69,569.3,"(1, 2, 1)",4.75364309416122,48.17751479289941,-10.739644970414197
16,"(-2, -2, 0)",1267.25,576.46,11.53,529.8,"(0, 2, 2)",4.116775680068081,49.996530789245455,-59.91240242844753
17,"(-2, 2, 0)",1267.25,602.47,12.08,318.3,"(0, 2, 2)",4.11677568006808,49.87334437086093,-55.03145695364238
18,"(2, -2, 0)",1267.25,640.81,12.85,314.0,"(0, 2, 2)",4.11677568006808,49.86848249027237,-48.75019455252919
19,"(2, -2, -1)",470.07,417.43,8.38,120.5,"(1, 2, 2)",3.881333333333333,49.8126491646778,-6.281622911694509
20,"(-2, 2, -1)",470.07,330.07,6.64,514.4,"(1, 2, 2)",3.881333333333333,49.70933734939759,-21.08433734939759
21,"(-2, 2, 1)",470.07,432.76,8.69,124.7,"(1, 2, 2)",3.881333333333333,49.79976985040276,-4.293440736478711
22,"(2, -2, 1)",470.07,360.08,7.24,510.5,"(1, 2, 2)",3.881333333333333,49.73480662983425,-15.191988950276244
23,"(-3, 0, 0)",1455.71,211.58,4.26,296.0,"(0, 3, 0)",3.881333333333333,49.66666666666667,-292.04929577464793
24,"(0, -3, 0)",1455.71,264.59,5.32,333.4,"(0, 3, 0)",3.881333333333333,49.73496240601503,-223.89473684210526
25,"(3, 0, 0)",1455.71,209.91,4.23,288.5,"(0, 3, 0)",3.881333333333333,49.624113475177296,-294.51536643026003
26,"(0, 3, 0)",1455.71,244.02,4.91,339.3,"(0, 3, 0)",3.881333333333333,49.69857433808554,-246.78004073319755
27,"(-3, -1, 0)",121.91,146.97,2.96,272.7,"(0, 3, 1)",3.6821561075000617,49.652027027027025,8.466216216216218
28,"(0, -3, -1)",121.91,129.33,2.62,95.7,"(0, 3, 1)",3.6821561075000617,49.36259541984733,2.8320610687022962
29,"(-3, 1, 0)",121.91,170.24,3.45,308.0,"(0, 3, 1)",3.682156107500061,49.344927536231886,14.008695652173916
30,"(0, 3, 1)",121.91,134.4,2.73,100.8,"(0, 3, 1)",3.6821561075000617,49.23076923076923,4.575091575091578
31,"(3, -1, 0)",121.91,188.28,3.81,303.1,"(0, 3, 1)",3.682156107500061,49.41732283464567,17.41994750656168
32,"(0, -3, 1)",121.91,154.2,3.13,568.7,"(0, 3, 1)",3.682156107500061,49.26517571884984,10.316293929712458
33,"(3, 1, 0)",121.91,146.8,2.96,260.9,"(0, 3, 1)",3.6821561075000617,49.5945945945946,8.40878378378379
34,"(0, 3, -1)",121.91,141.53,2.88,574.0,"(0, 3, 1)",3.682156107500061,49.142361111111114,6.812500000000002
35,"(-3, 0, -1)",121.91,170.27,3.44,574.9,"(0, 3, 1)",3.6821561075000617,49.497093023255815,14.058139534883725
36,"(-1, -3, 0)",121.91,166.77,3.36,351.1,"(0, 3, 1)",3.6821561075000617,49.63392857142858,13.351190476190482
37,"(-3, 0, 1)",121.91,126.53,2.57,33.3,"(0, 3, 1)",3.682156107500061,49.23346303501946,1.7976653696498073
38,"(-1, 3, 0)",121.91,177.44,3.59,330.0,"(0, 3, 1)",3.682156107500061,49.42618384401114,15.467966573816158
