,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2720.81,237.92,4.76,310.9,"(0, 1, 0)",11.651,49.983193277310924,-521.6155462184873
1,"(1, 0, 0)",2720.81,290.6,5.81,283.1,"(0, 1, 0)",11.651,50.0172117039587,-418.2805507745267
2,"(1, -1, 0)",1466.74,182.4,3.66,297.0,"(0, 1, 1)",8.238501107604465,49.83606557377049,-350.9125683060109
3,"(-2, 0, 0)",153.08,275.26,5.51,288.2,"(0, 2, 0)",5.8255,49.95644283121597,22.174228675136114
4,"(2, 0, 0)",153.08,323.78,6.48,282.5,"(0, 2, 0)",5.8255,49.966049382716044,26.342592592592585
5,"(-2, 1, 0)",380.68,108.0,2.18,296.8,"(0, 2, 1)",5.210485601170009,49.54128440366972,-125.08256880733944
6,"(2, -1, 0)",380.68,133.88,2.7,293.4,"(0, 2, 1)",5.210485601170009,49.58518518518518,-91.4074074074074
7,"(2, 1, 0)",380.68,174.39,3.49,258.8,"(0, 2, 1)",5.210485601170011,49.96848137535816,-59.108882521489974
8,"(-1, -2, 0)",380.68,122.24,2.45,324.2,"(0, 2, 1)",5.210485601170011,49.8938775510204,-105.48571428571428
9,"(-1, 2, 0)",380.68,118.07,2.38,304.8,"(0, 2, 1)",5.210485601170009,49.60924369747899,-110.34033613445379
10,"(1, -2, 0)",380.68,110.49,2.23,301.6,"(0, 2, 1)",5.210485601170009,49.54708520179372,-121.16143497757848
11,"(1, 2, 0)",380.68,142.92,2.86,330.1,"(0, 2, 1)",5.210485601170011,49.972027972027966,-83.13286713286715
12,"(2, -1, -1)",104.88,102.77,2.08,40.7,"(1, 2, 1)",4.756500832194468,49.40865384615384,-1.0144230769230766
13,"(1, -2, -1)",104.88,105.07,2.12,56.8,"(1, 2, 1)",4.756500832194468,49.561320754716974,0.08962264150943289
14,"(-2, 1, -1)",104.88,105.55,2.13,564.2,"(1, 2, 1)",4.756500832194468,49.55399061032864,0.31455399061032946
15,"(-1, 2, -1)",104.88,105.15,2.12,555.8,"(1, 2, 1)",4.756500832194468,49.59905660377358,0.12735849056604256
16,"(-2, 1, 1)",104.88,119.89,2.42,44.6,"(1, 2, 1)",4.756500832194468,49.54132231404959,6.202479338842977
17,"(-1, 2, 1)",104.88,112.77,2.28,60.3,"(1, 2, 1)",4.756500832194468,49.46052631578948,3.4605263157894743
18,"(2, -1, 1)",104.88,105.6,2.13,560.5,"(1, 2, 1)",4.756500832194468,49.57746478873239,0.338028169014084
19,"(1, -2, 1)",104.88,109.17,2.2,552.5,"(1, 2, 1)",4.756500832194468,49.62272727272727,1.9500000000000026
20,"(-2, -2, 0)",1299.63,240.58,4.81,396.8,"(0, 2, 2)",4.119250553802233,50.01663201663202,-220.17671517671522
21,"(-2, 2, 0)",1299.63,171.06,3.44,299.4,"(0, 2, 2)",4.119250553802233,49.72674418604651,-328.0726744186047
22,"(2, -2, 0)",1299.63,183.56,3.69,295.7,"(0, 2, 2)",4.119250553802233,49.74525745257453,-302.4579945799459
23,"(2, 2, 0)",1299.63,309.11,6.18,425.4,"(0, 2, 2)",4.119250553802233,50.017799352750814,-160.2783171521036
24,"(2, -2, -1)",475.46,381.47,7.64,105.9,"(1, 2, 2)",3.8836666666666666,49.93062827225131,-12.302356020942403
25,"(-2, 2, -1)",475.46,334.12,6.7,502.2,"(1, 2, 2)",3.8836666666666666,49.86865671641791,-21.0955223880597
26,"(-2, 2, 1)",475.46,410.14,8.22,109.9,"(1, 2, 2)",3.8836666666666666,49.89537712895377,-7.946472019464719
27,"(2, -2, 1)",475.46,333.62,6.69,497.8,"(1, 2, 2)",3.8836666666666666,49.86846038863976,-21.20179372197309
28,"(-3, 0, 0)",1512.99,88.71,1.8,295.5,"(0, 3, 0)",3.8836666666666666,49.28333333333333,-791.2666666666667
29,"(0, -3, 0)",1512.99,84.6,1.71,308.4,"(0, 3, 0)",3.8836666666666666,49.473684210526315,-835.3157894736843
30,"(3, 0, 0)",1512.99,85.31,1.73,289.4,"(0, 3, 0)",3.8836666666666666,49.3121387283237,-825.2485549132948
31,"(0, 3, 0)",1512.99,89.9,1.82,313.5,"(0, 3, 0)",3.8836666666666666,49.395604395604394,-781.9175824175824
32,"(-3, -1, 0)",122.74,114.49,2.3,282.9,"(0, 3, 1)",3.6843697018621793,49.778260869565216,-3.586956521739131
33,"(0, -3, -1)",122.74,112.39,2.27,70.6,"(0, 3, 1)",3.6843697018621793,49.51101321585903,-4.559471365638764
34,"(-3, 1, 0)",122.74,93.78,1.9,297.6,"(0, 3, 1)",3.684369701862179,49.357894736842105,-15.242105263157892
35,"(0, 3, 1)",122.74,108.1,2.18,75.8,"(0, 3, 1)",3.6843697018621793,49.58715596330275,-6.715596330275229
36,"(3, -1, 0)",122.74,103.4,2.09,292.5,"(0, 3, 1)",3.684369701862179,49.47368421052632,-9.253588516746406
37,"(0, -3, 1)",122.74,111.74,2.25,544.1,"(0, 3, 1)",3.684369701862179,49.66222222222222,-4.888888888888889
38,"(3, 1, 0)",122.74,113.06,2.27,274.8,"(0, 3, 1)",3.6843697018621793,49.80616740088106,-4.264317180616737
39,"(0, 3, -1)",122.74,110.64,2.23,549.1,"(0, 3, 1)",3.684369701862179,49.61434977578475,-5.426008968609863
40,"(-3, 0, -1)",122.74,108.64,2.19,574.4,"(0, 3, 1)",3.6843697018621793,49.60730593607306,-6.438356164383559
41,"(-1, -3, 0)",122.74,100.05,2.01,315.5,"(0, 3, 1)",3.6843697018621793,49.77611940298508,-11.288557213930348
42,"(-3, 0, 1)",122.74,118.79,2.4,29.3,"(0, 3, 1)",3.684369701862179,49.49583333333334,-1.6458333333333286
43,"(-1, 3, 0)",122.74,101.02,2.05,308.2,"(0, 3, 1)",3.684369701862179,49.27804878048781,-10.595121951219513
44,"(3, 0, 1)",122.74,107.59,2.17,567.8,"(0, 3, 1)",3.6843697018621793,49.58064516129033,-6.981566820276494
45,"(1, -3, 0)",122.74,98.95,2.01,303.9,"(0, 3, 1)",3.684369701862179,49.22885572139304,-11.835820895522385
46,"(3, 0, -1)",122.74,109.95,2.22,23.9,"(0, 3, 1)",3.684369701862179,49.527027027027025,-5.761261261261257
47,"(1, 3, 0)",122.74,104.09,2.09,322.4,"(0, 3, 1)",3.6843697018621793,49.803827751196174,-8.923444976076551
48,"(3, -1, -1)",936.48,543.69,10.89,94.3,"(1, 3, 1)",3.512908675675523,49.925619834710744,-36.068870523415974
49,"(1, -3, -1)",936.48,547.02,10.96,115.7,"(1, 3, 1)",3.512908675675524,49.910583941605836,-35.534671532846716
50,"(-3, 1, -1)",936.48,478.67,9.59,506.4,"(1, 3, 1)",3.512908675675524,49.91345151199166,-47.738269030239834
51,"(-1, 3, -1)",936.48,457.49,9.16,497.5,"(1, 3, 1)",3.512908675675523,49.94432314410481,-52.29148471615721
52,"(-3, 1, 1)",936.48,568.7,11.39,99.6,"(1, 3, 1)",3.512908675675523,49.92976294995611,-32.28972783143107
53,"(3, -1, 1)",936.48,450.82,9.03,501.3,"(1, 3, 1)",3.512908675675524,49.92469545957918,-53.782945736434115
54,"(1, -3, 1)",936.48,463.49,9.28,493.1,"(1, 3, 1)",3.512908675675523,49.94504310344828,-50.96875000000001
55,"(-3, 2, 0)",487.06,128.89,2.61,299.2,"(0, 3, 2)",3.231405993110072,49.383141762452105,-137.22988505747128
56,"(3, -2, 0)",487.06,145.27,2.93,294.5,"(0, 3, 2)",3.231405993110072,49.580204778157,-116.65187713310578
57,"(-2, -3, 0)",487.06,164.31,3.29,335.3,"(0, 3, 2)",3.231405993110073,49.94224924012158,-98.10030395136778
58,"(-2, 3, 0)",487.06,128.33,2.6,303.9,"(0, 3, 2)",3.231405993110072,49.35769230769231,-137.97307692307692
59,"(2, -3, 0)",487.06,129.44,2.62,299.0,"(0, 3, 2)",3.231405993110072,49.404580152671755,-136.49618320610688
60,"(2, 3, 0)",487.06,220.24,4.41,347.8,"(0, 3, 2)",3.231405993110073,49.941043083900226,-60.50340136054422
61,"(3, -2, -1)",317.64,235.58,4.73,137.8,"(1, 3, 2)",3.1138607295216563,49.80549682875264,-17.348837209302317
62,"(-3, 2, -1)",317.64,228.58,4.59,465.1,"(1, 3, 2)",3.1138607295216567,49.79956427015251,-19.403050108932458
63,"(2, -3, -1)",317.64,232.91,4.68,145.7,"(1, 3, 2)",3.1138607295216567,49.76709401709402,-18.104700854700855
64,"(-2, 3, -1)",317.64,230.08,4.63,463.1,"(1, 3, 2)",3.1138607295216563,49.693304535637154,-18.911447084233256
65,"(-3, 2, 1)",317.64,250.42,5.03,143.0,"(1, 3, 2)",3.1138607295216563,49.78528827037773,-13.363817097415506
66,"(3, -2, 1)",317.64,225.91,4.54,459.9,"(1, 3, 2)",3.1138607295216567,49.759911894273124,-20.204845814977972
67,"(-2, 3, 1)",317.64,245.25,4.93,150.5,"(1, 3, 2)",3.1138607295216567,49.74645030425964,-14.683569979716022
68,"(2, -3, 1)",317.64,222.24,4.47,458.1,"(1, 3, 2)",3.1138607295216563,49.71812080536913,-21.342281879194626
69,"(2, -3, -2)",217.81,200.9,4.05,11.4,"(2, 3, 2)",2.8257825672983157,49.604938271604944,-4.175308641975308
70,"(-3, 2, 2)",217.81,196.07,3.95,8.3,"(2, 3, 2)",2.8257825672983152,49.6379746835443,-5.503797468354432
71,"(-2, 3, 2)",217.81,195.57,3.94,16.7,"(2, 3, 2)",2.8257825672983157,49.63705583756345,-5.644670050761424
72,"(-3, -3, 0)",472.34,509.01,10.18,374.9,"(0, 3, 3)",2.7461670358681554,50.00098231827112,3.6021611001964655
73,"(-3, 3, 0)",472.34,371.63,7.46,301.3,"(0, 3, 3)",2.7461670358681554,49.816353887399465,-13.499999999999996
74,"(3, -3, 0)",472.34,363.96,7.3,296.1,"(0, 3, 3)",2.7461670358681554,49.85753424657534,-14.846575342465753
75,"(3, 3, 0)",472.34,672.23,13.45,425.7,"(0, 3, 3)",2.7461670358681554,49.979925650557625,14.861710037174726
76,"(3, -3, -1)",1.76,5.91,0.32,167.1,"(1, 3, 3)",2.6729227153259147,18.46875,12.96875
77,"(-3, 3, 1)",1.76,5.92,0.35,173.0,"(1, 3, 3)",2.6729227153259147,16.914285714285715,11.885714285714286
78,"(3, -3, -2)",634.28,501.67,10.06,47.6,"(2, 3, 3)",2.484001546259217,49.86779324055666,-13.18190854870775
79,"(-3, 3, -2)",634.28,497.17,9.97,561.1,"(2, 3, 3)",2.484001546259217,49.866599799398195,-13.752256770310927
80,"(-3, 3, 2)",634.28,538.19,10.79,53.8,"(2, 3, 3)",2.484001546259217,49.87859128822985,-8.905468025949947
81,"(3, -3, 2)",634.28,468.66,9.39,554.8,"(2, 3, 3)",2.484001546259217,49.91054313099041,-17.637912673056437
82,"(-4, 0, 0)",23.53,324.78,6.51,290.7,"(0, 4, 0)",2.91275,49.88940092165898,46.274961597542244
83,"(0, -4, 0)",23.53,318.11,6.38,307.9,"(0, 4, 0)",2.91275,49.860501567398124,46.17241379310345
84,"(4, 0, 0)",23.53,308.11,6.18,282.6,"(0, 4, 0)",2.91275,49.855987055016186,46.0485436893204
