,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2716.97,203.9,4.08,278.8,"(0, 1, 0)",11.651,49.97549019607843,-615.9485294117646
1,"(1, -1, 0)",1469.42,155.2,3.11,290.9,"(0, 1, 1)",8.238501107604465,49.90353697749196,-422.57877813504825
2,"(0, -2, 0)",155.55,202.23,4.05,278.6,"(0, 2, 0)",5.8255,49.93333333333333,11.525925925925922
3,"(0, 2, 0)",155.55,156.84,3.14,282.0,"(0, 2, 0)",5.8255,49.94904458598726,0.4108280254777045
4,"(-2, 1, 0)",382.09,152.06,3.05,297.7,"(0, 2, 1)",5.210485601170009,49.855737704918035,-75.41967213114754
5,"(2, 1, 0)",382.09,161.8,3.24,335.6,"(0, 2, 1)",5.210485601170011,49.93827160493827,-67.99074074074072
6,"(-1, -2, 0)",382.09,217.47,4.35,258.3,"(0, 2, 1)",5.210485601170011,49.99310344827587,-37.84367816091954
7,"(-1, 2, 0)",382.09,128.07,2.57,289.1,"(0, 2, 1)",5.210485601170009,49.83268482490272,-98.84046692607004
8,"(1, -2, 0)",382.09,145.87,2.93,286.3,"(0, 2, 1)",5.210485601170009,49.784982935153586,-80.6211604095563
9,"(2, -1, -1)",105.22,122.45,2.47,35.5,"(1, 2, 1)",4.756500832194468,49.5748987854251,6.975708502024292
10,"(1, -2, -1)",105.22,129.33,2.61,40.8,"(1, 2, 1)",4.756500832194468,49.55172413793104,9.237547892720313
11,"(-2, 1, -1)",105.22,174.07,3.51,557.2,"(1, 2, 1)",4.756500832194468,49.592592592592595,19.615384615384613
12,"(-1, 2, -1)",105.22,127.56,2.58,538.1,"(1, 2, 1)",4.756500832194468,49.44186046511628,8.658914728682172
13,"(-2, 1, 1)",105.22,129.76,2.62,38.6,"(1, 2, 1)",4.756500832194468,49.5267175572519,9.366412213740455
14,"(-1, 2, 1)",105.22,114.85,2.32,44.0,"(1, 2, 1)",4.756500832194468,49.50431034482759,4.150862068965515
15,"(2, -1, 1)",105.22,154.72,3.12,554.1,"(1, 2, 1)",4.756500832194468,49.58974358974359,15.865384615384615
16,"(1, -2, 1)",105.22,134.63,2.72,535.1,"(1, 2, 1)",4.756500832194468,49.49632352941176,10.812499999999998
17,"(-2, -2, 0)",1304.55,315.43,6.31,131.3,"(0, 2, 2)",4.119250553802233,49.98890649762283,-156.75435816164816
18,"(2, -2, 0)",1304.55,225.09,4.52,290.2,"(0, 2, 2)",4.119250553802233,49.798672566371685,-238.8185840707965
19,"(2, 2, 0)",1304.55,211.71,4.24,174.6,"(0, 2, 2)",4.119250553802233,49.931603773584904,-257.7452830188679
20,"(2, -2, -1)",471.73,177.1,3.56,95.7,"(1, 2, 2)",3.8836666666666666,49.747191011235955,-82.76123595505618
21,"(-2, 2, -1)",471.73,321.75,6.45,489.5,"(1, 2, 2)",3.8836666666666666,49.883720930232556,-23.252713178294577
22,"(-2, 2, 1)",471.73,180.98,3.64,99.4,"(1, 2, 2)",3.8836666666666666,49.71978021978021,-79.87637362637362
23,"(-3, 0, 0)",1528.87,89.8,1.81,308.8,"(0, 3, 0)",3.8836666666666666,49.613259668508285,-795.0662983425414
24,"(0, -3, 0)",1528.87,86.23,1.74,277.9,"(0, 3, 0)",3.8836666666666666,49.55747126436782,-829.103448275862
25,"(3, 0, 0)",1528.87,82.17,1.66,302.9,"(0, 3, 0)",3.8836666666666666,49.5,-871.5060240963854
26,"(0, 3, 0)",1528.87,83.68,1.69,283.0,"(0, 3, 0)",3.8836666666666666,49.51479289940829,-855.1420118343194
27,"(0, -3, -1)",122.95,111.45,2.25,44.7,"(0, 3, 1)",3.6843697018621793,49.53333333333333,-5.111111111111111
28,"(-3, 1, 0)",122.95,111.88,2.26,301.1,"(0, 3, 1)",3.684369701862179,49.50442477876106,-4.898230088495579
29,"(0, 3, 1)",122.95,96.65,1.95,50.0,"(0, 3, 1)",3.6843697018621793,49.56410256410257,-13.487179487179485
30,"(3, -1, 0)",122.95,95.87,1.94,296.5,"(0, 3, 1)",3.684369701862179,49.41752577319588,-13.958762886597938
