,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 0)",2698.29,169.29,3.4,277.8,"(0, 1, 0)",11.655000000000003,49.79117647058823,-743.8235294117648
1,"(1, 0, 0)",2698.29,80.57,1.62,299.4,"(0, 1, 0)",11.655000000000003,49.73456790123456,-1615.8765432098762
2,"(1, 1, 0)",1495.32,46.43,0.93,214.1,"(0, 1, 1)",8.241329534729214,49.924731182795696,-1557.9462365591396
3,"(-2, 0, 0)",166.21,74.0,1.49,307.2,"(0, 2, 0)",5.8275000000000015,49.664429530201346,-61.88590604026846
4,"(0, -2, 0)",166.21,97.66,1.97,277.8,"(0, 2, 0)",5.8275000000000015,49.5736040609137,-34.79695431472082
5,"(2, 0, 0)",166.21,71.5,1.45,302.6,"(0, 2, 0)",5.8275000000000015,49.310344827586206,-65.31724137931035
6,"(0, 2, 0)",166.21,87.24,1.77,281.8,"(0, 2, 0)",5.8275000000000015,49.28813559322034,-44.61581920903956
7,"(2, -1, 0)",375.9,100.98,2.04,294.2,"(0, 2, 1)",5.212274455552011,49.5,-134.76470588235293
8,"(2, 1, 0)",375.9,51.31,1.04,331.0,"(0, 2, 1)",5.212274455552012,49.33653846153846,-312.10576923076917
9,"(-1, -2, 0)",375.9,187.74,3.76,257.1,"(0, 2, 1)",5.212274455552012,49.93085106382979,-50.042553191489354
10,"(-1, 2, 0)",375.9,96.62,1.96,288.9,"(0, 2, 1)",5.212274455552011,49.29591836734694,-142.48979591836735
11,"(1, -2, 0)",375.9,108.4,2.19,285.9,"(0, 2, 1)",5.212274455552011,49.497716894977174,-122.14611872146119
12,"(1, 2, 0)",375.9,31.89,0.67,269.9,"(0, 2, 1)",5.212274455552012,47.59701492537313,-513.4477611940298
13,"(2, -1, -1)",113.58,98.99,2.01,33.9,"(1, 2, 1)",4.758133825356325,49.24875621890548,-7.258706467661694
14,"(1, -2, -1)",113.58,79.55,1.62,39.2,"(1, 2, 1)",4.758133825356325,49.10493827160494,-21.00617283950617
15,"(-2, 1, -1)",113.58,87.7,1.79,555.7,"(1, 2, 1)",4.758133825356325,48.99441340782123,-14.458100558659215
