,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2706.31,1822.93,36.51,384.1,"(0, 1, 0)",11.606999999999994,49.9296083264859,-24.195562859490547
1,"(0, -1, 1)",1458.62,1270.68,25.49,204.2,"(0, 1, 1)",8.207388409232253,49.850137308748536,-7.373087485288342
2,"(0, 1, -1)",1458.62,1127.5,22.64,208.6,"(0, 1, 1)",8.207388409232253,49.801236749116605,-14.62544169611307
3,"(-1, 1, -1)",2480.25,2091.76,41.98,276.3,"(1, 1, 1)",6.7013045744839825,49.82753692234398,-9.254168651738919
4,"(1, -1, 1)",2480.25,2204.74,44.24,272.1,"(1, 1, 1)",6.7013045744839825,49.83589511754068,-6.227622061482825
5,"(-2, 0, 0)",131.56,1008.82,20.31,393.9,"(0, 2, 0)",5.803499999999997,49.67109798129001,43.19350073855244
6,"(2, 0, 0)",131.56,1049.58,21.12,389.0,"(0, 2, 0)",5.803499999999997,49.69602272727272,43.466856060606055
7,"(-2, 1, 0)",373.84,320.15,6.6,128.1,"(0, 2, 1)",5.190808202968008,48.50757575757576,-8.134848484848485
8,"(2, -1, 0)",373.84,269.68,5.64,124.2,"(0, 2, 1)",5.190808202968008,47.815602836879435,-18.468085106382976
9,"(-2, 0, -1)",373.84,286.58,5.91,541.9,"(0, 2, 1)",5.19080820296801,48.4906937394247,-14.764805414551606
10,"(2, 0, 1)",373.84,286.58,5.92,537.6,"(0, 2, 1)",5.19080820296801,48.40878378378378,-14.739864864864863
11,"(0, -1, 2)",373.84,374.85,7.71,445.8,"(0, 2, 1)",5.190808202968008,48.61867704280156,0.13099870298314498
12,"(0, 1, -2)",373.84,346.13,7.14,451.3,"(0, 2, 1)",5.190808202968008,48.477591036414566,-3.8809523809523783
13,"(-2, 1, -1)",108.71,106.27,3.09,309.2,"(1, 2, 1)",4.738537907414056,34.3915857605178,-0.7896440129449831
14,"(-1, 2, -1)",108.71,147.89,3.35,94.7,"(1, 2, 1)",4.738537907414055,44.146268656716416,11.695522388059699
15,"(-1, 1, -2)",108.71,114.21,3.03,433.7,"(1, 2, 1)",4.738537907414056,37.693069306930695,1.8151815181518154
16,"(-1, -1, 2)",108.71,125.78,2.8,485.4,"(1, 2, 1)",4.738537907414055,44.92142857142858,6.096428571428574
17,"(2, -1, 1)",108.71,125.19,3.74,305.3,"(1, 2, 1)",4.738537907414056,33.47326203208556,4.406417112299466
18,"(1, -2, 1)",108.71,147.19,3.38,91.6,"(1, 2, 1)",4.738537907414055,43.54733727810651,11.384615384615387
19,"(1, -1, 2)",108.71,132.33,3.35,428.2,"(1, 2, 1)",4.738537907414056,39.50149253731344,7.050746268656722
20,"(1, 1, -2)",108.71,156.46,3.37,496.3,"(1, 2, 1)",4.738537907414055,46.4272997032641,14.169139465875375
21,"(0, -2, 2)",1247.12,1346.29,27.09,203.2,"(0, 2, 2)",4.103694204616127,49.6969361387966,3.660760428202291
22,"(0, 2, -2)",1247.12,1307.64,26.31,209.0,"(0, 2, 2)",4.103694204616127,49.70125427594071,2.3002660585328853
23,"(-2, 1, -2)",485.94,547.59,11.34,424.7,"(1, 2, 2)",3.8689999999999984,48.28835978835979,5.436507936507939
24,"(-2, 2, -1)",485.94,560.27,11.45,158.0,"(1, 2, 2)",3.8689999999999976,48.93187772925764,6.491703056768558
25,"(-1, 2, -2)",485.94,624.68,12.85,250.4,"(1, 2, 2)",3.8689999999999976,48.613229571984434,10.796887159533071
26,"(-1, -2, 2)",485.94,617.71,12.5,128.2,"(1, 2, 2)",3.8689999999999976,49.4168,10.541600000000003
27,"(2, -1, 2)",485.94,551.82,11.48,419.2,"(1, 2, 2)",3.8689999999999984,48.06794425087108,5.738675958188158
28,"(2, -2, 1)",485.94,560.27,11.51,153.2,"(1, 2, 2)",3.8689999999999976,48.67680278019114,6.457862728062553
29,"(1, -2, 2)",485.94,590.89,12.26,245.4,"(1, 2, 2)",3.8689999999999976,48.19657422512235,8.560358890701467
30,"(1, 2, -2)",485.94,572.52,11.58,136.7,"(1, 2, 2)",3.8689999999999976,49.44041450777202,7.476683937823832
31,"(-2, 2, -2)",0.19,306.64,6.98,278.4,"(2, 2, 2)",3.3506522872419913,43.93123209169054,43.90401146131805
32,"(2, -2, 2)",0.19,348.45,7.94,272.9,"(2, 2, 2)",3.3506522872419913,43.885390428211586,43.861460957178835
33,"(-3, 0, 0)",1371.27,492.06,10.21,390.9,"(0, 3, 0)",3.8689999999999984,48.193927522037214,-86.1126346718903
34,"(3, 0, 0)",1371.27,577.58,11.92,382.9,"(0, 3, 0)",3.8689999999999984,48.45469798657719,-66.58473154362416
35,"(-3, 1, 0)",116.61,150.17,3.8,196.7,"(0, 3, 1)",3.670455680157436,39.51842105263158,8.831578947368419
36,"(3, -1, 0)",116.61,151.9,3.96,191.6,"(0, 3, 1)",3.670455680157436,38.35858585858586,8.911616161616163
37,"(-3, 0, -1)",116.61,158.43,3.77,506.4,"(0, 3, 1)",3.6704556801574366,42.02387267904509,11.092838196286474
38,"(-3, 0, 1)",116.61,136.89,3.17,188.1,"(0, 3, 1)",3.670455680157436,43.18296529968454,6.397476340694002
39,"(3, 0, 1)",116.61,150.45,3.7,501.4,"(0, 3, 1)",3.6704556801574366,40.662162162162154,9.145945945945943
40,"(0, -1, 3)",116.61,148.12,3.35,560.1,"(0, 3, 1)",3.670455680157436,44.21492537313433,9.405970149253733
41,"(3, 0, -1)",116.61,165.23,3.76,180.2,"(0, 3, 1)",3.670455680157436,43.944148936170215,12.930851063829785
42,"(0, 1, -3)",116.61,172.54,3.82,565.2,"(0, 3, 1)",3.670455680157436,45.167539267015705,14.641361256544501
43,"(-3, 1, -1)",925.11,866.48,17.68,327.5,"(1, 3, 1)",3.4996421765141013,49.009049773755656,-3.316176470588235
