,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2770.35,308.7,6.18,283.3,"(0, 1, 0)",11.651,49.95145631067961,-398.32524271844665
1,"(-1, 0, -1)",1455.89,279.27,5.6,579.5,"(0, 1, 1)",8.238501107604465,49.86964285714286,-210.11071428571432
2,"(1, 0, 1)",1455.89,255.45,5.12,576.6,"(0, 1, 1)",8.238501107604465,49.892578125,-234.4609375
3,"(0, -1, 1)",1455.89,315.89,6.33,252.1,"(0, 1, 1)",8.238501107604465,49.90363349131121,-180.09478672985782
4,"(0, 1, -1)",1455.89,296.63,5.95,254.9,"(0, 1, 1)",8.238501107604465,49.85378151260504,-194.83361344537818
5,"(2, 0, 0)",167.59,364.82,7.31,284.5,"(0, 2, 0)",5.8255,49.906976744186046,26.980848153214776
6,"(2, -1, 0)",365.28,210.33,4.23,65.8,"(0, 2, 1)",5.210485601170009,49.723404255319146,-36.63120567375885
7,"(0, -2, 1)",365.28,183.73,3.7,13.8,"(0, 2, 1)",5.210485601170009,49.65675675675675,-49.06756756756756
8,"(0, 2, -1)",365.28,179.46,3.61,17.5,"(0, 2, 1)",5.210485601170009,49.711911357340725,-51.47368421052631
9,"(-2, 0, -1)",365.28,192.51,3.88,486.0,"(0, 2, 1)",5.210485601170011,49.615979381443296,-44.52835051546391
10,"(2, 0, 1)",365.28,189.68,3.83,482.7,"(0, 2, 1)",5.210485601170011,49.52480417754569,-45.8485639686684
11,"(0, -1, 2)",365.28,218.78,4.4,494.1,"(0, 2, 1)",5.210485601170009,49.72272727272727,-33.29545454545454
12,"(0, 1, -2)",365.28,195.8,3.94,498.0,"(0, 2, 1)",5.210485601170009,49.695431472081225,-43.01522842639593
13,"(-2, 1, -1)",92.6,115.54,2.36,273.5,"(1, 2, 1)",4.756500832194468,48.957627118644076,9.720338983050853
14,"(-1, 2, -1)",92.6,98.6,2.02,90.9,"(1, 2, 1)",4.756500832194468,48.81188118811881,2.9702970297029703
15,"(-1, 1, -2)",92.6,80.35,1.68,439.5,"(1, 2, 1)",4.756500832194469,47.82738095238095,-7.291666666666667
16,"(2, -1, 1)",92.6,119.16,2.44,270.2,"(1, 2, 1)",4.756500832194468,48.83606557377049,10.885245901639346
17,"(1, -2, 1)",92.6,95.35,1.96,87.8,"(1, 2, 1)",4.756500832194468,48.647959183673464,1.403061224489796
18,"(1, -1, 2)",92.6,95.91,1.99,436.0,"(1, 2, 1)",4.756500832194469,48.19597989949749,1.663316582914574
19,"(2, 1, -1)",92.6,82.77,1.67,399.3,"(1, 2, 1)",4.756500832194468,49.56287425149701,-5.886227544910179
20,"(-2, 0, -2)",1253.73,369.42,7.42,579.5,"(0, 2, 2)",4.119250553802233,49.78706199460917,-119.17924528301886
21,"(2, 0, 2)",1253.73,373.83,7.51,575.6,"(0, 2, 2)",4.119250553802233,49.77762982689747,-117.16378162450069
22,"(0, -2, 2)",1253.73,358.93,7.2,251.1,"(0, 2, 2)",4.119250553802233,49.85138888888889,-124.27777777777777
23,"(0, 2, -2)",1253.73,360.6,7.24,255.7,"(0, 2, 2)",4.119250553802233,49.806629834254146,-123.36049723756906
24,"(-1, 2, -2)",464.57,240.09,4.84,263.6,"(1, 2, 2)",3.8836666666666666,49.60537190082645,-46.3801652892562
25,"(-1, -2, 2)",464.57,326.57,6.55,234.5,"(1, 2, 2)",3.8836666666666666,49.858015267175574,-21.068702290076338
26,"(2, -1, 2)",464.57,313.62,6.33,402.9,"(1, 2, 2)",3.8836666666666675,49.54502369668246,-23.84676145339652
27,"(1, -2, 2)",464.57,255.55,5.15,259.7,"(1, 2, 2)",3.8836666666666666,49.62135922330097,-40.586407766990284
28,"(1, 2, -2)",464.57,335.39,6.73,242.0,"(1, 2, 2)",3.8836666666666666,49.835066864784544,-19.194650817236255
29,"(-2, 2, -2)",1.0,294.31,5.93,268.1,"(2, 2, 2)",3.3633539931641647,49.63069139966274,49.46205733558179
30,"(-2, -2, 2)",1.0,312.09,6.25,188.9,"(2, 2, 2)",3.3633539931641647,49.9344,49.77439999999999
31,"(2, -2, 2)",1.0,294.54,5.94,263.9,"(2, 2, 2)",3.3633539931641647,49.58585858585859,49.417508417508415
32,"(2, 2, -2)",1.0,333.63,6.68,207.2,"(2, 2, 2)",3.3633539931641647,49.94461077844311,49.79491017964072
33,"(-3, 0, 0)",1445.28,132.44,2.69,289.8,"(0, 3, 0)",3.8836666666666666,49.234200743494426,-488.0446096654275
34,"(3, 0, 0)",1445.28,137.41,2.79,284.0,"(0, 3, 0)",3.8836666666666666,49.25089605734767,-468.7706093189964
35,"(-3, -1, 0)",123.67,100.13,2.04,553.9,"(0, 3, 1)",3.6843697018621793,49.08333333333333,-11.539215686274513
36,"(-3, 1, 0)",123.67,128.45,2.63,124.5,"(0, 3, 1)",3.684369701862179,48.840304182509506,1.817490494296573
37,"(3, -1, 0)",123.67,118.51,2.42,119.8,"(0, 3, 1)",3.684369701862179,48.97107438016529,-2.1322314049586764
38,"(3, 1, 0)",123.67,125.71,2.55,546.2,"(0, 3, 1)",3.6843697018621793,49.29803921568627,0.7999999999999969
39,"(-3, 0, -1)",123.67,138.38,2.84,437.7,"(0, 3, 1)",3.6843697018621793,48.725352112676056,5.17957746478873
40,"(-3, 0, 1)",123.67,119.49,2.42,39.1,"(0, 3, 1)",3.684369701862179,49.37603305785124,-1.7272727272727302
41,"(3, 0, 1)",123.67,112.38,2.34,433.1,"(0, 3, 1)",3.6843697018621793,48.02564102564103,-4.824786324786328
42,"(-1, 1, -3)",940.61,472.56,9.48,534.3,"(1, 3, 1)",3.512908675675524,49.848101265822784,-49.37236286919831
43,"(-3, -1, 1)",940.61,411.24,8.24,331.0,"(1, 3, 1)",3.512908675675524,49.907766990291265,-64.24393203883496
44,"(3, -1, 1)",940.61,471.17,9.46,272.8,"(1, 3, 1)",3.512908675675524,49.80655391120507,-49.62367864693446
45,"(1, -1, 3)",940.61,494.38,9.92,530.0,"(1, 3, 1)",3.512908675675524,49.836693548387096,-44.98286290322581
46,"(3, -2, 0)",489.35,364.12,7.32,22.7,"(0, 3, 2)",3.231405993110072,49.7431693989071,-17.107923497267763
47,"(0, 3, -2)",489.35,395.41,7.94,107.7,"(0, 3, 2)",3.231405993110072,49.79974811083123,-11.831234256926951
48,"(-3, 0, -2)",489.34,358.0,7.2,524.7,"(0, 3, 2)",3.231405993110073,49.72222222222222,-18.241666666666664
49,"(3, 0, 2)",489.34,335.81,6.76,520.0,"(0, 3, 2)",3.231405993110073,49.676035502958584,-22.71153846153846
50,"(0, -2, 3)",489.35,362.17,7.29,401.1,"(0, 3, 2)",3.231405993110072,49.680384087791495,-17.44581618655693
51,"(0, 2, -3)",489.35,367.84,7.4,406.9,"(0, 3, 2)",3.231405993110072,49.7081081081081,-16.420270270270276
52,"(-3, 2, -1)",318.23,223.75,4.54,162.2,"(1, 3, 2)",3.1138607295216567,49.284140969163,-20.810572687224674
53,"(-1, 3, -2)",318.23,264.92,5.34,142.3,"(1, 3, 2)",3.1138607295216563,49.61048689138577,-9.983146067415731
54,"(-2, 1, -3)",318.23,237.91,4.81,491.8,"(1, 3, 2)",3.1138607295216567,49.46153846153847,-16.698544698544705
55,"(-1, -3, 2)",318.23,231.04,4.65,45.1,"(1, 3, 2)",3.1138607295216567,49.68602150537634,-18.750537634408605
56,"(-3, 1, -2)",318.23,271.75,5.5,385.7,"(1, 3, 2)",3.1138607295216567,49.40909090909091,-8.450909090909095
57,"(-2, 3, -1)",318.23,257.45,5.19,45.6,"(1, 3, 2)",3.1138607295216563,49.605009633911365,-11.710982658959542
58,"(-1, 2, -3)",318.23,225.47,4.58,383.5,"(1, 3, 2)",3.1138607295216567,49.22925764192139,-20.25327510917031
59,"(-1, -2, 3)",318.23,240.92,4.86,437.0,"(1, 3, 2)",3.1138607295216563,49.572016460905346,-15.907407407407412
60,"(3, -2, 1)",318.23,227.51,4.61,157.7,"(1, 3, 2)",3.1138607295216567,49.35140997830802,-19.678958785249463
61,"(1, -3, 2)",318.23,266.22,5.37,137.3,"(1, 3, 2)",3.1138607295216563,49.57541899441341,-9.685288640595902
62,"(2, -1, 3)",318.23,271.79,5.5,487.2,"(1, 3, 2)",3.1138607295216567,49.41636363636364,-8.443636363636363
63,"(1, 3, -2)",318.23,221.01,4.44,53.1,"(1, 3, 2)",3.1138607295216567,49.77702702702702,-21.8963963963964
64,"(3, -1, 2)",318.23,261.95,5.32,381.1,"(1, 3, 2)",3.1138607295216567,49.23872180451127,-10.578947368421058
65,"(2, -3, 1)",318.23,227.83,4.6,41.0,"(1, 3, 2)",3.1138607295216563,49.52826086956522,-19.65217391304348
66,"(1, -2, 3)",318.23,263.02,5.33,378.5,"(1, 3, 2)",3.1138607295216567,49.34709193245778,-10.358348968105073
67,"(1, 2, -3)",318.23,215.81,4.35,445.8,"(1, 3, 2)",3.1138607295216563,49.61149425287357,-23.544827586206903
68,"(-3, 2, -2)",212.7,169.67,3.47,271.7,"(2, 3, 2)",2.8257825672983157,48.89625360230547,-12.40057636887608
69,"(-2, 3, -2)",212.7,194.97,3.97,166.3,"(2, 3, 2)",2.8257825672983152,49.11083123425693,-4.465994962216622
70,"(-2, 2, -3)",212.7,175.8,3.6,368.1,"(2, 3, 2)",2.8257825672983157,48.833333333333336,-10.249999999999993
71,"(-2, -2, 3)",212.7,173.01,3.49,504.0,"(2, 3, 2)",2.8257825672983152,49.57306590257879,-11.372492836676216
72,"(3, -2, 2)",212.7,180.58,3.69,266.7,"(2, 3, 2)",2.8257825672983157,48.93766937669377,-8.704607046070455
73,"(2, -3, 2)",212.7,185.36,3.78,161.2,"(2, 3, 2)",2.8257825672983152,49.037037037037045,-7.232804232804226
74,"(2, -2, 3)",212.7,165.44,3.41,362.9,"(2, 3, 2)",2.8257825672983157,48.516129032258064,-13.859237536656888
75,"(2, 2, -3)",212.7,122.6,2.48,519.3,"(2, 3, 2)",2.8257825672983152,49.43548387096774,-36.33064516129032
76,"(0, -3, 3)",485.17,703.27,14.09,249.8,"(0, 3, 3)",2.7461670358681554,49.91270404542229,15.479063165365504
77,"(-3, 1, -3)",3.72,6.92,0.58,461.8,"(1, 3, 3)",2.6729227153259156,11.931034482758621,5.517241379310344
78,"(-3, 3, -1)",3.72,3.2,0.53,81.6,"(1, 3, 3)",2.6729227153259147,6.037735849056604,-0.9811320754716981
79,"(-1, -3, 3)",3.72,11.77,0.56,241.3,"(1, 3, 3)",2.6729227153259147,21.01785714285714,14.374999999999996
80,"(3, -1, 3)",3.72,10.89,0.67,456.3,"(1, 3, 3)",2.6729227153259156,16.253731343283583,10.701492537313433
81,"(3, -3, 1)",3.72,3.3,0.5,76.8,"(1, 3, 3)",2.6729227153259147,6.6,-0.8400000000000007
82,"(-3, 2, -3)",620.01,490.67,9.87,357.1,"(2, 3, 3)",2.4840015462592175,49.71327254305978,-13.104356636271529
83,"(-2, 3, -3)",620.01,455.39,9.15,266.3,"(2, 3, 3)",2.4840015462592175,49.76939890710382,-17.991256830601092
84,"(-2, -3, 3)",620.01,466.06,9.35,222.4,"(2, 3, 3)",2.4840015462592175,49.84598930481284,-16.46524064171123
85,"(3, -3, 2)",620.01,403.21,8.12,178.2,"(2, 3, 3)",2.484001546259217,49.656403940886705,-26.699507389162566
86,"(2, -3, 3)",620.01,456.18,9.17,260.4,"(2, 3, 3)",2.4840015462592175,49.74700109051254,-17.865866957470008
87,"(2, 3, -3)",620.01,333.12,6.68,236.9,"(2, 3, 3)",2.4840015462592175,49.868263473053894,-42.94760479041916
88,"(-3, 3, -3)",218.48,153.51,3.16,269.3,"(3, 3, 3)",2.2422359954427766,48.57911392405063,-20.56012658227848
89,"(-3, -3, 3)",218.48,217.71,4.39,184.1,"(3, 3, 3)",2.2422359954427766,49.592255125284744,-0.17539863325739904
90,"(3, -3, 3)",218.48,158.71,3.27,262.9,"(3, 3, 3)",2.2422359954427766,48.535168195718654,-18.278287461773694
91,"(3, 3, -3)",218.48,230.53,4.63,211.7,"(3, 3, 3)",2.2422359954427766,49.79049676025918,2.60259179265659
92,"(-4, 0, 0)",29.57,390.21,7.85,290.1,"(0, 4, 0)",2.91275,49.70828025477707,45.94140127388535
93,"(4, 0, 0)",29.57,403.44,8.11,282.8,"(0, 4, 0)",2.91275,49.745992601726265,46.099876695437736
94,"(-4, -1, 0)",689.93,510.16,10.24,480.1,"(0, 4, 1)",2.8257825672983157,49.8203125,-17.555664062499993
95,"(-4, 1, 0)",689.93,475.35,9.55,158.5,"(0, 4, 1)",2.8257825672983157,49.774869109947645,-22.469109947643968
96,"(4, -1, 0)",689.93,450.65,9.05,152.0,"(0, 4, 1)",2.8257825672983157,49.795580110497234,-26.43977900552486
97,"(4, 1, 0)",689.93,482.31,9.68,471.0,"(0, 4, 1)",2.8257825672983157,49.8254132231405,-21.44834710743801
98,"(4, 0, 1)",689.93,448.66,9.02,402.4,"(0, 4, 1)",2.8257825672983157,49.740576496674066,-26.748337028824828
99,"(4, 0, -1)",689.93,418.16,8.38,103.8,"(0, 4, 1)",2.8257825672983157,49.89976133651551,-32.43078758949879
100,"(4, 1, 1)",186.14,155.18,3.15,558.9,"(1, 4, 1)",2.7461670358681554,49.263492063492066,-9.828571428571422
101,"(-4, -1, 1)",186.14,136.43,2.78,315.3,"(1, 4, 1)",2.7461670358681554,49.07553956834533,-17.881294964028772
102,"(-4, -1, -1)",186.14,208.57,4.22,566.0,"(1, 4, 1)",2.7461670358681554,49.42417061611375,5.315165876777253
103,"(4, -1, 1)",186.14,85.23,1.83,273.9,"(1, 4, 1)",2.7461670358681554,46.57377049180328,-55.14207650273223
104,"(1, -1, 4)",186.14,200.21,4.05,585.7,"(1, 4, 1)",2.7461670358681554,49.43456790123457,3.4740740740740796
105,"(4, 1, -1)",186.14,123.48,2.51,301.5,"(1, 4, 1)",2.7461670358681554,49.19521912350598,-24.964143426294815
106,"(-4, 2, 0)",130.94,184.99,3.77,70.8,"(0, 4, 2)",2.6052428005850046,49.06896551724138,14.336870026525203
107,"(4, -2, 0)",130.94,160.15,3.26,64.6,"(0, 4, 2)",2.6052428005850046,49.12576687116565,8.960122699386506
108,"(0, -4, 2)",130.94,124.36,2.55,12.4,"(0, 4, 2)",2.6052428005850046,48.7686274509804,-2.580392156862745
109,"(0, 4, -2)",130.94,132.49,2.7,19.6,"(0, 4, 2)",2.6052428005850046,49.07037037037037,0.5740740740740783
110,"(-4, 0, -2)",130.94,140.79,2.89,487.2,"(0, 4, 2)",2.6052428005850055,48.71626297577854,3.408304498269894
111,"(4, 0, 2)",130.94,134.3,2.79,481.0,"(0, 4, 2)",2.6052428005850055,48.136200716845885,1.2043010752688221
112,"(0, -2, 4)",130.94,128.77,2.65,492.1,"(0, 4, 2)",2.6052428005850046,48.592452830188684,-0.8188679245282972
113,"(0, 2, -4)",130.94,146.32,2.99,499.0,"(0, 4, 2)",2.6052428005850046,48.936454849498325,5.143812709030098
114,"(-4, 2, -1)",114.88,98.83,2.11,182.3,"(1, 4, 2)",2.542456639139547,46.83886255924171,-7.6066350710900466
115,"(-1, 4, -2)",114.88,80.77,1.69,61.1,"(1, 4, 2)",2.542456639139547,47.79289940828402,-20.183431952662723
116,"(-2, 1, -4)",114.88,101.2,2.1,548.8,"(1, 4, 2)",2.5424566391395476,48.19047619047619,-6.514285714285711
117,"(-4, 1, -2)",114.88,103.15,2.19,371.5,"(1, 4, 2)",2.5424566391395476,47.10045662100457,-5.356164383561639
118,"(-1, 2, -4)",114.88,127.7,2.64,465.3,"(1, 4, 2)",2.542456639139547,48.37121212121212,4.856060606060609
119,"(-1, -2, 4)",114.88,107.42,2.21,539.1,"(1, 4, 2)",2.542456639139547,48.606334841628964,-3.375565610859726
120,"(4, -2, 1)",114.88,114.29,2.4,176.7,"(1, 4, 2)",2.542456639139547,47.62083333333334,-0.24583333333332885
121,"(1, -4, 2)",114.88,81.84,1.72,55.0,"(1, 4, 2)",2.542456639139547,47.58139534883721,-19.20930232558139
122,"(2, -1, 4)",114.88,86.99,1.83,543.1,"(1, 4, 2)",2.5424566391395476,47.53551912568305,-15.240437158469945
123,"(4, -1, 2)",114.88,120.37,2.54,365.5,"(1, 4, 2)",2.5424566391395476,47.38976377952756,2.1614173228346494
124,"(1, -2, 4)",114.88,106.21,2.23,459.1,"(1, 4, 2)",2.542456639139547,47.62780269058296,-3.887892376681615
125,"(1, 2, -4)",114.88,112.43,2.29,548.1,"(1, 4, 2)",2.542456639139547,49.096069868995635,-1.0698689956331828
126,"(-4, 2, -2)",72.89,85.74,1.85,275.0,"(2, 4, 2)",2.378250416097234,46.34594594594594,6.945945945945943
127,"(-2, 4, -2)",72.89,79.52,1.7,92.4,"(2, 4, 2)",2.378250416097234,46.77647058823529,3.8999999999999972
128,"(-2, 2, -4)",72.89,103.66,2.19,440.9,"(2, 4, 2)",2.3782504160972344,47.333333333333336,14.050228310502282
129,"(4, -2, 2)",72.89,87.27,1.89,268.8,"(2, 4, 2)",2.378250416097234,46.17460317460318,7.608465608465607
130,"(2, -4, 2)",72.89,89.5,1.89,86.2,"(2, 4, 2)",2.378250416097234,47.354497354497354,8.788359788359788
131,"(2, -2, 4)",72.89,98.32,2.11,434.7,"(2, 4, 2)",2.3782504160972344,46.59715639810427,12.052132701421797
132,"(4, 2, -2)",72.89,79.05,1.6,385.3,"(2, 4, 2)",2.378250416097234,49.40624999999999,3.849999999999998
133,"(0, -4, 3)",1.43,9.36,0.67,141.6,"(0, 4, 3)",2.3302,13.970149253731341,11.835820895522387
134,"(0, 4, -3)",1.43,4.14,0.51,150.7,"(0, 4, 3)",2.3302,8.117647058823529,5.313725490196078
135,"(-4, 0, -3)",1.43,4.31,0.51,542.2,"(0, 4, 3)",2.3302000000000005,8.450980392156861,5.647058823529411
136,"(4, 0, 3)",1.43,2.9,0.53,534.5,"(0, 4, 3)",2.3302000000000005,5.471698113207546,2.773584905660377
137,"(0, -3, 4)",1.43,3.26,0.7,357.5,"(0, 4, 3)",2.3302,4.6571428571428575,2.6142857142857143
138,"(0, 3, -4)",1.43,5.64,0.57,366.1,"(0, 4, 3)",2.3302,9.894736842105264,7.385964912280702
139,"(-4, 3, -1)",9.68,28.02,0.85,109.6,"(1, 4, 3)",2.2849490904949823,32.964705882352945,21.576470588235296
140,"(-1, 4, -3)",9.68,29.66,0.84,170.3,"(1, 4, 3)",2.2849490904949823,35.30952380952381,23.78571428571429
141,"(-3, 1, -4)",9.68,26.85,0.79,516.4,"(1, 4, 3)",2.2849490904949827,33.9873417721519,21.734177215189874
142,"(-1, -4, 3)",9.68,26.11,0.82,112.0,"(1, 4, 3)",2.2849490904949823,31.84146341463415,20.03658536585366
143,"(-4, 1, -3)",9.68,14.61,0.7,439.7,"(1, 4, 3)",2.2849490904949827,20.871428571428574,7.042857142857143
144,"(-3, 4, -1)",9.68,40.19,0.97,25.2,"(1, 4, 3)",2.2849490904949823,41.43298969072165,31.45360824742268
145,"(-1, 3, -4)",9.68,28.24,0.84,354.1,"(1, 4, 3)",2.2849490904949823,33.61904761904762,22.095238095238095
146,"(-1, -3, 4)",9.68,21.29,0.89,372.9,"(1, 4, 3)",2.2849490904949823,23.92134831460674,13.044943820224718
147,"(1, -4, 3)",9.68,38.32,1.06,163.1,"(1, 4, 3)",2.2849490904949823,36.15094339622642,27.0188679245283
148,"(3, -1, 4)",9.68,24.3,0.8,510.2,"(1, 4, 3)",2.2849490904949827,30.375,18.275
149,"(1, 4, -3)",9.68,16.28,0.54,122.1,"(1, 4, 3)",2.2849490904949823,30.14814814814815,12.222222222222223
150,"(4, -1, 3)",9.68,20.39,0.83,433.4,"(1, 4, 3)",2.2849490904949827,24.566265060240966,12.903614457831328
151,"(3, -4, 1)",9.68,41.92,0.99,19.0,"(1, 4, 3)",2.2849490904949823,42.343434343434346,32.56565656565657
152,"(1, -3, 4)",9.68,27.68,0.9,347.1,"(1, 4, 3)",2.2849490904949823,30.755555555555553,20.0
153,"(1, 3, -4)",9.68,16.02,0.59,383.8,"(1, 4, 3)",2.2849490904949823,27.152542372881356,10.745762711864407
154,"(-3, 2, -4)",0.02,7.45,0.64,422.9,"(2, 4, 3)",2.1635363851008313,11.640625,11.609375
155,"(-2, -4, 3)",0.02,1.25,0.61,68.3,"(2, 4, 3)",2.1635363851008313,2.0491803278688523,2.0163934426229506
