,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2768.58,166.92,3.35,283.7,"(0, 1, 0)",11.656999999999998,49.826865671641784,-776.6149253731343
1,"(-1, 0, -1)",1464.76,134.16,2.71,579.7,"(0, 1, 1)",8.242743748291584,49.505535055350556,-490.9963099630996
2,"(1, 0, 1)",1464.76,149.72,3.02,576.9,"(0, 1, 1)",8.242743748291584,49.57615894039735,-435.4437086092715
3,"(0, -1, 1)",1464.76,195.22,3.92,253.2,"(0, 1, 1)",8.242743748291582,49.80102040816327,-323.86224489795916
4,"(0, 1, -1)",1464.76,128.48,2.59,256.3,"(0, 1, 1)",8.242743748291582,49.6061776061776,-515.9382239382239
5,"(-1, 1, -1)",2566.11,209.27,4.21,267.8,"(1, 1, 1)",6.730172087943465,49.70783847980998,-559.8194774346794
6,"(1, -1, 1)",2566.11,203.42,4.1,265.6,"(1, 1, 1)",6.730172087943465,49.614634146341466,-576.2658536585367
7,"(1, 1, -1)",2566.11,194.59,3.9,209.0,"(1, 1, 1)",6.730172087943465,49.8948717948718,-608.0820512820513
8,"(-2, 0, 0)",173.75,122.68,2.48,287.6,"(0, 2, 0)",5.828499999999999,49.46774193548387,-20.59274193548387
9,"(2, 0, 0)",173.75,129.36,2.62,283.7,"(0, 2, 0)",5.828499999999999,49.37404580152672,-16.942748091603047
10,"(-2, 1, 0)",378.37,203.42,4.1,69.5,"(0, 2, 1)",5.213168882743008,49.614634146341466,-42.67073170731708
11,"(2, -1, 0)",378.37,194.84,3.92,66.3,"(0, 2, 1)",5.213168882743008,49.704081632653065,-46.81887755102041
12,"(0, -2, 1)",378.37,144.46,2.92,15.0,"(0, 2, 1)",5.213168882743008,49.47260273972603,-80.10616438356165
13,"(0, 2, -1)",378.37,150.18,3.03,18.5,"(0, 2, 1)",5.213168882743008,49.56435643564357,-75.31023102310232
14,"(-2, 0, -1)",378.37,171.08,3.46,485.7,"(0, 2, 1)",5.213168882743009,49.445086705202314,-59.910404624277454
15,"(2, 0, 1)",378.37,170.03,3.44,482.5,"(0, 2, 1)",5.213168882743009,49.42732558139535,-60.56395348837209
16,"(0, -1, 2)",378.37,194.42,3.92,495.6,"(0, 2, 1)",5.213168882743008,49.5969387755102,-46.92602040816327
17,"(-2, 1, -1)",95.86,123.01,2.51,273.5,"(1, 2, 1)",4.75895032193725,49.007968127490045,10.816733067729087
18,"(-1, 2, -1)",95.86,90.92,1.87,91.6,"(1, 2, 1)",4.758950321937249,48.62032085561497,-2.6417112299465226
19,"(-1, 1, -2)",95.86,59.42,1.26,440.4,"(1, 2, 1)",4.758950321937251,47.15873015873016,-28.920634920634917
20,"(2, -1, 1)",95.86,106.32,2.19,270.5,"(1, 2, 1)",4.75895032193725,48.54794520547945,4.776255707762554
21,"(1, -2, 1)",95.86,86.63,1.78,88.5,"(1, 2, 1)",4.758950321937249,48.668539325842694,-5.185393258426968
22,"(1, -1, 2)",95.86,74.14,1.54,437.1,"(1, 2, 1)",4.758950321937251,48.14285714285714,-14.103896103896103
23,"(2, 1, -1)",95.86,32.16,0.67,378.8,"(1, 2, 1)",4.75895032193725,47.99999999999999,-95.07462686567165
24,"(-2, 0, -2)",1320.39,154.64,3.15,579.9,"(0, 2, 2)",4.121371874145792,49.09206349206349,-370.0793650793651
25,"(2, 0, 2)",1320.39,202.67,4.1,575.9,"(0, 2, 2)",4.121371874145792,49.43170731707317,-272.6146341463415
26,"(0, -2, 2)",1320.39,278.66,5.61,252.1,"(0, 2, 2)",4.121371874145791,49.672014260249554,-185.6916221033868
27,"(0, 2, -2)",1320.39,300.24,6.04,256.9,"(0, 2, 2)",4.121371874145791,49.70860927152318,-168.89900662251657
28,"(-2, 1, -2)",471.41,201.19,4.07,407.1,"(1, 2, 2)",3.885666666666666,49.43243243243243,-66.3931203931204
29,"(-2, 2, -1)",471.41,254.94,5.14,134.4,"(1, 2, 2)",3.8856666666666655,49.59922178988327,-42.114785992217904
30,"(-1, 2, -2)",471.41,179.54,3.64,264.3,"(1, 2, 2)",3.8856666666666655,49.32417582417582,-80.18406593406593
31,"(2, -1, 2)",471.41,239.38,4.83,403.3,"(1, 2, 2)",3.885666666666666,49.56107660455486,-48.03933747412009
32,"(2, -2, 1)",471.41,241.06,4.86,130.7,"(1, 2, 2)",3.8856666666666655,49.60082304526749,-47.39711934156379
33,"(1, -2, 2)",471.41,208.89,4.23,260.3,"(1, 2, 2)",3.8856666666666655,49.38297872340425,-62.06146572104019
34,"(1, 2, -2)",471.41,269.49,5.42,244.2,"(1, 2, 2)",3.8856666666666655,49.72140221402214,-37.254612546125465
35,"(-2, 2, -2)",1.96,142.74,2.93,268.9,"(2, 2, 2)",3.3650860439717327,48.71672354948805,48.04778156996587
36,"(-2, -2, 2)",1.96,123.56,2.49,192.1,"(2, 2, 2)",3.3650860439717327,49.622489959839356,48.835341365461844
37,"(2, -2, 2)",1.96,138.62,2.85,264.5,"(2, 2, 2)",3.3650860439717327,48.63859649122807,47.95087719298245
38,"(2, 2, -2)",1.96,151.11,3.04,211.4,"(2, 2, 2)",3.3650860439717327,49.70723684210527,49.0625
39,"(-3, 0, 0)",1563.23,196.91,3.98,288.9,"(0, 3, 0)",3.885666666666666,49.47487437185929,-343.2964824120603
40,"(3, 0, 0)",1563.23,190.98,3.86,283.2,"(0, 3, 0)",3.885666666666666,49.476683937823836,-355.50518134715026
41,"(-3, -1, 0)",127.21,94.16,1.93,552.0,"(0, 3, 1)",3.686267068458279,48.78756476683938,-17.124352331606218
42,"(-3, 1, 0)",127.21,135.0,2.75,124.6,"(0, 3, 1)",3.686267068458279,49.09090909090909,2.832727272727275
43,"(3, -1, 0)",127.21,112.33,2.3,120.0,"(0, 3, 1)",3.686267068458279,48.83913043478261,-6.4695652173913025
44,"(3, 1, 0)",127.21,136.26,2.77,544.6,"(0, 3, 1)",3.686267068458279,49.1913357400722,3.267148014440432
45,"(-3, 0, -1)",127.21,99.0,2.04,437.2,"(0, 3, 1)",3.686267068458279,48.529411764705884,-13.828431372549016
46,"(-3, 0, 1)",127.21,103.96,2.12,39.2,"(0, 3, 1)",3.686267068458279,49.037735849056595,-10.966981132075471
47,"(3, 0, 1)",127.21,84.49,1.76,432.5,"(0, 3, 1)",3.686267068458279,48.00568181818181,-24.272727272727273
48,"(3, 0, -1)",127.21,141.39,2.87,31.6,"(0, 3, 1)",3.686267068458279,49.26480836236933,4.940766550522645
49,"(-3, 1, -1)",958.11,257.47,5.2,277.2,"(1, 3, 1)",3.5147177437429895,49.51346153846154,-134.73846153846154
50,"(-1, 1, -3)",958.11,202.84,4.11,535.6,"(1, 3, 1)",3.5147177437429895,49.35279805352798,-183.76399026763988
51,"(3, -1, 1)",958.11,243.71,4.93,272.8,"(1, 3, 1)",3.5147177437429895,49.43407707910751,-144.90872210953347
52,"(1, -1, 3)",958.11,217.77,4.4,531.2,"(1, 3, 1)",3.5147177437429895,49.49318181818182,-168.2590909090909
53,"(-3, 2, 0)",501.42,278.2,5.61,28.0,"(0, 3, 2)",3.233070093698747,49.59001782531194,-39.78966131907308
54,"(3, -2, 0)",501.42,273.32,5.51,23.3,"(0, 3, 2)",3.233070093698747,49.6043557168784,-41.397459165154274
55,"(0, -3, 2)",501.42,189.97,3.85,102.8,"(0, 3, 2)",3.233070093698747,49.34285714285714,-80.89610389610391
56,"(0, 3, -2)",501.42,269.62,5.43,108.6,"(0, 3, 2)",3.233070093698747,49.653775322283614,-42.68876611418048
57,"(-3, 0, -2)",501.42,216.63,4.39,524.9,"(0, 3, 2)",3.2330700936987475,49.346241457858774,-64.87243735763099
58,"(3, 0, 2)",501.42,204.14,4.14,520.1,"(0, 3, 2)",3.2330700936987475,49.309178743961354,-71.80676328502416
59,"(0, -2, 3)",501.42,201.15,4.07,402.6,"(0, 3, 2)",3.233070093698747,49.42260442260442,-73.77641277641277
60,"(0, 2, -3)",501.42,195.14,3.95,408.2,"(0, 3, 2)",3.233070093698747,49.40253164556962,-77.53924050632912
61,"(-3, 2, -1)",338.15,156.95,3.2,162.7,"(1, 3, 2)",3.1154642969731303,49.04687499999999,-56.62499999999999
62,"(-1, 3, -2)",338.15,208.43,4.22,143.1,"(1, 3, 2)",3.11546429697313,49.39099526066351,-30.739336492890992
63,"(-2, 1, -3)",338.15,205.95,4.18,492.5,"(1, 3, 2)",3.1154642969731303,49.270334928229666,-31.626794258373206
64,"(-1, -3, 2)",338.15,169.15,3.42,46.2,"(1, 3, 2)",3.1154642969731303,49.459064327485386,-49.415204678362564
65,"(-3, 1, -2)",338.15,219.95,4.46,385.9,"(1, 3, 2)",3.1154642969731303,49.31614349775784,-26.502242152466366
66,"(-2, 3, -1)",338.15,171.8,3.5,46.2,"(1, 3, 2)",3.11546429697313,49.08571428571429,-47.52857142857142
67,"(-1, 2, -3)",338.15,175.75,3.58,384.5,"(1, 3, 2)",3.1154642969731303,49.09217877094972,-45.3631284916201
68,"(-1, -2, 3)",338.15,168.14,3.4,439.4,"(1, 3, 2)",3.11546429697313,49.45294117647059,-50.002941176470586
