,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2768.18,178.11,3.65,284.4,"(0, 1, 0)",11.656000000000004,48.797260273972604,-709.6082191780821
1,"(-1, 0, -1)",1453.83,152.55,3.49,581.2,"(0, 1, 1)",8.242036641510401,43.71060171919771,-372.8595988538682
2,"(1, 0, 1)",1453.83,160.23,3.65,579.0,"(0, 1, 1)",8.242036641510401,43.8986301369863,-354.4109589041096
3,"(0, -1, 1)",1453.83,219.09,4.52,256.0,"(0, 1, 1)",8.242036641510401,48.471238938053105,-273.17256637168146
4,"(0, 1, -1)",1453.83,171.24,3.59,258.6,"(0, 1, 1)",8.242036641510401,47.6991643454039,-357.26740947075206
5,"(-1, 1, -1)",2472.71,281.17,5.82,270.1,"(1, 1, 1)",6.72959473767428,48.31099656357388,-376.553264604811
6,"(-1, -1, 1)",2472.71,293.62,5.91,202.7,"(1, 1, 1)",6.72959473767428,49.68189509306261,-368.7123519458545
7,"(1, -1, 1)",2472.71,314.37,6.49,267.9,"(1, 1, 1)",6.72959473767428,48.43913713405239,-332.56394453004623
8,"(1, 1, -1)",2472.71,240.36,4.86,214.2,"(1, 1, 1)",6.72959473767428,49.45679012345679,-459.33127572016457
9,"(-2, 0, 0)",156.16,164.15,3.5,289.1,"(0, 2, 0)",5.828000000000002,46.9,2.2828571428571456
10,"(2, 0, 0)",156.16,141.38,3.12,285.3,"(0, 2, 0)",5.828000000000002,45.31410256410256,-4.737179487179487
11,"(-2, 1, 0)",409.17,156.27,3.59,71.4,"(0, 2, 1)",5.212721669147511,43.52924791086352,-70.44568245125349
12,"(2, -1, 0)",409.17,172.18,3.95,68.3,"(0, 2, 1)",5.212721669147511,43.58987341772152,-59.99746835443038
13,"(0, -2, 1)",409.17,200.76,4.42,17.0,"(0, 2, 1)",5.212721669147511,45.42081447963801,-47.151583710407245
14,"(0, 2, -1)",409.17,130.19,3.17,20.6,"(0, 2, 1)",5.212721669147511,41.06940063091483,-88.00630914826499
15,"(-2, 0, -1)",409.17,176.72,3.85,486.9,"(0, 2, 1)",5.212721669147512,45.9012987012987,-60.37662337662338
16,"(2, 0, 1)",409.17,178.11,3.98,483.7,"(0, 2, 1)",5.212721669147512,44.75125628140704,-58.05527638190955
17,"(0, -1, 2)",409.17,167.87,3.74,498.7,"(0, 2, 1)",5.212721669147511,44.88502673796791,-64.5187165775401
18,"(0, 1, -2)",409.17,161.14,3.6,502.5,"(0, 2, 1)",5.212721669147511,44.761111111111106,-68.89722222222223
19,"(-2, 1, -1)",102.39,152.39,3.49,275.4,"(1, 2, 1)",4.7585420736467885,43.6647564469914,14.326647564469909
20,"(-1, 2, -1)",102.39,161.28,3.72,93.7,"(1, 2, 1)",4.758542073646788,43.354838709677416,15.830645161290322
21,"(-1, 1, -2)",102.39,101.19,2.68,442.8,"(1, 2, 1)",4.7585420736467885,37.75746268656716,-0.44776119402985176
22,"(2, -1, 1)",102.39,121.7,3.06,272.3,"(1, 2, 1)",4.7585420736467885,39.77124183006536,6.31045751633987
23,"(1, -2, 1)",102.39,136.78,3.27,90.6,"(1, 2, 1)",4.758542073646788,41.82874617737003,10.516819571865444
24,"(1, -1, 2)",102.39,95.76,2.63,439.6,"(1, 2, 1)",4.7585420736467885,36.410646387832706,-2.5209125475285155
25,"(2, 1, -1)",102.39,113.18,2.33,381.8,"(1, 2, 1)",4.7585420736467885,48.57510729613734,4.630901287553651
26,"(-2, 0, -2)",1408.68,206.29,4.92,581.3,"(0, 2, 2)",4.1210183207552005,41.92886178861789,-244.38821138211384
27,"(2, 0, 2)",1408.68,185.89,4.79,577.9,"(0, 2, 2)",4.1210183207552005,38.80793319415449,-255.2797494780793
28,"(0, -2, 2)",1408.68,252.81,5.38,255.0,"(0, 2, 2)",4.1210183207552005,46.9907063197026,-214.84572490706321
29,"(0, 2, -2)",1408.68,275.81,5.83,259.8,"(0, 2, 2)",4.1210183207552005,47.308747855917666,-194.31732418524874
30,"(-2, 1, -2)",489.32,165.21,3.91,409.4,"(1, 2, 2)",3.8853333333333353,42.253196930946295,-82.8925831202046
31,"(-2, 2, -1)",489.32,196.78,4.44,136.5,"(1, 2, 2)",3.8853333333333344,44.31981981981981,-65.88738738738738
32,"(-1, 2, -2)",489.32,192.98,4.4,266.9,"(1, 2, 2)",3.8853333333333344,43.8590909090909,-67.35000000000001
33,"(-1, -2, 2)",489.32,212.69,4.52,240.2,"(1, 2, 2)",3.8853333333333344,47.05530973451328,-61.20132743362832
34,"(2, -1, 2)",489.32,181.05,4.29,405.6,"(1, 2, 2)",3.8853333333333353,42.20279720279721,-71.85780885780885
35,"(2, -2, 1)",489.32,214.07,4.8,132.8,"(1, 2, 2)",3.8853333333333344,44.59791666666667,-57.34375
36,"(1, -2, 2)",489.32,191.25,4.34,262.7,"(1, 2, 2)",3.8853333333333344,44.066820276497694,-68.67972350230414
37,"(1, 2, -2)",489.32,212.86,4.53,247.8,"(1, 2, 2)",3.8853333333333344,46.98896247240618,-61.02869757174392
38,"(-2, 2, -2)",2.4,181.22,4.32,271.2,"(2, 2, 2)",3.36479736883714,41.94907407407407,41.39351851851851
39,"(-2, -2, 2)",2.4,219.43,4.56,197.1,"(2, 2, 2)",3.36479736883714,48.120614035087726,47.59429824561404
