,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff,,,,
0,"(1, 0, 0)",2725.97,1611.82,32.38,383.9,"(0, 1, 0)",11.629,49.77825818,-34.40858555,,,,
1,"(0, -1, 1)",1456.25,1140.48,23.04,195.7,"(0, 1, 1)",8.222944758,49.5,-13.70529514,,,,
2,"(0, 1, -1)",1456.25,976.78,19.77,199.1,"(0, 1, 1)",8.222944758,49.4071826,-24.25240263,,,,
3,"(-1, 1, -1)",2498.45,1983.57,40,270.5,"(1, 1, 1)",6.71400628,49.58925,-12.872,,,,
4,"(1, -1, 1)",2498.45,2282.33,46.01,267,"(1, 1, 1)",6.71400628,49.60508585,-4.69723973,,,,
5,"(-2, 0, 0)",139.78,1145.26,23.3,389.5,"(0, 2, 0)",5.8145,49.1527897,43.15364807,,,,
6,"(2, 0, 0)",139.78,1147.98,23.35,385.7,"(0, 2, 0)",5.8145,49.1640257,43.17773019,,,,
7,"(-2, 1, 0)",377.48,285.19,6.48,122,"(0, 2, 1)",5.200646902,44.01080247,-14.24228395,,,,
8,"(2, -1, 0)",377.48,274.69,6.38,118.4,"(0, 2, 1)",5.200646902,43.05485893,-16.11128527,,,,
9,"(-2, 0, -1)",377.48,289.89,6.66,535.5,"(0, 2, 1)",5.200646902,43.52702703,-13.15165165,,,,
10,"(2, 0, 1)",377.48,307.15,7.06,532,"(0, 2, 1)",5.200646902,43.50566572,-9.961756374,,,,
11,"(0, -1, 2)",377.48,380.41,8.55,436.9,"(0, 2, 1)",5.200646902,44.49239766,0.342690058,,,,
12,"(0, 1, -2)",377.48,360.56,8.1,441,"(0, 2, 1)",5.200646902,44.51358025,-2.088888889,,,,
13,"(-2, 1, -1)",103,122.91,5.39,304,"(1, 2, 1)",4.74751937,22.80333952,3.693877551,,,,
14,"(-1, 2, -1)",103,155.11,4.42,87,"(1, 2, 1)",4.74751937,35.09276018,11.78959276,,,,
15,"(-1, 1, -2)",103,109.34,4.85,426.7,"(1, 2, 1)",4.74751937,22.5443299,1.307216495,,,,
16,"(-1, -1, 2)",103,123.46,3.89,469.7,"(1, 2, 1)",4.74751937,31.7377892,5.259640103,,,,
17,"(1, -2, 1)",103,161.05,4.76,83.6,"(1, 2, 1)",4.74751937,33.83403361,12.19537815,,,,
18,"(1, -1, 2)",103,146.72,5.46,422,"(1, 2, 1)",4.74751937,26.87179487,8.007326007,,,,
19,"(1, 1, -2)",103,122.1,3.69,476.8,"(1, 2, 1)",4.74751937,33.08943089,5.176151762,,,,
20,"(0, -2, 2)",1261.83,1270.08,25.99,194.7,"(0, 2, 2)",4.111472379,48.86802616,0.317429781,,,,
21,"(0, 2, -2)",1261.83,1261.9,25.73,199.7,"(0, 2, 2)",4.111472379,49.04391761,0.00272056,,,,
22,"(-2, 1, -2)",477.39,587.36,13.22,418.8,"(1, 2, 2)",3.876333333,44.42965204,8.318456884,,,,
