,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2713.4,1679.38,33.75,385.1,"(0, 1, 0)",11.633,49.75940740740741,-30.63762962962963
1,"(0, -1, 1)",1461.29,1191.69,24.11,195.1,"(0, 1, 1)",8.225773185543106,49.42720862712568,-11.182082123600162
2,"(0, 1, -1)",1461.29,985.76,20.0,198.4,"(0, 1, 1)",8.225773185543106,49.288,-23.7765
3,"(-1, 1, -1)",2478.27,2411.32,48.62,269.9,"(1, 1, 1)",6.716315681482916,49.59522830111066,-1.3770053475935793
4,"(1, -1, 1)",2478.27,2375.4,47.95,267.0,"(1, 1, 1)",6.716315681482916,49.53910323253389,-2.1453597497393093
5,"(-2, 0, 0)",127.87,1226.01,24.97,390.5,"(0, 2, 0)",5.8165,49.099319183019624,43.978374048858626
6,"(2, 0, 0)",127.87,1218.83,24.81,386.6,"(0, 2, 0)",5.8165,49.12656187021362,43.972591696896416
7,"(-2, 1, 0)",383.13,308.9,7.08,122.4,"(0, 2, 1)",5.20243575645101,43.62994350282486,-10.484463276836161
8,"(2, -1, 0)",383.13,280.16,6.63,118.8,"(0, 2, 1)",5.20243575645101,42.25641025641026,-15.530920060331821
9,"(-2, 0, -1)",383.13,307.38,7.05,535.9,"(0, 2, 1)",5.202435756451011,43.6,-10.74468085106383
10,"(2, 0, 1)",383.13,337.39,7.7,532.2,"(0, 2, 1)",5.202435756451011,43.81688311688311,-5.940259740259742
11,"(0, -1, 2)",383.13,345.54,8.09,436.1,"(0, 2, 1)",5.20243575645101,42.71199011124846,-4.646477132262049
12,"(0, 1, -2)",383.13,353.6,8.14,440.7,"(0, 2, 1)",5.20243575645101,43.43980343980344,-3.627764127764124
13,"(-2, 1, -1)",113.09,113.26,5.74,303.5,"(1, 2, 1)",4.749152362966118,19.73170731707317,0.029616724738676253
14,"(-1, 2, -1)",113.09,157.08,4.73,87.7,"(1, 2, 1)",4.749152362966117,33.2093023255814,9.300211416490487
