,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2739.38,2892.46,58.21,377.6,"(0, 1, 0)",11.624999999999998,49.69008761381206,2.629788696100325
1,"(0, -1, 1)",1447.35,1904.92,38.46,197.4,"(0, 1, 1)",8.220116331293614,49.529901196047845,11.897295891835677
2,"(0, 1, -1)",1447.35,1772.6,35.81,200.2,"(0, 1, 1)",8.220116331293614,49.500139625802845,9.082658475286232
3,"(-1, 1, -1)",2517.26,2546.11,51.72,268.2,"(1, 1, 1)",6.7116968793293985,49.22873163186389,0.5578112915699905
4,"(1, -1, 1)",2517.26,3023.01,61.3,263.5,"(1, 1, 1)",6.7116968793293985,49.31500815660686,8.250407830342578
5,"(-2, 0, 0)",140.34,1139.4,24.48,387.3,"(0, 2, 0)",5.812499999999999,46.544117647058826,40.81127450980392
6,"(2, 0, 0)",140.34,1177.59,25.33,382.1,"(0, 2, 0)",5.812499999999999,46.48993288590604,40.9494670351362
7,"(-2, 1, 0)",369.07,356.83,8.03,123.2,"(0, 2, 1)",5.19885804768701,44.43711083437111,-1.5242839352428406
8,"(2, -1, 0)",369.07,314.38,7.49,118.9,"(0, 2, 1)",5.19885804768701,41.973297730307074,-7.301735647530039
9,"(-2, 0, -1)",369.07,377.25,8.88,537.2,"(0, 2, 1)",5.198858047687011,42.483108108108105,0.9211711711711719
10,"(2, 0, 1)",369.07,363.58,8.99,533.0,"(0, 2, 1)",5.198858047687011,40.44271412680756,-0.610678531701892
11,"(0, -1, 2)",369.07,457.0,11.52,435.8,"(0, 2, 1)",5.19885804768701,39.67013888888889,7.632812500000001
12,"(0, 1, -2)",369.07,482.22,11.8,439.8,"(0, 2, 1)",5.19885804768701,40.86610169491525,9.58898305084746
13,"(-2, 1, -1)",102.07,125.66,11.29,303.4,"(1, 2, 1)",4.745886376642407,11.130203720106289,2.0894596988485388
14,"(-1, 2, -1)",102.07,168.11,5.04,89.5,"(1, 2, 1)",4.745886376642407,33.355158730158735,13.103174603174606
15,"(-1, 1, -2)",102.07,151.95,9.49,423.8,"(1, 2, 1)",4.745886376642407,16.01159114857745,5.256059009483667
16,"(-1, -1, 2)",102.07,122.11,5.4,468.6,"(1, 2, 1)",4.745886376642407,22.61296296296296,3.711111111111112
17,"(2, -1, 1)",102.07,155.33,13.88,299.5,"(1, 2, 1)",4.745886376642407,11.190922190201729,3.837175792507206
18,"(1, -2, 1)",102.07,196.44,5.84,85.6,"(1, 2, 1)",4.745886376642407,33.636986301369866,16.15924657534247
19,"(1, -1, 2)",102.07,141.11,10.12,419.4,"(1, 2, 1)",4.745886376642407,13.943675889328066,3.857707509881425
20,"(1, 1, -2)",102.07,180.72,6.09,480.2,"(1, 2, 1)",4.745886376642407,29.67487684729064,12.914614121510674
21,"(0, -2, 2)",1235.03,1736.19,35.79,196.0,"(0, 2, 2)",4.110058165646807,48.51047778709137,14.0027940765577
22,"(0, 2, -2)",1235.03,1771.71,36.29,201.2,"(0, 2, 2)",4.110058165646807,48.82088729677597,14.788647010195648
23,"(-2, 1, -2)",478.5,560.91,16.69,416.2,"(1, 2, 2)",3.875,33.60754943079688,4.937687237866984
24,"(-2, 2, -1)",478.5,509.22,11.52,151.7,"(1, 2, 2)",3.874999999999999,44.20312500000001,2.666666666666669
25,"(-1, 2, -2)",478.5,655.31,15.67,242.3,"(1, 2, 2)",3.874999999999999,41.81940012763241,11.283343969368216
26,"(-2, -1, 2)",478.5,375.83,7.96,581.4,"(1, 2, 2)",3.874999999999999,47.21482412060301,-12.898241206030153
27,"(-1, -2, 2)",478.5,662.06,13.94,120.4,"(1, 2, 2)",3.874999999999999,47.493543758967,13.16786226685796
28,"(2, -1, 2)",478.5,528.23,17.73,411.1,"(1, 2, 2)",3.875,29.793006204173718,2.804850535815004
29,"(2, -2, 1)",478.5,545.54,12.75,147.3,"(1, 2, 2)",3.874999999999999,42.78745098039215,5.258039215686272
30,"(1, -2, 2)",478.5,655.67,16.54,237.2,"(1, 2, 2)",3.874999999999999,39.641475211608224,10.711608222490929
31,"(1, 2, -2)",478.5,610.64,12.92,127.8,"(1, 2, 2)",3.874999999999999,47.26315789473684,10.227554179566562
32,"(-2, 2, -2)",0.71,205.77,12.69,270.6,"(2, 2, 2)",3.3558484396646993,16.215130023640665,16.1591804570528
33,"(2, -2, 2)",0.71,240.76,15.28,265.7,"(2, 2, 2)",3.3558484396646993,15.756544502617801,15.710078534031414
34,"(-3, 0, 0)",1342.57,833.55,20.75,384.8,"(0, 3, 0)",3.875,40.1710843373494,-24.531084337349398
35,"(3, 0, 0)",1342.57,735.59,20.44,377.7,"(0, 3, 0)",3.875,35.987769080234834,-29.695694716242656
36,"(-3, 1, 0)",111.91,125.22,7.05,191.5,"(0, 3, 1)",3.6761477799457403,17.761702127659575,1.887943262411348
37,"(3, -1, 0)",111.91,102.13,8.56,186.4,"(0, 3, 1)",3.6761477799457403,11.931074766355138,-1.1425233644859814
38,"(-3, 0, -1)",111.91,162.78,7.82,501.8,"(0, 3, 1)",3.676147779945741,20.815856777493604,6.505115089514067
39,"(-3, 0, 1)",111.91,105.95,5.14,186.2,"(0, 3, 1)",3.6761477799457403,20.612840466926073,-1.1595330739299599
40,"(3, 0, 1)",111.91,144.94,9.31,496.7,"(0, 3, 1)",3.676147779945741,15.568206229860364,3.547798066595059
41,"(0, -1, 3)",111.91,203.19,7.31,550.3,"(0, 3, 1)",3.6761477799457403,27.796169630642957,12.48700410396717
42,"(3, 0, -1)",111.91,163.85,6.27,176.9,"(0, 3, 1)",3.6761477799457403,26.13237639553429,8.283891547049443
43,"(0, 1, -3)",111.91,167.49,6.56,555.7,"(0, 3, 1)",3.6761477799457403,25.532012195121954,8.472560975609758
44,"(-3, 1, -1)",919.92,765.7,20.53,319.6,"(1, 3, 1)",3.5050693807165016,37.29663906478324,-7.511933755479781
45,"(-1, 1, -3)",919.92,1050.59,22.59,517.5,"(1, 3, 1)",3.5050693807165016,46.50686144311642,5.784417884019476
46,"(3, -1, 1)",919.92,863.47,23.73,314.3,"(1, 3, 1)",3.5050693807165016,36.387273493468186,-2.3788453434471104
47,"(1, -1, 3)",919.92,1179.36,25.37,512.1,"(1, 3, 1)",3.5050693807165016,46.486401261332276,10.226251478123766
48,"(-3, 2, 0)",490.95,570.14,12.39,74.6,"(0, 3, 2)",3.224194890559144,46.01614205004035,6.391444713478611
49,"(3, -2, 0)",490.95,630.53,14.03,68.7,"(0, 3, 2)",3.224194890559144,44.94155381325731,9.948681397006414
50,"(0, -3, 2)",490.95,662.15,14.38,61.9,"(0, 3, 2)",3.224194890559144,46.046592489568845,11.905424200278162
51,"(0, 3, -2)",490.95,599.27,12.91,68.9,"(0, 3, 2)",3.224194890559144,46.41905499612703,8.390395042602632
52,"(-3, 0, -2)",490.95,729.46,16.21,567.4,"(0, 3, 2)",3.224194890559144,45.00061690314621,14.713756940160398
53,"(3, 0, 2)",490.95,734.53,17.15,562.7,"(0, 3, 2)",3.224194890559144,42.82973760932945,14.202915451895043
54,"(0, -2, 3)",490.95,668.37,20.88,337.8,"(0, 3, 2)",3.224194890559144,32.01005747126437,8.49712643678161
55,"(0, 2, -3)",490.95,630.71,19.0,344.8,"(0, 3, 2)",3.224194890559144,33.195263157894736,7.355789473684213
56,"(-3, 2, -1)",307.29,342.88,10.96,194.1,"(1, 3, 2)",3.106911937231933,31.284671532846712,3.247262773722625
57,"(-1, 3, -2)",307.29,350.08,9.12,125.0,"(1, 3, 2)",3.1069119372319327,38.385964912280706,4.691885964912277
58,"(-2, 1, -3)",307.29,330.36,11.65,494.0,"(1, 3, 2)",3.106911937231933,28.35708154506438,1.980257510729613
59,"(-3, 1, -2)",307.29,240.31,15.68,412.2,"(1, 3, 2)",3.106911937231933,15.325892857142858,-4.271683673469389
60,"(-2, 3, -1)",307.29,348.48,8.61,59.8,"(1, 3, 2)",3.1069119372319327,40.47386759581882,4.7839721254355405
61,"(-1, 2, -3)",307.29,384.98,17.73,352.2,"(1, 3, 2)",3.106911937231933,21.71347997743937,4.381838691483361
62,"(-1, -2, 3)",307.29,333.83,14.84,323.2,"(1, 3, 2)",3.1069119372319327,22.495283018867923,1.7884097035040407
63,"(3, -2, 1)",307.29,348.84,13.02,189.1,"(1, 3, 2)",3.106911937231933,26.792626728110598,3.191244239631333
64,"(1, -3, 2)",307.29,347.77,9.62,118.7,"(1, 3, 2)",3.1069119372319327,36.15072765072765,4.207900207900204
65,"(2, -1, 3)",307.29,319.08,13.1,488.7,"(1, 3, 2)",3.106911937231933,24.357251908396947,0.8999999999999972
66,"(3, -1, 2)",307.29,234.72,18.68,407.7,"(1, 3, 2)",3.106911937231933,12.565310492505354,-3.8849036402569603
67,"(2, -3, 1)",307.29,333.03,9.02,54.0,"(1, 3, 2)",3.1069119372319327,36.92128603104213,2.853658536585361
68,"(1, -2, 3)",307.29,352.83,19.77,346.0,"(1, 3, 2)",3.106911937231933,17.846737481031866,2.30349013657056
69,"(1, 2, -3)",307.29,441.99,14.95,333.8,"(1, 3, 2)",3.1069119372319327,29.56454849498328,9.010033444816052
70,"(-3, 2, -2)",219.58,246.62,19.66,289.7,"(2, 3, 2)",2.8194766410473706,12.544252288911496,1.3753814852492365
71,"(-2, 3, -2)",219.58,217.05,8.47,165.8,"(2, 3, 2)",2.8194766410473697,25.62573789846517,-0.2987012987012988
72,"(-2, 2, -3)",219.58,193.07,18.7,358.6,"(2, 3, 2)",2.8194766410473706,10.324598930481283,-1.4176470588235306
73,"(-2, -2, 3)",219.58,197.06,10.49,291.5,"(2, 3, 2)",2.8194766410473697,18.78551000953289,-2.1468064823641573
74,"(3, -2, 2)",219.58,175.75,18.14,285.1,"(2, 3, 2)",2.8194766410473706,9.688533627342888,-2.4162072767364946
