,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2776.02,346.0,6.94,283.8,"(0, 1, 0)",11.662999999999997,49.85590778097983,-350.14697406340053
1,"(-1, 0, -1)",1457.89,288.89,5.82,579.1,"(0, 1, 1)",8.246986388978701,49.63745704467353,-200.8591065292096
2,"(1, 0, 1)",1457.89,285.68,5.75,575.4,"(0, 1, 1)",8.246986388978701,49.68347826086956,-203.86260869565217
3,"(0, -1, 1)",1457.9,351.45,7.06,250.1,"(0, 1, 1)",8.246986388978701,49.78045325779037,-156.72096317280455
4,"(0, 1, -1)",1457.9,306.6,6.17,253.4,"(0, 1, 1)",8.246986388978701,49.69205834683955,-186.59643435980556
5,"(-1, -1, 1)",2612.73,946.16,18.93,188.7,"(1, 1, 1)",6.733636189558602,49.982039091389325,-88.03856312731115
6,"(1, -1, 1)",2612.73,719.74,14.43,263.8,"(1, 1, 1)",6.733636189558602,49.87803187803188,-131.18433818433817
7,"(-2, 0, 0)",164.58,453.33,9.1,288.1,"(0, 2, 0)",5.831499999999998,49.816483516483515,31.730769230769234
8,"(2, 0, 0)",164.58,458.77,9.21,284.1,"(0, 2, 0)",5.831499999999998,49.812160694896846,31.942453854505963
9,"(-2, 1, 0)",364.47,222.82,4.5,68.4,"(0, 2, 1)",5.215852164316007,49.51555555555555,-31.477777777777785
10,"(2, -1, 0)",364.47,234.79,4.74,65.3,"(0, 2, 1)",5.215852164316007,49.5337552742616,-27.358649789029542
11,"(0, -2, 1)",364.47,194.99,3.94,12.3,"(0, 2, 1)",5.215852164316007,49.48984771573604,-43.01522842639594
12,"(0, 2, -1)",364.47,186.14,3.77,15.9,"(0, 2, 1)",5.215852164316007,49.37400530503978,-47.30238726790452
13,"(-2, 0, -1)",364.47,196.45,4.0,485.5,"(0, 2, 1)",5.215852164316008,49.1125,-42.00500000000001
14,"(2, 0, 1)",364.47,189.15,3.87,482.2,"(0, 2, 1)",5.215852164316008,48.87596899224806,-45.30232558139535
15,"(0, -1, 2)",364.47,216.59,4.4,492.3,"(0, 2, 1)",5.215852164316007,49.224999999999994,-33.60909090909091
16,"(0, 1, -2)",364.47,216.59,4.4,496.4,"(0, 2, 1)",5.215852164316007,49.224999999999994,-33.60909090909091
17,"(-2, 1, -1)",92.69,117.54,2.48,272.6,"(1, 2, 1)",4.761399811680033,47.395161290322584,10.020161290322584
18,"(-1, 2, -1)",92.69,85.93,1.83,89.6,"(1, 2, 1)",4.7613998116800325,46.95628415300547,-3.693989071038246
19,"(-1, 1, -2)",92.69,98.47,2.13,437.9,"(1, 2, 1)",4.761399811680033,46.23004694835681,2.713615023474179
20,"(2, -1, 1)",92.69,123.67,2.61,269.5,"(1, 2, 1)",4.761399811680033,47.38314176245211,11.869731800766285
21,"(1, -2, 1)",92.69,99.83,2.1,86.4,"(1, 2, 1)",4.7613998116800325,47.53809523809524,3.4
22,"(1, -1, 2)",92.69,130.97,2.76,434.7,"(1, 2, 1)",4.761399811680033,47.45289855072464,13.869565217391306
23,"(2, 1, -1)",92.69,93.81,1.9,402.0,"(1, 2, 1)",4.761399811680033,49.37368421052632,0.5894736842105287
24,"(-2, 0, -2)",1247.87,454.69,9.16,578.6,"(0, 2, 2)",4.123493194489351,49.63864628820961,-86.59170305676854
25,"(2, 0, 2)",1247.87,449.14,9.05,574.8,"(0, 2, 2)",4.123493194489351,49.62872928176795,-88.25745856353589
26,"(0, -2, 2)",1247.87,433.67,8.73,249.1,"(0, 2, 2)",4.123493194489351,49.6758304696449,-93.26460481099654
