,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2762.11,347.22,6.96,282.8,"(0, 1, 0)",11.658000000000005,49.88793103448276,-346.96695402298855
1,"(1, 0, 1)",1468.21,266.9,5.37,575.6,"(0, 1, 1)",8.243450855072775,49.70204841713221,-223.70763500931096
2,"(0, -1, 1)",1468.21,334.45,6.72,250.6,"(0, 1, 1)",8.243450855072773,49.76934523809524,-168.71428571428572
3,"(0, 1, -1)",1468.21,309.26,6.21,253.2,"(0, 1, 1)",8.243450855072773,49.80032206119162,-186.62640901771337
4,"(-1, -1, 1)",2621.11,842.96,16.87,191.3,"(1, 1, 1)",6.730749438212659,49.96799051570836,-105.40308239478364
5,"(-2, 0, 0)",170.96,452.2,9.08,287.5,"(0, 2, 0)",5.829000000000002,49.801762114537446,30.973568281938327
6,"(2, 0, 0)",170.96,442.76,8.89,283.8,"(0, 2, 0)",5.829000000000002,49.80427446569178,30.573678290213717
7,"(-2, 1, 0)",357.71,237.12,4.79,68.0,"(0, 2, 1)",5.2136160963385105,49.50313152400835,-25.175365344467636
8,"(2, -1, 0)",357.71,231.0,4.67,64.8,"(0, 2, 1)",5.2136160963385105,49.46466809421842,-27.13276231263383
9,"(0, -2, 1)",357.71,195.74,3.96,12.3,"(0, 2, 1)",5.2136160963385105,49.429292929292934,-40.90151515151514
10,"(0, 2, -1)",357.71,190.16,3.85,15.9,"(0, 2, 1)",5.2136160963385105,49.39220779220779,-43.51948051948052
11,"(-2, 0, -1)",357.71,202.31,4.12,485.0,"(0, 2, 1)",5.213616096338511,49.10436893203883,-37.71844660194174
12,"(2, 0, 1)",357.71,196.91,4.02,481.8,"(0, 2, 1)",5.213616096338511,48.98258706467662,-40.0
13,"(0, -1, 2)",357.71,242.16,4.9,492.5,"(0, 2, 1)",5.2136160963385105,49.4204081632653,-23.58163265306122
14,"(0, 1, -2)",357.71,210.13,4.26,496.2,"(0, 2, 1)",5.2136160963385105,49.32629107981221,-34.64319248826291
15,"(-2, 1, -1)",94.52,122.07,2.55,272.3,"(1, 2, 1)",4.759358570227716,47.87058823529412,10.80392156862745
16,"(-1, 2, -1)",94.52,100.57,2.11,89.6,"(1, 2, 1)",4.7593585702277155,47.66350710900474,2.8672985781990508
17,"(-1, 1, -2)",94.52,94.45,2.05,437.9,"(1, 2, 1)",4.759358570227716,46.07317073170732,-0.03414634146341131
18,"(2, -1, 1)",94.52,121.8,2.55,269.2,"(1, 2, 1)",4.759358570227716,47.76470588235294,10.698039215686276
19,"(1, -2, 1)",94.52,92.38,1.96,86.4,"(1, 2, 1)",4.7593585702277155,47.13265306122449,-1.0918367346938778
20,"(1, -1, 2)",94.52,122.52,2.59,434.6,"(1, 2, 1)",4.759358570227716,47.30501930501931,10.81081081081081
21,"(2, 1, -1)",94.52,102.19,2.06,403.0,"(1, 2, 1)",4.759358570227716,49.60679611650485,3.723300970873787
22,"(-2, 0, -2)",1234.86,418.11,8.42,578.3,"(0, 2, 2)",4.121725427536387,49.656769596199524,-97.00118764845604
23,"(2, 0, 2)",1234.86,419.37,8.45,574.5,"(0, 2, 2)",4.121725427536387,49.62958579881657,-96.50769230769231
24,"(0, -2, 2)",1234.86,402.28,8.1,249.4,"(0, 2, 2)",4.121725427536386,49.66419753086419,-102.78765432098766
25,"(0, 2, -2)",1234.86,424.59,8.55,254.1,"(0, 2, 2)",4.121725427536386,49.65964912280701,-94.76842105263157
26,"(-2, 1, -2)",469.36,356.94,7.24,405.2,"(1, 2, 2)",3.8860000000000015,49.30110497237569,-15.527624309392268
27,"(-2, 2, -1)",469.36,453.46,9.14,132.7,"(1, 2, 2)",3.8860000000000006,49.61269146608315,-1.7396061269146645
28,"(-1, 2, -2)",469.36,275.62,5.6,262.2,"(1, 2, 2)",3.8860000000000006,49.21785714285715,-34.596428571428575
29,"(-1, -2, 2)",469.36,356.94,7.18,232.5,"(1, 2, 2)",3.8860000000000006,49.713091922005574,-15.657381615598888
