,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2767.26,168.2,3.39,284.1,"(0, 1, 0)",11.662999999999997,49.616519174041294,-766.684365781711
1,"(-1, 0, -1)",1487.53,150.84,3.08,579.4,"(0, 1, 1)",8.246986388978701,48.97402597402598,-433.9902597402598
2,"(1, 0, 1)",1487.53,190.62,3.86,577.0,"(0, 1, 1)",8.246986388978701,49.38341968911917,-335.9870466321243
3,"(0, -1, 1)",1487.53,209.5,4.22,251.9,"(0, 1, 1)",8.246986388978701,49.644549763033176,-302.8507109004739
4,"(0, 1, -1)",1487.53,177.04,3.57,254.6,"(0, 1, 1)",8.246986388978701,49.59103641456583,-367.0840336134454
5,"(-1, 1, -1)",2659.86,211.01,4.27,267.3,"(1, 1, 1)",6.733636189558602,49.4168618266979,-573.5011709601876
6,"(-1, -1, 1)",2659.86,232.3,4.66,193.3,"(1, 1, 1)",6.733636189558602,49.84978540772532,-520.9356223175965
7,"(1, -1, 1)",2659.86,211.61,4.29,265.1,"(1, 1, 1)",6.733636189558602,49.32634032634033,-570.6876456876457
8,"(1, 1, -1)",2659.86,218.18,4.37,204.2,"(1, 1, 1)",6.733636189558602,49.92677345537758,-558.7368421052632
9,"(-2, 0, 0)",190.21,116.04,2.38,288.1,"(0, 2, 0)",5.831499999999998,48.75630252100841,-31.16386554621849
10,"(2, 0, 0)",190.21,105.01,2.16,284.4,"(0, 2, 0)",5.831499999999998,48.61574074074074,-39.44444444444444
11,"(-2, 1, 0)",358.15,251.7,5.1,69.3,"(0, 2, 1)",5.215852164316007,49.35294117647059,-20.872549019607842
12,"(2, -1, 0)",358.15,236.15,4.78,66.2,"(0, 2, 1)",5.215852164316007,49.40376569037657,-25.52301255230125
13,"(0, -2, 1)",358.15,153.03,3.13,13.7,"(0, 2, 1)",5.215852164316007,48.891373801916934,-65.53354632587859
14,"(0, 2, -1)",358.15,178.09,3.63,17.3,"(0, 2, 1)",5.215852164316007,49.06060606060606,-49.603305785123965
15,"(-2, 0, -1)",358.15,194.63,3.97,485.7,"(0, 2, 1)",5.215852164316008,49.02518891687657,-41.188916876574304
16,"(2, 0, 1)",358.15,192.59,3.93,482.6,"(0, 2, 1)",5.215852164316008,49.00508905852417,-42.127226463104314
17,"(0, -1, 2)",358.15,221.88,4.5,494.3,"(0, 2, 1)",5.215852164316007,49.306666666666665,-30.282222222222217
18,"(0, 1, -2)",358.15,174.7,3.56,498.3,"(0, 2, 1)",5.215852164316007,49.073033707865164,-51.53089887640449
