,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2769.57,196.29,3.95,283.6,"(0, 1, 0)",11.660999999999998,49.69367088607594,-651.4632911392405
1,"(1, 0, 1)",1479.47,188.04,3.82,577.0,"(0, 1, 1)",8.245572175416328,49.225130890052355,-338.07068062827227
2,"(0, -1, 1)",1479.47,232.17,4.68,252.9,"(0, 1, 1)",8.245572175416328,49.60897435897436,-266.517094017094
3,"(0, 1, -1)",1479.47,177.91,3.6,255.4,"(0, 1, 1)",8.245572175416328,49.419444444444444,-361.5444444444444
4,"(-1, 1, -1)",2632.05,242.47,4.91,267.4,"(1, 1, 1)",6.732481489020223,49.382892057026474,-486.6761710794298
5,"(-1, -1, 1)",2632.05,282.92,5.67,196.5,"(1, 1, 1)",6.732481489020223,49.89770723104057,-414.30864197530866
6,"(1, -1, 1)",2632.05,233.23,4.73,265.2,"(1, 1, 1)",6.732481489020223,49.30866807610993,-507.15010570824523
7,"(1, 1, -1)",2632.05,232.41,4.66,207.7,"(1, 1, 1)",6.732481489020223,49.87339055793991,-514.9442060085837
8,"(-2, 0, 0)",181.26,127.89,2.63,287.6,"(0, 2, 0)",5.830499999999999,48.627376425855516,-20.292775665399237
9,"(2, 0, 0)",181.26,141.95,2.91,283.8,"(0, 2, 0)",5.830499999999999,48.78006872852233,-13.508591065292096
10,"(-2, 1, 0)",366.12,241.89,4.9,69.3,"(0, 2, 1)",5.214957737125008,49.36530612244897,-25.3530612244898
11,"(2, -1, 0)",366.12,238.38,4.83,66.1,"(0, 2, 1)",5.214957737125008,49.35403726708074,-26.4472049689441
12,"(0, -2, 1)",366.12,163.2,3.33,14.5,"(0, 2, 1)",5.214957737125008,49.009009009009006,-60.93693693693694
13,"(0, 2, -1)",366.12,184.77,3.77,18.1,"(0, 2, 1)",5.214957737125008,49.0106100795756,-48.103448275862064
14,"(-2, 0, -1)",366.12,201.85,4.11,485.5,"(0, 2, 1)",5.214957737125009,49.111922141119216,-39.968369829683695
15,"(2, 0, 1)",366.12,214.93,4.38,482.4,"(0, 2, 1)",5.214957737125009,49.07077625570776,-34.518264840182646
16,"(0, -1, 2)",366.12,219.91,4.46,495.1,"(0, 2, 1)",5.214957737125008,49.30717488789237,-32.78251121076234
17,"(0, 1, -2)",366.12,175.7,3.59,499.1,"(0, 2, 1)",5.214957737125008,48.94150417827298,-53.04178272980502
18,"(-2, 1, -1)",96.5,138.93,2.9,273.2,"(1, 2, 1)",4.7605833150991055,47.906896551724145,14.631034482758624
19,"(-1, 2, -1)",96.5,104.52,2.22,91.3,"(1, 2, 1)",4.7605833150991055,47.081081081081074,3.6126126126126104
20,"(-1, 1, -2)",96.5,85.4,1.89,440.0,"(1, 2, 1)",4.7605833150991055,45.18518518518519,-5.87301587301587
21,"(2, -1, 1)",96.5,130.26,2.75,270.2,"(1, 2, 1)",4.7605833150991055,47.36727272727273,12.276363636363634
22,"(1, -2, 1)",96.5,99.62,2.12,88.2,"(1, 2, 1)",4.7605833150991055,46.990566037735846,1.4716981132075493
23,"(1, -1, 2)",96.5,91.85,2.0,436.9,"(1, 2, 1)",4.7605833150991055,45.925,-2.325000000000003
24,"(2, 1, -1)",96.5,75.32,1.53,392.0,"(1, 2, 1)",4.7605833150991055,49.228758169934636,-13.843137254901965
25,"(-2, 0, -2)",1291.95,174.23,3.61,579.5,"(0, 2, 2)",4.122786087708164,48.26315789473684,-309.61772853185596
26,"(2, 0, 2)",1291.95,269.11,5.48,575.9,"(0, 2, 2)",4.122786087708164,49.10766423357664,-186.64963503649633
27,"(0, -2, 2)",1291.95,318.39,6.44,251.6,"(0, 2, 2)",4.122786087708164,49.439440993788814,-151.17391304347825
28,"(0, 2, -2)",1291.95,354.1,7.15,256.5,"(0, 2, 2)",4.122786087708164,49.52447552447553,-131.16783216783216
29,"(-2, 1, -2)",481.82,236.75,4.85,406.8,"(1, 2, 2)",3.8869999999999996,48.81443298969072,-50.5298969072165
30,"(-2, 2, -1)",481.82,305.64,6.2,134.2,"(1, 2, 2)",3.8869999999999987,49.29677419354838,-28.416129032258066
31,"(-1, 2, -2)",481.82,206.43,4.25,263.9,"(1, 2, 2)",3.8869999999999987,48.57176470588235,-64.79764705882353
32,"(-1, -2, 2)",481.82,266.25,5.38,235.7,"(1, 2, 2)",3.8869999999999987,49.48884758364312,-40.06877323420074
33,"(2, -1, 2)",481.82,295.18,6.01,403.1,"(1, 2, 2)",3.8869999999999996,49.11480865224626,-31.054908485856902
34,"(2, -2, 1)",481.82,287.74,5.84,130.5,"(1, 2, 2)",3.8869999999999987,49.27054794520548,-33.23287671232877
35,"(1, -2, 2)",481.82,238.87,4.89,259.9,"(1, 2, 2)",3.8869999999999987,48.84867075664622,-49.68302658486708
36,"(1, 2, -2)",481.82,314.54,6.34,243.2,"(1, 2, 2)",3.8869999999999987,49.61198738170347,-26.384858044164034
37,"(-2, 2, -2)",1.2,171.61,3.62,268.5,"(2, 2, 2)",3.3662407445101117,47.4060773480663,47.07458563535912
