,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2820.39,224.95,4.66,286.0,"(0, 1, 0)",11.662999999999997,48.2725321888412,-556.9613733905579
1,"(1, 0, 1)",1475.56,156.3,3.98,578.5,"(0, 1, 1)",8.246986388978701,39.2713567839196,-331.47236180904525
2,"(0, -1, 1)",1475.56,257.04,5.39,255.6,"(0, 1, 1)",8.246986388978701,47.68831168831169,-226.0705009276438
3,"(0, 1, -1)",1475.56,207.55,4.47,258.2,"(0, 1, 1)",8.246986388978701,46.431767337807614,-283.6711409395973
4,"(-1, 1, -1)",2692.61,280.63,6.05,270.1,"(1, 1, 1)",6.733636189558602,46.385123966942146,-398.6743801652893
5,"(-1, -1, 1)",2692.61,306.37,6.21,200.3,"(1, 1, 1)",6.733636189558602,49.33494363929147,-384.25764895330116
6,"(1, -1, 1)",2692.61,268.69,5.82,267.8,"(1, 1, 1)",6.733636189558602,46.166666666666664,-416.4810996563574
7,"(1, 1, -1)",2692.61,246.78,5.04,210.5,"(1, 1, 1)",6.733636189558602,48.964285714285715,-485.2837301587301
8,"(-2, 0, 0)",218.73,167.58,3.84,289.5,"(0, 2, 0)",5.831499999999998,43.64062500000001,-13.320312499999995
9,"(2, 0, 0)",218.73,142.04,3.45,285.8,"(0, 2, 0)",5.831499999999998,41.17101449275362,-22.228985507246374
10,"(-2, 1, 0)",363.84,218.73,5.12,71.7,"(0, 2, 1)",5.215852164316007,42.720703125,-28.341796874999996
11,"(2, -1, 0)",363.84,217.37,5.15,68.6,"(0, 2, 1)",5.215852164316007,42.20776699029126,-28.44077669902912
12,"(0, -2, 1)",363.84,199.17,4.72,16.5,"(0, 2, 1)",5.215852164316007,42.19703389830509,-34.88771186440678
13,"(0, 2, -1)",363.84,151.13,3.99,20.3,"(0, 2, 1)",5.215852164316007,37.87719298245614,-53.31077694235588
14,"(-2, 0, -1)",363.84,202.28,4.73,487.0,"(0, 2, 1)",5.215852164316008,42.76532769556025,-34.15644820295982
15,"(2, 0, 1)",363.84,195.97,4.71,484.0,"(0, 2, 1)",5.215852164316008,41.6072186836518,-35.64118895966029
16,"(0, -1, 2)",363.84,185.74,4.41,498.3,"(0, 2, 1)",5.215852164316007,42.11791383219955,-40.38548752834466
17,"(0, 1, -2)",363.84,155.37,3.92,502.5,"(0, 2, 1)",5.215852164316007,39.63520408163266,-53.181122448979586
18,"(-2, 1, -1)",84.6,160.27,4.21,275.4,"(1, 2, 1)",4.761399811680033,38.06888361045131,17.97387173396675
19,"(-1, 2, -1)",84.6,126.62,3.8,93.6,"(1, 2, 1)",4.7613998116800325,33.32105263157895,11.057894736842108
20,"(-1, 1, -2)",84.6,113.32,3.57,442.6,"(1, 2, 1)",4.761399811680033,31.742296918767508,8.044817927170868
21,"(2, -1, 1)",84.6,137.5,3.95,272.4,"(1, 2, 1)",4.761399811680033,34.81012658227848,13.39240506329114
22,"(1, -2, 1)",84.6,164.93,4.3,90.5,"(1, 2, 1)",4.7613998116800325,38.35581395348837,18.681395348837214
23,"(1, -1, 2)",84.6,104.29,3.34,439.5,"(1, 2, 1)",4.761399811680033,31.224550898203596,5.895209580838327
24,"(-2, 0, -2)",1302.31,232.56,6.15,581.3,"(0, 2, 2)",4.123493194489351,37.81463414634146,-173.9430894308943
25,"(2, 0, 2)",1302.31,183.39,5.59,577.5,"(0, 2, 2)",4.123493194489351,32.80679785330948,-200.1645796064401
26,"(0, -2, 2)",1302.31,297.64,6.56,254.6,"(0, 2, 2)",4.123493194489351,45.3719512195122,-153.15091463414635
27,"(0, 2, -2)",1302.31,312.86,6.91,259.4,"(0, 2, 2)",4.123493194489351,45.27641099855283,-143.19102749638205
28,"(-2, 1, -2)",457.99,179.42,4.86,409.3,"(1, 2, 2)",3.8876666666666657,36.91769547325102,-57.31893004115227
29,"(-2, 2, -1)",457.99,189.45,5.06,136.5,"(1, 2, 2)",3.887666666666665,37.440711462450594,-53.071146245059296
30,"(-1, 2, -2)",457.99,217.47,5.48,266.6,"(1, 2, 2)",3.887666666666665,39.684306569343065,-43.89051094890511
31,"(-1, -2, 2)",457.99,226.14,5.07,239.3,"(1, 2, 2)",3.887666666666665,44.603550295857985,-45.72978303747535
32,"(2, -1, 2)",457.99,225.44,5.61,405.4,"(1, 2, 2)",3.8876666666666657,40.18538324420677,-41.45276292335116
