,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2782.89,185.26,3.87,285.6,"(0, 1, 0)",11.662999999999997,47.870801033591725,-671.2222222222223
1,"(1, 0, 1)",1467.54,167.73,4.14,578.7,"(0, 1, 1)",8.246986388978701,40.51449275362319,-313.96376811594206
2,"(0, -1, 1)",1467.54,250.84,5.24,255.8,"(0, 1, 1)",8.246986388978701,47.87022900763359,-232.1946564885496
3,"(0, 1, -1)",1467.54,180.29,3.92,258.7,"(0, 1, 1)",8.246986388978701,45.99234693877551,-328.3801020408163
4,"(-1, 1, -1)",2572.85,294.04,6.24,270.1,"(1, 1, 1)",6.733636189558602,47.121794871794876,-365.1939102564102
5,"(-1, -1, 1)",2572.85,331.26,6.69,201.4,"(1, 1, 1)",6.733636189558602,49.515695067264566,-335.06576980568013
6,"(1, -1, 1)",2572.85,315.28,6.67,267.8,"(1, 1, 1)",6.733636189558602,47.26836581709145,-338.4662668665667
7,"(1, 1, -1)",2572.85,185.36,3.83,212.6,"(1, 1, 1)",6.733636189558602,48.39686684073107,-623.3655352480417
8,"(-2, 0, 0)",175.38,179.35,3.94,289.2,"(0, 2, 0)",5.831499999999998,45.52030456852792,1.0076142131979693
9,"(2, 0, 0)",175.38,118.17,3.04,285.0,"(0, 2, 0)",5.831499999999998,38.87171052631579,-18.819078947368418
10,"(-2, 1, 0)",387.12,171.25,4.23,71.6,"(0, 2, 1)",5.215852164316007,40.48463356973995,-51.033096926713945
11,"(2, -1, 0)",387.12,215.58,5.19,68.5,"(0, 2, 1)",5.215852164316007,41.53757225433526,-33.05202312138728
12,"(0, -2, 1)",387.12,203.18,4.86,16.9,"(0, 2, 1)",5.215852164316007,41.806584362139915,-37.8477366255144
13,"(0, 2, -1)",387.12,129.6,3.75,20.6,"(0, 2, 1)",5.215852164316007,34.559999999999995,-68.672
14,"(-2, 0, -1)",387.12,186.07,4.29,487.0,"(0, 2, 1)",5.215852164316008,43.37296037296037,-46.86480186480187
15,"(2, 0, 1)",387.12,192.2,4.59,483.9,"(0, 2, 1)",5.215852164316008,41.87363834422658,-42.46623093681918
16,"(0, -1, 2)",387.12,158.43,3.86,498.6,"(0, 2, 1)",5.215852164316007,41.04404145077721,-59.24611398963731
17,"(0, 1, -2)",387.12,171.12,4.13,502.5,"(0, 2, 1)",5.215852164316007,41.43341404358354,-52.300242130750604
18,"(-2, 1, -1)",97.55,163.24,4.05,275.5,"(1, 2, 1)",4.761399811680033,40.306172839506175,16.219753086419757
19,"(-1, 2, -1)",97.55,148.1,4.0,93.7,"(1, 2, 1)",4.7613998116800325,37.025,12.6375
20,"(-1, 1, -2)",97.55,111.23,3.38,442.8,"(1, 2, 1)",4.761399811680033,32.90828402366864,4.047337278106511
21,"(2, -1, 1)",97.55,131.6,3.76,272.3,"(1, 2, 1)",4.761399811680033,35.0,9.055851063829786
22,"(1, -2, 1)",97.55,153.01,4.03,90.6,"(1, 2, 1)",4.7613998116800325,37.967741935483865,13.761786600496276
23,"(1, -1, 2)",97.55,97.64,3.16,439.6,"(1, 2, 1)",4.761399811680033,30.89873417721519,0.028481012658228926
24,"(-2, 0, -2)",1351.06,218.0,5.76,581.4,"(0, 2, 2)",4.123493194489351,37.84722222222222,-196.71180555555554
25,"(2, 0, 2)",1351.06,176.29,5.53,577.6,"(0, 2, 2)",4.123493194489351,31.878842676311027,-212.43580470162746
26,"(0, -2, 2)",1351.07,254.62,5.69,254.9,"(0, 2, 2)",4.123493194489351,44.748681898066785,-192.69771528998237
27,"(0, 2, -2)",1351.07,303.24,6.68,259.7,"(0, 2, 2)",4.123493194489351,45.395209580838326,-156.86077844311376
28,"(-2, 1, -2)",482.53,166.5,4.51,409.3,"(1, 2, 2)",3.8876666666666657,36.9179600886918,-70.07317073170731
