,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 1)",1432.86,859.62,17.21,211.6,"(0, 1, 1)",8.198903127858015,49.94886693782684,-33.30854154561301
1,"(1, -1, 1)",2492.93,1537.7,30.78,277.9,"(1, 1, 1)",6.694376371253709,49.95776478232619,-31.03411306042884
2,"(2, 0, 0)",139.02,719.45,14.42,387.1,"(0, 2, 0)",5.7974999999999985,49.892510402219145,40.25173370319002
3,"(-2, 1, 0)",378.68,235.8,4.76,133.2,"(0, 2, 1)",5.1854416398220105,49.537815126050425,-30.016806722689076
4,"(2, -1, 0)",378.68,257.73,5.19,129.4,"(0, 2, 1)",5.1854416398220105,49.65895953757225,-23.304431599229282
5,"(0, 2, -1)",378.68,230.73,4.65,10.1,"(0, 2, 1)",5.1854416398220105,49.61935483870967,-31.81720430107527
6,"(-2, 0, -1)",378.68,261.35,5.28,540.3,"(0, 2, 1)",5.185441639822011,49.49810606060606,-22.221590909090907
7,"(2, 0, 1)",378.68,253.54,5.12,536.9,"(0, 2, 1)",5.185441639822011,49.51953125,-24.441406250000004
8,"(0, -1, 2)",378.68,281.58,5.68,454.9,"(0, 2, 1)",5.1854416398220105,49.57394366197183,-17.095070422535215
9,"(0, 1, -2)",378.68,268.18,5.42,460.1,"(0, 2, 1)",5.1854416398220105,49.47970479704797,-20.387453874538746
10,"(-2, 1, -1)",96.6,103.24,2.22,311.7,"(1, 2, 1)",4.7336389279284905,46.504504504504496,2.990990990990991
11,"(-1, 2, -1)",96.6,114.15,2.36,101.9,"(1, 2, 1)",4.73363892792849,48.368644067796616,7.4364406779661065
12,"(-1, 1, -2)",96.6,107.07,2.28,439.2,"(1, 2, 1)",4.7336389279284905,46.96052631578947,4.592105263157895
13,"(-1, -1, 2)",96.6,115.91,2.36,503.1,"(1, 2, 1)",4.73363892792849,49.11440677966102,8.18220338983051
14,"(2, -1, 1)",96.6,118.81,2.56,307.9,"(1, 2, 1)",4.7336389279284905,46.41015625,8.675781250000004
15,"(1, -2, 1)",96.6,112.39,2.33,97.4,"(1, 2, 1)",4.73363892792849,48.23605150214592,6.7768240343347665
16,"(1, -1, 2)",96.6,111.51,2.37,434.9,"(1, 2, 1)",4.7336389279284905,47.050632911392405,6.291139240506333
17,"(1, 1, -2)",96.6,132.2,2.69,511.6,"(1, 2, 1)",4.73363892792849,49.1449814126394,13.234200743494421
18,"(0, -2, 2)",1256.37,934.62,18.73,210.0,"(0, 2, 2)",4.099451563929008,49.89962626801922,-17.178323545114782
19,"(0, 2, -2)",1256.37,908.76,18.22,216.6,"(0, 2, 2)",4.099451563929008,49.87705817782657,-19.078485181119646
20,"(-2, 1, -2)",468.97,474.76,9.59,428.2,"(1, 2, 2)",3.8649999999999998,49.505735140771634,0.6037539103232497
21,"(-2, 2, -1)",468.97,543.08,10.92,162.8,"(1, 2, 2)",3.864999999999999,49.73260073260074,6.786630036630038
22,"(-1, 2, -2)",468.97,438.29,8.85,256.3,"(1, 2, 2)",3.864999999999999,49.52429378531074,-3.4666666666666677
23,"(-1, -2, 2)",468.97,530.15,10.64,136.0,"(1, 2, 2)",3.864999999999999,49.826127819548866,5.749999999999995
24,"(2, -1, 2)",468.97,504.76,10.19,423.7,"(1, 2, 2)",3.8649999999999998,49.53483807654563,3.512266928361135
25,"(2, -2, 1)",468.97,538.43,10.84,158.5,"(1, 2, 2)",3.864999999999999,49.670664206642066,6.4077490774907675
26,"(1, -2, 2)",468.97,460.9,9.3,251.1,"(1, 2, 2)",3.864999999999999,49.55913978494623,-0.8677419354838762
27,"(1, 2, -2)",468.97,465.14,9.33,145.9,"(1, 2, 2)",3.864999999999999,49.85423365487674,-0.4105037513397686
