,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 1)",1430.78,306.79,6.14,255.5,"(0, 1, 1)",8.223651865199548,49.96579804560261,-183.06026058631923
1,"(2, 0, 1)",381.88,179.97,3.62,481.2,"(0, 2, 1)",5.201094115664511,49.715469613259664,-55.77624309392265
2,"(0, -1, 2)",381.88,203.11,4.08,497.3,"(0, 2, 1)",5.201094115664511,49.78186274509804,-43.81617647058823
3,"(-2, 1, -1)",89.32,129.43,2.61,273.1,"(1, 2, 1)",4.747927618094727,49.59003831417625,15.36781609195403
4,"(-1, 1, -2)",89.32,82.66,1.69,440.9,"(1, 2, 1)",4.747927618094727,48.91124260355029,-3.940828402366862
5,"(2, -1, 1)",89.32,133.38,2.69,269.9,"(1, 2, 1)",4.747927618094727,49.58364312267658,16.37918215613383
6,"(1, -2, 1)",89.32,95.46,1.92,89.0,"(1, 2, 1)",4.747927618094726,49.71875,3.197916666666667
7,"(1, -1, 2)",89.32,86.92,1.78,437.7,"(1, 2, 1)",4.747927618094727,48.831460674157306,-1.3483146067415683
8,"(2, 1, -1)",89.32,84.91,1.7,368.1,"(1, 2, 1)",4.747927618094727,49.94705882352941,-2.5941176470588214
9,"(-2, 0, -2)",1275.56,237.51,4.76,579.0,"(0, 2, 2)",4.111825932599774,49.89705882352941,-218.07773109243698
10,"(1, -2, 2)",467.06,229.85,4.62,261.9,"(1, 2, 2)",3.8766666666666665,49.75108225108225,-51.34415584415584
11,"(-2, -2, 2)",0.28,339.07,6.79,199.4,"(2, 2, 2)",3.357291815337674,49.93667157584683,49.895434462444776
12,"(-3, 0, 0)",1490.23,157.08,3.17,286.8,"(0, 3, 0)",3.8766666666666665,49.55205047318613,-420.55205047318617
13,"(3, 0, 0)",1490.23,127.82,2.58,281.4,"(0, 3, 0)",3.8766666666666665,49.542635658914726,-528.0658914728682
14,"(-3, 1, 0)",127.83,115.32,2.33,124.2,"(0, 3, 1)",3.6777289187758253,49.493562231759654,-5.369098712446354
15,"(3, 1, 0)",127.83,86.85,1.76,540.9,"(0, 3, 1)",3.6777289187758253,49.34659090909091,-23.28409090909091
