,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 1)",1432.87,90.93,1.82,577.4,"(0, 1, 1)",8.235672680479723,49.96153846153847,-737.3296703296702
1,"(1, -1, 1)",2501.38,126.81,2.54,265.8,"(1, 1, 1)",6.724398585251573,49.925196850393704,-934.8700787401575
2,"(2, 0, 0)",156.66,70.29,1.41,283.2,"(0, 2, 0)",5.823500000000003,49.85106382978724,-61.25531914893617
3,"(-2, 1, 0)",392.79,141.74,2.84,69.8,"(0, 2, 1)",5.208696746788012,49.90845070422536,-88.39788732394366
4,"(1, -2, 1)",91.14,74.46,1.5,88.8,"(1, 2, 1)",4.754867839032614,49.63999999999999,-11.120000000000005
5,"(0, -2, 2)",1324.92,153.66,3.08,252.9,"(0, 2, 2)",4.117836340239861,49.88961038961039,-380.2792207792208
6,"(-2, 1, -2)",463.34,114.96,2.31,407.7,"(1, 2, 2)",3.8823333333333356,49.76623376623376,-150.8138528138528
7,"(2, -2, 2)",0.93,92.02,1.85,264.8,"(2, 2, 2)",3.3621992926257867,49.740540540540536,49.23783783783783
8,"(-3, 0, -1)",129.92,70.55,1.42,436.8,"(0, 3, 1)",3.6831047907981134,49.683098591549296,-41.809859154929576
9,"(3, 0, 1)",129.92,60.73,1.22,432.0,"(0, 3, 1)",3.6831047907981134,49.778688524590166,-56.71311475409836
10,"(3, -1, 1)",939.99,136.49,2.74,272.8,"(1, 3, 1)",3.511702630297215,49.81386861313869,-293.2481751824817
11,"(0, -3, 2)",484.73,135.01,2.71,103.2,"(0, 3, 2)",3.230296592717623,49.81918819188191,-129.04797047970482
12,"(-1, -3, 2)",330.35,122.26,2.45,46.6,"(1, 3, 2)",3.1127916845540082,49.902040816326526,-84.93469387755103
13,"(2, -3, 1)",330.35,125.02,2.51,42.0,"(1, 3, 2)",3.1127916845540082,49.808764940239044,-81.80478087649405
14,"(1, -2, 3)",330.35,95.93,1.93,380.1,"(1, 3, 2)",3.1127916845540082,49.704663212435236,-121.46113989637307
15,"(1, 2, -3)",330.35,98.17,1.97,450.3,"(1, 3, 2)",3.112791684554008,49.83248730964467,-117.85786802030458
16,"(-2, -2, 3)",210.49,82.66,1.66,512.7,"(2, 3, 2)",2.824812424798171,49.795180722891565,-77.00602409638556
17,"(2, -2, 3)",210.49,111.43,2.24,363.9,"(2, 3, 2)",2.8248124247981714,49.745535714285715,-44.223214285714285
18,"(-3, 0, -3)",472.48,196.72,3.95,580.5,"(0, 3, 3)",2.7452242268265747,49.802531645569616,-69.81265822784809
19,"(3, 0, 3)",472.48,114.96,2.31,575.4,"(0, 3, 3)",2.7452242268265747,49.76623376623376,-154.77056277056278
20,"(0, -3, 3)",472.49,112.91,2.27,251.8,"(0, 3, 3)",2.745224226826574,49.74008810572687,-158.40528634361235
21,"(-3, 1, -3)",3.46,11.28,0.28,462.3,"(1, 3, 3)",2.672005052390434,40.28571428571428,27.928571428571423
22,"(-3, 3, -1)",3.46,3.98,0.2,82.7,"(1, 3, 3)",2.6720050523904337,19.9,2.6
23,"(-1, 3, -3)",3.46,28.8,0.61,264.1,"(1, 3, 3)",2.6720050523904337,47.21311475409836,41.540983606557376
24,"(-1, -3, 3)",3.46,19.63,0.42,243.0,"(1, 3, 3)",2.6720050523904337,46.73809523809524,38.5
25,"(3, -1, 3)",3.46,12.35,0.29,456.7,"(1, 3, 3)",2.672005052390434,42.58620689655172,30.655172413793107
26,"(3, -3, 1)",3.46,6.87,0.22,77.4,"(1, 3, 3)",2.6720050523904337,31.227272727272727,15.5
27,"(1, -3, 3)",3.46,21.81,0.47,257.6,"(1, 3, 3)",2.6720050523904337,46.40425531914894,39.04255319148936
28,"(1, 3, -3)",3.46,27.78,0.57,252.3,"(1, 3, 3)",2.6720050523904337,48.736842105263165,42.66666666666667
