,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(-1, 0, 0)",2789.83,223.26,4.49,288.9,"(0, 1, 0)",11.646,49.72383073496659,-571.6191536748329
1,"(-1, 0, -1)",1469.99,140.04,2.85,581.6,"(0, 1, 1)",8.234965573698535,49.136842105263156,-466.64912280701753
2,"(1, 0, 1)",1469.99,151.87,3.08,578.9,"(0, 1, 1)",8.234965573698535,49.30844155844156,-427.9610389610389
3,"(0, -1, 1)",1469.99,154.97,3.13,256.6,"(0, 1, 1)",8.234965573698533,49.5111821086262,-420.13418530351436
4,"(0, 1, -1)",1469.99,128.57,2.61,259.3,"(0, 1, 1)",8.234965573698533,49.26053639846743,-513.9540229885058
5,"(-1, 1, -1)",2624.51,195.87,3.97,270.4,"(1, 1, 1)",6.723821234982381,49.3375314861461,-611.7481108312343
6,"(1, -1, 1)",2624.51,181.83,3.69,268.0,"(1, 1, 1)",6.723821234982381,49.27642276422765,-661.9728997289974
7,"(1, 1, -1)",2624.51,186.52,3.74,216.3,"(1, 1, 1)",6.723821234982381,49.8716577540107,-651.8689839572193
8,"(-2, 0, 0)",182.02,137.83,2.81,288.6,"(0, 2, 0)",5.823,49.04982206405694,-15.725978647686832
9,"(2, 0, 0)",182.02,124.89,2.55,284.6,"(0, 2, 0)",5.823,48.976470588235294,-22.403921568627457
10,"(-2, 1, 0)",374.93,178.4,3.67,71.8,"(0, 2, 1)",5.20824953319251,48.61035422343325,-53.55040871934605
11,"(2, -1, 0)",374.93,143.46,2.97,68.6,"(0, 2, 1)",5.20824953319251,48.303030303030305,-77.93602693602693
12,"(0, -2, 1)",374.93,157.67,3.25,17.1,"(0, 2, 1)",5.20824953319251,48.51384615384615,-66.84923076923077
13,"(0, 2, -1)",374.93,105.18,2.24,20.6,"(0, 2, 1)",5.20824953319251,46.95535714285714,-120.42410714285712
14,"(-2, 0, -1)",374.93,173.54,3.52,486.4,"(0, 2, 1)",5.208249533192511,49.30113636363636,-57.21306818181819
15,"(2, 0, 1)",374.93,167.67,3.4,483.3,"(0, 2, 1)",5.208249533192511,49.31470588235294,-60.958823529411774
16,"(0, -1, 2)",374.93,163.01,3.3,499.6,"(0, 2, 1)",5.20824953319251,49.3969696969697,-64.21818181818183
17,"(-2, 1, -1)",93.56,107.14,2.26,275.4,"(1, 2, 1)",4.754459590742149,47.407079646017706,6.008849557522124
18,"(-1, 2, -1)",93.56,155.46,3.22,94.1,"(1, 2, 1)",4.754459590742148,48.27950310559006,19.22360248447205
19,"(-1, 1, -2)",93.56,103.51,2.16,443.0,"(1, 2, 1)",4.754459590742149,47.9212962962963,4.606481481481483
20,"(2, -1, 1)",93.56,83.26,1.78,272.1,"(1, 2, 1)",4.754459590742149,46.77528089887641,-5.786516853932582
21,"(1, -2, 1)",93.56,98.12,2.1,91.0,"(1, 2, 1)",4.754459590742148,46.72380952380952,2.1714285714285726
22,"(1, -1, 2)",93.56,82.89,1.74,439.8,"(1, 2, 1)",4.754459590742149,47.63793103448276,-6.132183908045978
23,"(2, 1, -1)",93.56,106.44,2.14,375.3,"(1, 2, 1)",4.754459590742149,49.73831775700934,6.018691588785044
24,"(-2, 0, -2)",1322.02,171.3,3.52,581.6,"(0, 2, 2)",4.117482786849267,48.664772727272734,-326.90909090909093
25,"(2, 0, 2)",1322.02,161.06,3.31,577.7,"(0, 2, 2)",4.117482786849267,48.65861027190332,-350.74320241691845
26,"(0, -2, 2)",1322.02,189.22,3.85,255.6,"(0, 2, 2)",4.1174827868492665,49.14805194805194,-294.23376623376623
27,"(0, 2, -2)",1322.02,192.65,3.93,260.4,"(0, 2, 2)",4.1174827868492665,49.02035623409669,-287.3715012722646
28,"(-2, 1, -2)",478.57,195.22,3.98,409.2,"(1, 2, 2)",3.882000000000001,49.050251256281406,-71.19346733668343
29,"(-2, 2, -1)",478.57,175.71,3.64,136.8,"(1, 2, 2)",3.8819999999999997,48.27197802197802,-83.2032967032967
30,"(-1, 2, -2)",478.57,132.08,2.77,267.2,"(1, 2, 2)",3.882,47.68231046931408,-125.08664259927798
31,"(-1, -2, 2)",478.57,191.42,3.87,240.7,"(1, 2, 2)",3.882,49.462532299741596,-74.19896640826873
