,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2756.33,1342.3,26.87,387.9,"(0, 1, 0)",11.615999999999998,49.95534052847041,-52.62486043915147
1,"(0, -1, 1)",1441.52,941.29,18.86,206.7,"(0, 1, 1)",8.213752370262934,49.90933191940615,-26.523329798515377
2,"(0, 1, -1)",1441.52,730.77,14.65,212.0,"(0, 1, 1)",8.213752370262934,49.88191126279863,-48.515358361774744
3,"(-1, 1, -1)",2527.51,1599.91,32.05,279.5,"(1, 1, 1)",6.706500726906691,49.91918876755071,-28.942277691107652
4,"(1, -1, 1)",2527.51,1645.31,32.96,275.0,"(1, 1, 1)",6.706500726906691,49.918385922330096,-26.765776699029132
5,"(-2, 0, 0)",146.79,900.63,18.06,395.6,"(0, 2, 0)",5.807999999999999,49.8687707641196,41.74086378737542
6,"(2, 0, 0)",146.79,879.01,17.64,391.5,"(0, 2, 0)",5.807999999999999,49.83049886621315,41.50907029478458
7,"(-2, 1, 0)",372.14,229.57,4.68,130.7,"(0, 2, 1)",5.194833125327511,49.05341880341881,-30.463675213675213
8,"(2, -1, 0)",372.14,239.25,4.88,126.8,"(0, 2, 1)",5.194833125327511,49.02663934426229,-27.231557377049178
9,"(-2, 0, -1)",372.14,256.22,5.21,543.1,"(0, 2, 1)",5.194833125327511,49.1785028790787,-22.249520153550858
10,"(2, 0, 1)",372.14,263.23,5.35,539.4,"(0, 2, 1)",5.194833125327511,49.20186915887851,-20.35700934579439
11,"(0, -1, 2)",372.14,293.33,5.95,449.7,"(0, 2, 1)",5.194833125327511,49.299159663865545,-13.245378151260503
12,"(0, 1, -2)",372.14,295.7,6.0,455.3,"(0, 2, 1)",5.194833125327511,49.28333333333333,-12.74
13,"(-2, 1, -1)",95.95,116.27,2.58,312.1,"(1, 2, 1)",4.742212142028232,45.065891472868216,7.875968992248059
14,"(-1, 2, -1)",95.95,120.61,2.59,97.3,"(1, 2, 1)",4.742212142028231,46.56756756756757,9.521235521235521
15,"(-1, 1, -2)",95.95,116.86,2.61,437.6,"(1, 2, 1)",4.742212142028232,44.77394636015326,8.011494252873563
16,"(-1, -1, 2)",95.95,123.18,2.55,490.6,"(1, 2, 1)",4.742212142028231,48.30588235294118,10.678431372549023
17,"(2, -1, 1)",95.95,122.68,2.72,308.8,"(1, 2, 1)",4.742212142028232,45.10294117647059,9.827205882352942
18,"(1, -2, 1)",95.95,107.88,2.35,92.4,"(1, 2, 1)",4.742212142028231,45.9063829787234,5.076595744680848
19,"(1, -1, 2)",95.95,109.06,2.45,433.2,"(1, 2, 1)",4.742212142028232,44.51428571428571,5.351020408163265
20,"(1, 1, -2)",95.95,129.0,2.67,499.2,"(1, 2, 1)",4.742212142028231,48.31460674157304,12.378277153558052
21,"(-2, 2, 0)",1246.62,793.34,15.97,9.7,"(0, 2, 2)",4.106876185131467,49.67689417658109,-28.38321853475265
22,"(0, -2, 2)",1246.62,1008.7,20.24,205.8,"(0, 2, 2)",4.106876185131467,49.83695652173914,-11.754940711462444
23,"(0, 2, -2)",1246.62,953.43,19.14,211.8,"(0, 2, 2)",4.106876185131467,49.81347962382445,-15.318181818181815
24,"(-2, 1, -2)",470.29,493.3,10.02,428.1,"(1, 2, 2)",3.8719999999999994,49.231536926147704,2.2964071856287416
25,"(-2, 2, -1)",470.29,481.35,9.74,160.8,"(1, 2, 2)",3.8719999999999986,49.41991786447639,1.1355236139630391
26,"(-1, 2, -2)",470.29,552.12,11.17,253.4,"(1, 2, 2)",3.8719999999999986,49.42882721575649,7.325872873769023
27,"(-1, -2, 2)",470.29,485.99,9.78,130.4,"(1, 2, 2)",3.8719999999999986,49.69222903885481,1.6053169734151318
28,"(2, -1, 2)",470.29,519.55,10.54,423.5,"(1, 2, 2)",3.8719999999999994,49.293168880455404,4.673624288425041
29,"(2, -2, 1)",470.29,495.37,10.03,156.2,"(1, 2, 2)",3.8719999999999986,49.3888334995015,2.500498504486539
30,"(1, -2, 2)",470.29,521.23,10.55,248.7,"(1, 2, 2)",3.8719999999999986,49.405687203791466,4.828436018957346
31,"(1, 2, -2)",470.29,523.1,10.52,138.6,"(1, 2, 2)",3.8719999999999986,49.72433460076046,5.019961977186312
32,"(-2, 2, -2)",0.12,294.12,6.1,281.9,"(2, 2, 2)",3.3532503634533457,48.21639344262295,48.196721311475414
