,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2776.03,281.83,5.65,282.3,"(0, 1, 0)",11.643,49.881415929203534,-441.45132743362836
1,"(1, 0, 1)",1447.98,229.86,4.61,577.0,"(0, 1, 1)",8.232844253354974,49.86117136659436,-264.234273318872
2,"(0, -1, 1)",1447.98,311.99,6.25,253.8,"(0, 1, 1)",8.232844253354973,49.9184,-181.7584
3,"(0, 1, -1)",1447.98,277.45,5.56,256.5,"(0, 1, 1)",8.232844253354973,49.90107913669065,-210.5269784172662
4,"(-2, 0, 0)",162.96,355.02,7.11,287.8,"(0, 2, 0)",5.8215,49.93248945147679,27.012658227848096
5,"(2, 0, 0)",162.96,336.43,6.75,284.1,"(0, 2, 0)",5.8215,49.84148148148148,25.69925925925926
6,"(-2, 1, 0)",370.86,220.75,4.44,69.1,"(0, 2, 1)",5.20690789240601,49.718468468468465,-33.80855855855856
7,"(2, -1, 0)",370.86,196.42,3.95,66.0,"(0, 2, 1)",5.20690789240601,49.726582278481004,-44.162025316455704
8,"(0, 2, -1)",370.86,171.21,3.44,18.5,"(0, 2, 1)",5.20690789240601,49.770348837209305,-58.037790697674424
9,"(-2, 0, -1)",370.86,187.09,3.77,486.0,"(0, 2, 1)",5.206907892406011,49.62599469496021,-48.745358090185675
10,"(0, -1, 2)",370.86,216.54,4.36,495.4,"(0, 2, 1)",5.20690789240601,49.66513761467889,-35.39449541284404
11,"(-2, 1, -1)",91.31,128.36,2.61,273.8,"(1, 2, 1)",4.753234845870757,49.180076628352495,14.19540229885058
12,"(-1, 2, -1)",91.31,96.73,1.97,91.6,"(1, 2, 1)",4.7532348458707565,49.101522842639596,2.751269035532996
13,"(-1, 1, -2)",91.31,86.87,1.8,440.3,"(1, 2, 1)",4.753234845870757,48.26111111111111,-2.4666666666666655
14,"(2, -1, 1)",91.31,126.54,2.57,270.5,"(1, 2, 1)",4.753234845870757,49.237354085603116,13.708171206225684
15,"(1, -2, 1)",91.31,94.81,1.93,88.6,"(1, 2, 1)",4.7532348458707565,49.12435233160622,1.8134715025906736
16,"(1, -1, 2)",91.31,89.04,1.84,437.1,"(1, 2, 1)",4.753234845870757,48.391304347826086,-1.2336956521739109
17,"(2, 1, -1)",91.31,90.07,1.81,391.1,"(1, 2, 1)",4.753234845870757,49.76243093922651,-0.6850828729281818
18,"(-2, 0, -2)",1260.79,345.08,6.93,579.7,"(0, 2, 2)",4.116422126677487,49.79509379509379,-132.13708513708514
19,"(0, -2, 2)",1260.79,353.49,7.09,252.6,"(0, 2, 2)",4.116422126677486,49.85754583921016,-127.96897038081805
20,"(0, 2, -2)",1260.79,355.2,7.13,257.2,"(0, 2, 2)",4.116422126677486,49.81767180925666,-127.01122019635342
21,"(-1, 2, -2)",464.2,242.15,4.88,264.7,"(1, 2, 2)",3.8810000000000002,49.62090163934426,-45.502049180327866
22,"(-1, -2, 2)",464.2,314.24,6.3,236.8,"(1, 2, 2)",3.8810000000000002,49.87936507936508,-23.8031746031746
23,"(2, -2, 1)",464.2,348.96,7.01,130.8,"(1, 2, 2)",3.8810000000000002,49.780313837375175,-16.439372325249646
24,"(1, 2, -2)",464.2,321.15,6.44,244.2,"(1, 2, 2)",3.8810000000000002,49.868012422360245,-22.21273291925466
25,"(-2, 2, -2)",0.62,287.71,5.79,268.8,"(2, 2, 2)",3.3610445920874064,49.6908462867012,49.58376511226252
26,"(-2, -2, 2)",0.62,372.19,7.46,193.3,"(2, 2, 2)",3.3610445920874064,49.89142091152815,49.80831099195711
27,"(2, -2, 2)",0.62,281.65,5.68,264.7,"(2, 2, 2)",3.3610445920874064,49.5862676056338,49.477112676056336
28,"(-3, 0, 0)",1469.71,151.22,3.06,289.2,"(0, 3, 0)",3.8810000000000002,49.41830065359477,-430.87908496732024
29,"(3, 0, 0)",1469.71,145.78,2.95,283.6,"(0, 3, 0)",3.8810000000000002,49.41694915254237,-448.78983050847455
30,"(-3, -1, 0)",126.13,99.01,2.01,552.8,"(0, 3, 1)",3.6818398797340453,49.258706467661696,-13.492537313432832
31,"(-3, 1, 0)",126.13,132.21,2.69,124.5,"(0, 3, 1)",3.6818398797340444,49.14869888475837,2.260223048327142
32,"(3, -1, 0)",126.13,110.48,2.25,119.7,"(0, 3, 1)",3.6818398797340444,49.102222222222224,-6.955555555555552
33,"(3, 1, 0)",126.13,102.75,2.08,545.4,"(0, 3, 1)",3.6818398797340453,49.39903846153846,-11.240384615384613
