,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(0, -1, 1)",1443.62,294.03,5.89,253.3,"(0, 1, 1)",8.232137146573788,49.92020373514431,-195.17657045840406
1,"(0, 1, -1)",1443.62,261.08,5.23,256.2,"(0, 1, 1)",8.232137146573788,49.919694072657734,-226.10707456978966
2,"(-2, 1, 0)",372.07,203.39,4.09,69.3,"(0, 2, 1)",5.206460678810511,49.728606356968214,-41.24205378973105
3,"(2, -1, 0)",372.07,182.83,3.67,66.1,"(0, 2, 1)",5.206460678810511,49.817438692098094,-51.56403269754768
4,"(0, -2, 1)",372.07,180.76,3.63,14.6,"(0, 2, 1)",5.206460678810511,49.7961432506887,-52.70247933884298
5,"(2, 0, 1)",372.07,182.74,3.68,482.7,"(0, 2, 1)",5.206460678810512,49.65760869565217,-51.448369565217384
6,"(0, -1, 2)",372.07,210.54,4.23,495.0,"(0, 2, 1)",5.206460678810511,49.77304964539007,-38.18676122931442
7,"(0, 1, -2)",372.07,182.86,3.68,498.9,"(0, 2, 1)",5.206460678810511,49.69021739130435,-51.41576086956521
8,"(-2, 1, -1)",92.29,116.0,2.35,273.7,"(1, 2, 1)",4.752826597580294,49.36170212765957,10.089361702127656
9,"(-1, 2, -1)",92.29,94.14,1.91,91.6,"(1, 2, 1)",4.7528265975802935,49.28795811518325,0.968586387434552
10,"(-1, 1, -2)",92.29,77.76,1.6,440.1,"(1, 2, 1)",4.752826597580294,48.6,-9.08125
11,"(2, -1, 1)",92.29,108.76,2.21,270.4,"(1, 2, 1)",4.752826597580294,49.21266968325792,7.452488687782805
12,"(1, -2, 1)",92.29,93.99,1.91,88.4,"(1, 2, 1)",4.7528265975802935,49.20942408376963,0.8900523560209365
13,"(1, -1, 2)",92.29,82.6,1.7,436.7,"(1, 2, 1)",4.752826597580294,48.588235294117645,-5.700000000000007
14,"(2, 1, -1)",92.29,87.6,1.76,392.7,"(1, 2, 1)",4.752826597580294,49.772727272727266,-2.664772727272734
15,"(-2, 1, -2)",461.24,269.15,5.42,407.1,"(1, 2, 2)",3.880666666666668,49.65867158671586,-35.4409594095941
