,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2765.09,157.24,3.15,283.0,"(0, 1, 0)",11.654000000000002,49.917460317460325,-827.888888888889
1,"(1, 0, 1)",1464.11,137.53,2.77,576.8,"(0, 1, 1)",8.240622427948027,49.64981949458484,-478.90974729241873
2,"(0, 1, -1)",1464.11,142.15,2.86,256.7,"(0, 1, 1)",8.240622427948027,49.70279720279721,-462.22377622377616
3,"(1, -1, 1)",2572.49,205.39,4.13,265.8,"(1, 1, 1)",6.7284400371359,49.73123486682808,-573.1476997578692
4,"(-2, 0, 0)",168.83,126.38,2.55,287.3,"(0, 2, 0)",5.827000000000001,49.56078431372549,-16.64705882352942
5,"(2, 0, 0)",168.83,142.79,2.88,283.5,"(0, 2, 0)",5.827000000000001,49.57986111111111,-9.041666666666675
6,"(-2, 1, 0)",374.5,186.54,3.75,69.7,"(0, 2, 1)",5.21182724195651,49.744,-50.12266666666667
7,"(2, -1, 0)",374.5,169.46,3.41,66.5,"(0, 2, 1)",5.21182724195651,49.6950146627566,-60.12903225806451
8,"(0, -2, 1)",374.5,140.16,2.82,15.6,"(0, 2, 1)",5.21182724195651,49.70212765957447,-83.09929078014186
9,"(2, 0, 1)",374.5,166.24,3.35,482.5,"(0, 2, 1)",5.211827241956511,49.623880597014924,-62.167164179104475
10,"(0, -1, 2)",374.5,172.15,3.46,496.3,"(0, 2, 1)",5.21182724195651,49.75433526011561,-58.482658959537574
11,"(0, 1, -2)",374.5,154.78,3.12,500.2,"(0, 2, 1)",5.21182724195651,49.60897435897436,-70.42307692307692
12,"(-2, 1, -1)",96.66,109.68,2.23,273.6,"(1, 2, 1)",4.757725577065861,49.18385650224216,5.8385650224215295
13,"(-1, 2, -1)",96.66,92.88,1.89,92.0,"(1, 2, 1)",4.75772557706586,49.142857142857146,-2.000000000000001
14,"(-1, 1, -2)",96.66,61.73,1.28,440.8,"(1, 2, 1)",4.757725577065861,48.2265625,-27.2890625
15,"(2, -1, 1)",96.66,91.28,1.87,270.6,"(1, 2, 1)",4.757725577065861,48.81283422459893,-2.87700534759358
16,"(1, -2, 1)",96.66,83.22,1.7,89.0,"(1, 2, 1)",4.75772557706586,48.95294117647059,-7.905882352941175
17,"(1, -1, 2)",96.66,62.74,1.3,437.6,"(1, 2, 1)",4.757725577065861,48.261538461538464,-26.09230769230769
18,"(2, 1, -1)",96.66,58.65,1.18,383.7,"(1, 2, 1)",4.757725577065861,49.70338983050848,-32.21186440677966
19,"(-2, 0, -2)",1297.41,164.28,3.32,579.8,"(0, 2, 2)",4.120311213974014,49.48192771084338,-341.3042168674699
20,"(2, 0, 2)",1297.41,208.98,4.21,576.0,"(0, 2, 2)",4.120311213974014,49.63895486935867,-258.5344418052257
