,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff
0,"(1, 0, 0)",2777.51,159.09,3.22,284.5,"(0, 1, 0)",11.653000000000002,49.40683229813664,-813.1739130434783
1,"(1, 0, 1)",1468.05,137.87,2.91,578.8,"(0, 1, 1)",8.23991532116684,47.37800687285223,-457.1065292096219
2,"(0, -1, 1)",1468.05,174.78,3.56,256.1,"(0, 1, 1)",8.239915321166839,49.09550561797753,-363.2780898876404
3,"(0, 1, -1)",1468.05,153.0,3.13,258.7,"(0, 1, 1)",8.239915321166839,48.881789137380196,-420.1437699680511
4,"(-1, 1, -1)",2547.67,237.47,4.85,270.1,"(1, 1, 1)",6.72786268686671,48.962886597938144,-476.3298969072166
5,"(-1, -1, 1)",2547.67,254.28,5.1,203.4,"(1, 1, 1)",6.72786268686671,49.858823529411765,-449.6843137254902
6,"(1, -1, 1)",2547.67,235.63,4.81,268.0,"(1, 1, 1)",6.72786268686671,48.98752598752599,-480.6735966735967
7,"(1, 1, -1)",2547.67,211.69,4.26,214.4,"(1, 1, 1)",6.72786268686671,49.6924882629108,-548.3521126760563
8,"(-2, 0, 0)",171.3,167.89,3.45,288.9,"(0, 2, 0)",5.826500000000001,48.66376811594202,-0.9884057971014565
9,"(2, 0, 0)",171.3,126.34,2.65,285.1,"(0, 2, 0)",5.826500000000001,47.67547169811321,-16.96603773584906
10,"(-2, 1, 0)",397.51,146.68,3.13,71.6,"(0, 2, 1)",5.2113800283610106,46.86261980830671,-80.13738019169328
11,"(2, -1, 0)",397.51,151.0,3.2,68.4,"(0, 2, 1)",5.2113800283610106,47.1875,-77.034375
12,"(0, -2, 1)",397.51,170.38,3.58,17.3,"(0, 2, 1)",5.2113800283610106,47.592178770949715,-63.44413407821229
13,"(0, 2, -1)",397.51,125.54,2.74,20.7,"(0, 2, 1)",5.2113800283610106,45.81751824817518,-99.25912408759122
14,"(-2, 0, -1)",397.51,178.46,3.71,486.8,"(0, 2, 1)",5.211380028361011,48.102425876010784,-59.043126684636114
15,"(2, 0, 1)",397.51,159.25,3.34,483.7,"(0, 2, 1)",5.211380028361011,47.67964071856288,-71.33532934131736
16,"(0, -1, 2)",397.51,163.33,3.4,498.9,"(0, 2, 1)",5.2113800283610106,48.038235294117655,-68.87647058823529
17,"(0, 1, -2)",397.51,120.1,2.57,502.6,"(0, 2, 1)",5.2113800283610106,46.731517509727624,-107.94163424124513
18,"(-2, 1, -1)",98.86,134.11,2.9,275.5,"(1, 2, 1)",4.757317328775397,46.2448275862069,12.155172413793109
19,"(-1, 2, -1)",98.86,157.65,3.35,93.9,"(1, 2, 1)",4.757317328775397,47.059701492537314,17.549253731343285
20,"(-1, 1, -2)",98.86,91.59,2.1,442.9,"(1, 2, 1)",4.757317328775397,43.614285714285714,-3.46190476190476
21,"(2, -1, 1)",98.86,97.68,2.21,272.2,"(1, 2, 1)",4.757317328775397,44.19909502262444,-0.5339366515837071
22,"(1, -2, 1)",98.86,104.56,2.34,90.9,"(1, 2, 1)",4.757317328775397,44.68376068376069,2.4358974358974375
23,"(1, -1, 2)",98.86,86.47,1.99,439.6,"(1, 2, 1)",4.757317328775397,43.45226130653266,-6.226130653266332
24,"(2, 1, -1)",98.86,98.96,2.02,380.5,"(1, 2, 1)",4.757317328775397,48.99009900990099,0.04950495049504669
25,"(-2, 0, -2)",1395.62,172.22,3.78,581.4,"(0, 2, 2)",4.11995766058342,45.560846560846564,-323.6507936507936
26,"(2, 0, 2)",1395.62,147.08,3.29,577.6,"(0, 2, 2)",4.11995766058342,44.705167173252285,-379.4954407294833
27,"(0, -2, 2)",1395.62,212.01,4.38,255.1,"(0, 2, 2)",4.119957660583419,48.40410958904109,-270.23059360730593
28,"(0, 2, -2)",1395.62,225.62,4.66,259.9,"(0, 2, 2)",4.119957660583419,48.41630901287554,-251.07296137339054
29,"(-2, 1, -2)",490.86,144.84,3.14,409.5,"(1, 2, 2)",3.8843333333333345,46.12738853503185,-110.19745222929936
30,"(-2, 2, -1)",490.86,192.87,4.07,136.6,"(1, 2, 2)",3.884333333333334,47.388206388206385,-73.21621621621621
31,"(-1, 2, -2)",490.86,155.64,3.37,267.0,"(1, 2, 2)",3.884333333333334,46.18397626112759,-99.47181008902078
32,"(-1, -2, 2)",490.86,192.55,3.95,240.3,"(1, 2, 2)",3.884333333333334,48.74683544303797,-75.52151898734176
33,"(2, -1, 2)",490.86,142.19,3.08,405.7,"(1, 2, 2)",3.8843333333333345,46.16558441558441,-113.20454545454545
34,"(2, -2, 1)",490.86,174.22,3.69,133.0,"(1, 2, 2)",3.884333333333334,47.21409214092141,-85.81029810298102
35,"(1, -2, 2)",490.86,166.77,3.56,262.9,"(1, 2, 2)",3.884333333333334,46.84550561797753,-91.0365168539326
36,"(1, 2, -2)",490.86,220.42,4.52,247.9,"(1, 2, 2)",3.884333333333334,48.76548672566372,-59.831858407079665
37,"(-2, 2, -2)",1.07,157.65,3.48,271.2,"(2, 2, 2)",3.363931343433355,45.30172413793104,44.99425287356322
38,"(-2, -2, 2)",1.07,179.82,3.65,197.8,"(2, 2, 2)",3.363931343433355,49.26575342465753,48.97260273972603
39,"(2, -2, 2)",1.07,167.97,3.64,266.9,"(2, 2, 2)",3.363931343433355,46.145604395604394,45.85164835164835
40,"(2, 2, -2)",1.07,206.32,4.19,216.9,"(2, 2, 2)",3.363931343433355,49.24105011933174,48.985680190930786
41,"(-3, 0, 0)",1708.8,147.0,3.13,289.9,"(0, 3, 0)",3.8843333333333345,46.96485623003195,-498.9776357827476
42,"(3, 0, 0)",1708.8,160.29,3.39,284.4,"(0, 3, 0)",3.8843333333333345,47.28318584070796,-456.78761061946904
43,"(-3, -1, 0)",135.2,104.64,2.31,551.3,"(0, 3, 1)",3.6850021573942136,45.298701298701296,-13.229437229437224
44,"(-3, 1, 0)",135.2,173.02,3.68,126.6,"(0, 3, 1)",3.6850021573942127,47.016304347826086,10.277173913043484
45,"(3, -1, 0)",135.2,131.55,2.87,121.8,"(0, 3, 1)",3.6850021573942127,45.83623693379791,-1.2717770034843126
46,"(3, 1, 0)",135.2,71.47,1.79,543.5,"(0, 3, 1)",3.6850021573942136,39.927374301675975,-35.603351955307254
47,"(-3, 0, -1)",135.2,144.11,3.12,438.4,"(0, 3, 1)",3.6850021573942136,46.18910256410257,2.855769230769239
48,"(-3, 0, 1)",135.2,117.53,2.58,41.1,"(0, 3, 1)",3.6850021573942127,45.554263565891475,-6.848837209302321
49,"(3, 0, 1)",135.2,158.69,3.39,433.7,"(0, 3, 1)",3.6850021573942136,46.81120943952802,6.929203539823011
50,"(-3, 1, -1)",981.39,270.06,5.59,279.1,"(1, 3, 1)",3.51351169836468,48.311270125223615,-127.2504472271914
51,"(-1, 1, -3)",981.39,290.39,6.05,538.1,"(1, 3, 1)",3.51351169836468,47.998347107438015,-114.21487603305785
